Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Rain,https://www.crunchbase.com/funding_round/rain-bh-series-a--b01768a4,Rain,https://www.crunchbase.com/organization/rain-bh,Series A,9365000,USD,9365000,2020-12-14
Series A - Rain,https://www.crunchbase.com/funding_round/rain-bh-series-a--5d29efdb,Rain,https://www.crunchbase.com/organization/rain-bh,Series A,6000000,USD,6000000,2021-01-17
Seed Round - Taajer,https://www.crunchbase.com/funding_round/taajer-seed--a99801d8,Taajer,https://www.crunchbase.com/organization/taajer,Seed,32000,USD,32000,2021-04-20
Seed Round - Calo,https://www.crunchbase.com/funding_round/calo-seed--7767aba6,Calo,https://www.crunchbase.com/organization/calo,Seed,,,,2020-04-01
Series A - inagrab,https://www.crunchbase.com/funding_round/inagrab-series-a--ad02b6d8,inagrab,https://www.crunchbase.com/organization/inagrab,Series A,700000,USD,700000,2020-01-03
Seed Round - Calo,https://www.crunchbase.com/funding_round/calo-seed--722baa31,Calo,https://www.crunchbase.com/organization/calo,Seed,,,,2020-04-05
Seed Round - uRento,https://www.crunchbase.com/funding_round/urento-seed--ca1f9573,uRento,https://www.crunchbase.com/organization/urento,Seed,32000,USD,32000,2020-09-20
Pre Seed Round - uRento,https://www.crunchbase.com/funding_round/urento-pre-seed--9305d272,uRento,https://www.crunchbase.com/organization/urento,Pre-Seed,10000,USD,10000,2020-09-07
Seed Round - Unipal,https://www.crunchbase.com/funding_round/unipal-seed--12ddf286,Unipal,https://www.crunchbase.com/organization/unipal,Seed,,,,2020-05-19
Pre Seed Round - WafiApps.com,https://www.crunchbase.com/funding_round/wafiapps-com-pre-seed--f9fff557,WafiApps.com,https://www.crunchbase.com/organization/wafiapps-com,Pre-Seed,1000000,USD,1000000,2016-12-16
Pre Seed Round - Saaya Health,https://www.crunchbase.com/funding_round/saaya-health-pre-seed--01337118,Saaya Health,https://www.crunchbase.com/organization/saaya-health,Pre-Seed,,,,2020-08-04
Angel Round - CTM360,https://www.crunchbase.com/funding_round/ctm360-angel--cdd361c0,CTM360,https://www.crunchbase.com/organization/ctm360,Angel,1000000,USD,1000000,2014-08-01
Seed Round - Malaeb,https://www.crunchbase.com/funding_round/malaeb-seed--aa9a2bb0,Malaeb,https://www.crunchbase.com/organization/malaeb,Seed,,,,2018-06-18
Pre Seed Round - Kumlaudi,https://www.crunchbase.com/funding_round/kumlaudi-pre-seed--d7c56993,Kumlaudi,https://www.crunchbase.com/organization/kumlaudi,Pre-Seed,53000,USD,53000,2019-08-08
Angel Round - Saaya Health,https://www.crunchbase.com/funding_round/saaya-health-angel--a6e78c3a,Saaya Health,https://www.crunchbase.com/organization/saaya-health,Angel,,,,2019-08-29
Series A - Skiplino,https://www.crunchbase.com/funding_round/skiplino-series-a--1408ea41,Skiplino,https://www.crunchbase.com/organization/skiplino,Series A,,,,2018-10-10
Seed Round - inagrab,https://www.crunchbase.com/funding_round/inagrab-seed--1b1d0404,inagrab,https://www.crunchbase.com/organization/inagrab,Seed,100000,USD,100000,2019-07-01
Angel Round - The Stories Studio,https://www.crunchbase.com/funding_round/the-stories-studio-angel--eb36e1e1,The Stories Studio,https://www.crunchbase.com/organization/the-stories-studio,Angel,70000,USD,70000,2019-06-03
Pre Seed Round - Springring,https://www.crunchbase.com/funding_round/springring-pre-seed--e91177dd,Springring,https://www.crunchbase.com/organization/springring,Pre-Seed,200000,USD,200000,2018-07-01
Seed Round - Munfarid Consulting Co.,https://www.crunchbase.com/funding_round/munfarid-consulting-co-seed--869a28af,Munfarid Consulting Co.,https://www.crunchbase.com/organization/munfarid-consulting-co,Seed,100000,USD,100000,2018-09-10
Seed Round - OneGCC,https://www.crunchbase.com/funding_round/onegcc-seed--88870017,OneGCC,https://www.crunchbase.com/organization/onegcc,Seed,2500000,USD,2500000,2017-04-17
