Organization URl,Organization Name,Industries,Headquarters Location,Headquarters Location 1,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Founded Date,Exit Date,Closed Date,Company Type,Full Description,Phone Number,Contact Email,LinkedIn,Facebook,Twitter,Website,Investor Type,component--field-formatter 21,component--field-formatter 26,component--field-formatter 27,component--field-formatter href 8,component--field-formatter 28,link-accent 9,link-accent href 9,component--field-formatter 29,component--field-formatter href 9,component--field-formatter 30,link-accent 13,link-accent href 13,link-accent 14,link-accent href 14,link-accent 15,link-accent href 15,link-accent 16,link-accent href 16,component--field-formatter 31,component--field-formatter 32,component--field-formatter 33,component--field-formatter 34,component--field-formatter 35,component--field-formatter 36,component--field-formatter 37,component--field-formatter 38,component--field-formatter 39,component--field-formatter 40,component--field-formatter 41,component--field-formatter 42,component--field-formatter 43,component--field-formatter 44,ng-star-inserted 3,ng-star-inserted 4,component--field-formatter href 20,ng-star-inserted 5
https://www.crunchbase.com/organization/rain-bh,Rain,Bitcoin,Manama,Al Manamah,Rain is an operator and custodian of digital currency exchange intended to make digital transactions.,"2,239",�,Active,Sep-17,�,�,For Profit,"Rain is an operator of digital currency exchange and custodian intended to make digital transactions. Rain is a regulated cryptocurrency exchange operating in the Middle East.

It was founded in 2017 and is based in Manama, Al Manamah, Bahrain.",(319) 521-8919,support@rain.com,https://www.linkedin.com/company/rainfinancial,https://www.facebook.com/rainfinancial,https://twitter.com/rain,http://rain.com/,�,�,�,251-500,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/rain-bh,",,,",Abdullah Almoaiqel,https://www.crunchbase.com/person/abdullah-almoaiqel,4,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/rain-bh,",,,",Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Lending and Investments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/lending-and-investments,Payments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/payments-cb33,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/software-85b6,"$228,690,000 ","$228,690,000 ",Series B,"$110,000,000 ",Series B,"$110,000,000 ",18-Jan-22,Early Stage Venture,9,",,,,",3,19,�,�,,,,
https://www.crunchbase.com/organization/calo,Calo,Food and Beverage,Manama,Al Manamah,Calo is D2C foodtech startup that serves personalized meal subscriptions.,"8,034",�,Active,Oct-19,�,�,For Profit,"Calo, a direct-to-consumer foodtech company offering personalised meal subscriptions. Calo�s app automatically calculates the calories and macronutrients that users need; and delivers them ready-to-eat meals portioned to fit their fitness goals.",�,hi@calo.app,https://www.linkedin.com/company/calo-inc/about/,,,https://calo.app/,�,�,�,101-250,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/calo,",",Ahmed AlRawi,https://www.crunchbase.com/person/ahmed-alrawi,2,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/calo,",",Food and Beverage,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/food-and-beverage-5f1e,Health Care,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/health-care-a53c,,,,,"$15,622,500 ","$15,622,500 ",Seed,"$13,500,000 ",Seed,"$13,500,000 ",8-Dec-21,Seed,6,",,,,",4,9,�,�,�,�,,
https://www.crunchbase.com/organization/investcorp-2,Investcorp,Asset Management,Manama,Al Manamah,"Investcorp is a provider and manager of alternative investment products, serving high-net-worth private and institutional clients.","8,601",$10M to $50M,Active,1982,�,�,For Profit,"Investcorp has earned distinction through reliability, transparency, business judgment, value creation, innovation and superior results.
We combine the growth dynamics of Gulf capital and the alternative investment industry with international management discipline.",97317532000,felamine@investcorp.com,https://www.linkedin.com/company/investcorp,,https://twitter.com/Investcorp,http://www.investcorp.com/,"Private Equity Firm, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity",�,251-500,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/investcorp-2,,Nemir A. Kirdar,https://www.crunchbase.com/person/nemir-a-kirdar,1,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/investcorp-2,,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,,,,,,,"$200,000 ","$200,000 ",Seed,"$200,000 ",Seed,"$200,000 ",18-Aug-17,Seed,2,�,�,�,62,Made Acquisitions,�,,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00010000,
https://www.crunchbase.com/organization/coinmena,CoinMENA,Asset Management,Manama,Al Manamah,"CoinMENA is a Sharia-compliant crypto-assets trading platform that buys, sells, stores, and receives digital asset's safety and security.","13,753",�,Active,2019,�,�,For Profit,�,�,�,https://www.linkedin.com/company/coinmena,https://www.facebook.com/CoinMENA.Bahrain,https://twitter.com/CoinMENA,https://www.coinmena.com/,�,�,�,Nov-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/coinmena,�,,,�,,,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,,,,,,,"$9,500,000 ","$9,500,000 ",Seed,"$9,500,000 ",Seed,"$9,500,000 ",8-Nov-21,Seed,1,",,,,",�,7,�,�,,,,
https://www.crunchbase.com/organization/gulf-finance-house,GFH Financial Group,Banking,Manama,Al Manamah,GFH is a dynamic financial investment group with a clear vision to develop a high growth.,"22,897",�,Active,1999,29-Jun-07,�,For Profit,"GFH is a dynamic financial  investment group with a clear vision to develop a high growth, diversified investment and commercial portfolio. GFH actively seeks unique opportunities to grow the value and potential of its investments. To achieve industry-leading performance, GFH deploys its deep market insight, innovative thinking and investment intelligence, which are hallmarks of the brand and its approach.",+973 17 538538,akarim@gfh.com,https://www.linkedin.com/company/938219,https://www.facebook.com/gulffinancehousebsc,https://www.twitter.com/gfh_bsc,http://gfh.com/,Investment Bank,�,�,101-250,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/gulf-finance-house,,Esam Yousif Janahi,https://www.crunchbase.com/person/esam-yousif-janahi,1,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/gulf-finance-house,",,",Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Lending and Investments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/lending-and-investments,Professional Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/professional-services-abe5,,,"$300,000,000 ",�,Post-IPO Equity,�,Post-IPO Debt,"$300,000,000 ",20-Jan-20,IPO,2,,1,1,2,Made Acquisitions,,,,
https://www.crunchbase.com/organization/playbook-1d59,Playbook,EdTech,Manama,Al Manamah,Playbook is an edutainment platform that accelerates career progression for women through masterclasses and an engaged community network.,"42,075",�,Active,1-Aug-21,�,�,For Profit,"Playbook is an edutainment platform that activates the power of storytelling and shared experiences to prepare women to tackle their pain points to growth through masterclasses broken down into lessons in English & Arabic led by inspirationally influential women who shattered the glass ceiling. The platform enables users to setup custom profiles, identify their skills & career goals, engage with 1000+ classes on diverse categories of interest (especially emerging professions), network with a community to crowdsource solutions to further address their pain points, immerse themselves in a gamified experience with learning goals & progress trackers. All of this is further enabled through engaged digital learning tools.",�,ceooffice@get-playbook.com,https://www.linkedin.com/company/get-playbook,https://www.facebook.com/getplaybook,https://www.twitter.com/getplaybook_,http://www.get-playbook.com/,�,�,�,Nov-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/playbook-1d59,",,",Ismahan Al Saad,https://www.crunchbase.com/person/ismahan-al-saad,3,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/playbook-1d59,",",Education,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/education-c9b5,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/software-85b6,,,,,"$700,000 ","$700,000 ",Pre-Seed,"$700,000 ",Pre-Seed,"$700,000 ",31-Jan-22,Seed,1,",,,",4,4,�,�,,,,
https://www.crunchbase.com/organization/faceki,Faceki,Artificial Intelligence,Manama,Al Manamah,FACEKI is a real-time identity verification platform with advance biometric technology powered by AI.,"42,925",�,Active,5-May-20,�,�,For Profit,"FACEKI is a Facial Recognition authentication platform. FACEKI creates safer, more accessible user experiences for all, powered by state-of-the-art facial recognition technology.  It's a highly secure cloud-based cross-devices technology. Which can be integrated easily with any online platforms, websites, and apps to provide them with a powerful facial recognition login and onboarding capabilities.  FACEKI aim is to make login to accounts seamless, simple and more secure than ever.",+973 3307 7088,info@faceki.com,https://www.linkedin.com/company/faceki/,https://www.facebook.com/faceki.inc/,https://twitter.com/faceki_,https://faceki.com/,�,�,�,10-Jan,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/faceki,",,",Hamza Al Ghatam,https://www.crunchbase.com/person/hamza-al-ghatam,3,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/faceki,",,,,,,",Artificial Intelligence,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551,Biotechnology,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/biotechnology-0400,Data and Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/data-and-analytics,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/information-technology-4fe3,�,�,Seed,�,Seed,�,15-Aug-22,Seed,3,",,,",2,4,�,�,,,,
https://www.crunchbase.com/organization/zeta-x,XLab Research,Analytics,Jufair,Al Manamah,Artificial intelligence,"48,527",�,Closed,13-Nov-16,�,2022,For Profit,"A company interested in artificial intelligence and has several projects in the financial markets, design and programming and is considered a holding company on several projects",79379585680,zeetaa.company@gmail.com,https://www.linkedin.com/zetaxcompany,https://www.facebook.com/zetaxcompany,https://twitter.com/JaySpark0x,https://www.xlabresearch.com/,�,�,�,51-100,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/zeta-x,",",Turki Alsadoon,https://www.crunchbase.com/person/turki-alsadoon,2,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/zeta-x,",,,,,,",Artificial Intelligence,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551,Data and Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/data-and-analytics,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Internet Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/internet-services,"$13,800,000 ","$13,800,000 ",Series A,"$5,800,000 ",Series A,"$5,800,000 ",3-Jan-20,Early Stage Venture,2,�,�,�,�,�,,,,
https://www.crunchbase.com/organization/ctm360,CTM360,Computer,Manama,Al Manamah,CTM360� is a Digital Risk Protection platform powered by EDX Labs,"55,550",$1M to $10M,Active,1-Aug-14,�,�,For Profit,"CTM360�, powered by EDX Labs, offers 24 x 7 x 365 Digital Risk Protection to detect and respond to vulnerabilities and threats in cyberspace. Via a consolidated Digital Risk Protection stack, CTM360� provides external attack surface management, cyber threat intelligence, corporate & VIP brand protection, social media monitoring, online anti-fraud, data leakage,  threat hunting, and neutralizing in cyberspace, anti-phishing, and takedowns on an unlimited basis.
Noteworthy statistics include 2.2 Million Cyber Incidents Managed via threat hunting & neutralizing, 3 Million Digital Assets Audited via digital risk management, 15 Billion accounts indexed in the hacked data archive, 2000+ Executives protected via VIP Brand Protection. CTM360 has been listed as the Top 14 Digital Risk Protection Companies globally by Forrester in 2018. CTM360 has recently been recognized as Digital Risk Protection (DRPS) and External Attack Surface Management (EASM) vendors in Gartner�s latest report on �Emerging Technology and Trends Impact Radar: Security� in 2021.",+973 77 360 360,info@ctm360.com,https://in.linkedin.com/company/ctm360,https://www.facebook.com/ctm360/,https://twitter.com/teamctm360?,http://www.ctm360.com/,�,�,�,51-100,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/ctm360,,Mirza Asrar Baig,https://www.crunchbase.com/person/mirza-asrar-baig,1,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/ctm360,",,,,,",Consumer Electronics,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/consumer-electronics-52f3,Hardware,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/hardware-2e6e,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/information-technology-4fe3,Privacy and Security,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/privacy-and-security,"$1,000,000 ","$1,000,000 ",Angel,"$1,000,000 ",Angel,"$1,000,000 ",1-Aug-14,Seed,1,�,�,�,�,�,,,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000,
https://www.crunchbase.com/organization/inagrab,inagrab,Apps,Manama,Al Manamah,"SaaS, Mobile App, Monetization of word of mouth","55,749",Less than $1M,Active,1-Jan-17,�,�,For Profit,"Inagrab is a company with a mission to bridge the gap between businesses and people by monetizing word of mouth using their core product called Dalooni.
Dalooni is platform connects businesses with a sales force consisting of the everyday individual without technically paying them a salary, and helps the unemployed youth of the MENA Region get access to a source of income and enhance their business development capabilities gradually.",14242452316,info@inagrab.com,https://www.linkedin.com/company/inagrab/,https://www.facebook.com/inagrabapp/,,http://www.inagrab.com/,�,�,�,10-Jan,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/inagrab,",",Hussain Haji,https://www.crunchbase.com/person/hussain-haji,2,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/inagrab,",,,",Apps,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/apps-2683,Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Data and Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/data-and-analytics,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/software-85b6,"$3,500,000 ","$3,475,000 ",Series A,"$3,100,000 ",Series A,"$3,100,000 ",3-Jan-20,Early Stage Venture,6,",,,,",2,5,1,Made Acquisitions,,�,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00000000,
