Organization/Person Url,Organization/Person Name,Number of Investments,Number of Exits,Location,Location 1,Location 2,Description,First Name,Last Name,Facebook,LinkedIn,Twitter,Number of Articles,Full Description,Gender,Primary Job Title,Number of Portfolio Organizations,Number of Lead Investments,Number of Diversity Investments,Investor Type,Investment Stage,CB Rank (Investor),Contact Job Departments,Number of Contacts
https://www.crunchbase.com/organization/investcorp-2,Investcorp,72,26,Manama,Al Manamah,Bahrain,"Investcorp is a provider and manager of alternative investment products, serving high-net-worth private and institutional clients.",�,�,,https://www.linkedin.com/company/investcorp,https://twitter.com/Investcorp,343,"Investcorp has earned distinction through reliability, transparency, business judgment, value creation, innovation and superior results.
We combine the growth dynamics of Gulf capital and the alternative investment industry with international management discipline.",�,�,�,57,35,"Private Equity Firm, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity","1,511","Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Operations, Pro Services, Sales",243
https://www.crunchbase.com/organization/global-venture-capital,Global Venture Capital,19,4,Manama,Al Manamah,Bahrain,"GVCH is a Capital Investment Advisory and Venture Capital Management firm, that specializes in developing new capital markets.",�,�,,,https://www.crunchbase.com/search/investments/field/principal.investors/num_diversity_spotlight_investments/global-venture-capital,22,"GVCH is a Capital Investment Advisory and Venture Capital Management firm, that specializes in developing new capital markets. GVCH is a Bahrain Company based in Manama, representing a group of investors and private angels of high net worth.

GVCH develops private equity programs including Venture Capital funds as well as partnerships for funding technology applications relating to oil & gas, power, water, real estate and agronomics, as well as IT, telecommunications, biotechnology and new material technology.

Their Mission is to develop an appropriate Venture Capital industry infrastructure and community through out the GCC states, fostering closer investment and technology ties between the Gulf Region and the U.S.A. as well as the E.U. Community.

Successful venture capitalists are scholars of strategy, focusing on identifying sectors of the economy where the rate of business change is greatest and investment opportunities most profound. By focusing on sectors that they believe offer outstanding opportunity, they identify great companies earlier, add value sooner, and help them achieve greater success.",�,�,�,18,11,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed","22,817",�,�
https://www.crunchbase.com/organization/almoayed-ventures,Almoayed Ventures,15,�,Manama,Al Manamah,Bahrain,Almoayed Ventures is the venture investment arm of Almoayed General based in Bahrain.,�,�,,https://www.linkedin.com/company/almoayed-general-wll/,https://www.crunchbase.com/search/investments/field/principal.investors/num_diversity_spotlight_investments/almoayed-ventures,�,"Almoayed Ventures is the venture arm of Almoayed General W.L.L.

The company focuses on partnering with investment professionals with a track record of supporting and scaling innovative businesses. The company also makes direct investments in passionate entrepreneurs and supports them throughout their journey.",�,�,�,15,�,"Family Investment Office, Venture Capital",Early Stage Venture,"13,772",�,�
https://www.crunchbase.com/organization/flat6labs-bahrain,Flat6Labs,13,�,Manama,Al Manamah,Bahrain,"MENA�s leading seed and early stage VC firm, and the manager of the most renowned startup programs in the region.",�,�,https://www.facebook.com/Flat6Labs/,,https://twitter.com/Flat6Labs,9,"MENA�s leading seed and early stage VC firm, and the manager of the most renowned startup programs in the region. We are Accelerating the Future.",�,�,�,13,6,Venture Capital,Seed,"43,529",�,�
https://www.crunchbase.com/organization/bahrain-mumtalakat-holding,Bahrain Mumtalakat Holding,3,�,Manama,Al Manamah,Bahrain,Bahrain Mumtalakat Holding is an independent holding company to actively manage and grow a diverse portfolio of commercial asset.,�,�,https://www.facebook.com/MumtalakatBH/,https://www.linkedin.com/company/bahrain-mumtalakat-holding-company,https://twitter.com/Mumtalakat_BH,2,"Bahrain Mumtalakat Holding Company (�Mumtalakat�) was established in June 2006 as an independent holding company to actively manage and grow a diverse portfolio of commercial assets.

Mumtalakat manages its portfolio with the objective of enhancing the performance and returns of its assets. Furthermore, it actively seeks to invest in commercially sound and sustainable opportunities locally, regionally and internationally.",�,�,�,3,1,Private Equity Firm,Early Stage Venture,"12,764",�,�
https://www.crunchbase.com/organization/gulf-international-bank,Gulf International Bank,3,2,Manama,Al Manamah,Bahrain,Gulf International Bank offers a diverse range of financial products and services and banking solutions to a wide customer.,�,�,,https://www.linkedin.com/company/gulf-international-bank,,13,"Gulf International Bank offers a diverse range of financial products and services and banking solutions to a wide customer. This includes corporate banking, the world�s first Shariah-compliant digital retail banking service, meem, as well as investment banking spanning asset management, bond and Sukuk issuance, financial restructuring, private placements, private sale, IPOs, underwriting equity and debt, and mergers and acquisitions.

Gulf International Bank B.S.C. (GIB) is a pan GCC universal bank established in 1975 and regulated by the Central Bank of Bahrain.",�,�,�,3,�,Government Office,�,"20,473","Finance, Human Resources, Information Technology, Legal, Management, Marketing, Operations, Product, Sales",262
https://www.crunchbase.com/organization/national-bank-of-bahrain-bsc,National Bank of Bahrain BSC,2,1,Manama,Al Manamah,Bahrain,"National Bank of Bahrain BSC is a provider of retail and wholesale commercial banking, treasury and investment.",�,�,https://www.facebook.com/nbbsocial,,https://www.twitter.com/nbbsocial,11,"National Bank of Bahrain BSC is a provider of retail and wholesale commercial banking, treasury and investment.",�,�,�,2,1,�,�,"35,163","Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Operations, Sales",60
https://www.crunchbase.com/organization/ithmaar-bank,Ithmaar Bank,2,1,Manama,Al Manamah,Bahrain,"Ithmaar Bank is a Bahrain-based banking firm that provides credit cards, loans, and other banking services.",�,�,https://www.facebook.com/ithmaarbankbh,,https://www.twitter.com/ithmaarbankbh,7,"Ithmaar Bank was incorporated in the Kingdom of Bahrain on 13 August 1984 under the name of Faysal Investment Bank of Bahrain E.C. (FIBEC). Until 2003, FIBEC was a wholly-owned subsidiary of Shamil Bank with an investment banking license granted by the BMA and engaged in acting as a manager of funds deposited for investment in accordance with the Sharia.",�,�,�,1,1,Investment Bank,Early Stage Venture,"40,248","Finance, Marketing, Operations",27
https://www.crunchbase.com/organization/energy-capital-group,Energy Capital Group,2,�,Manama,Al Manamah,Bahrain,Energy Capital Group (ECG) is an investment firm focused on generating long term profits for our investors by investing in the global,�,�,https://www.facebook.com/rawabiholdings,,https://www.twitter.com/rawabiholding,1,Energy Capital Group (ECG) is an investment firm focused on generating long term profits for our investors by investing in the global energy sector. With our world-class team - and by leveraging our Middle East strategic shareholders - ECG is uniquely positioned to exploit our compelling investment opportunity.,�,�,�,2,1,"Private Equity Firm, Venture Capital",�,"63,588",�,�
https://www.crunchbase.com/organization/bahrain-middle-east-bank,Bahrain Middle East Bank,2,1,Manama,Al Manamah,Bahrain,BMB Investment Bank is a premier Gulf-based investment bank providing profitable and innovative quality investment products to customers .,�,�,,,,1,BMB Investment Bank is a premier Gulf-based investment bank providing profitable and innovative quality investment products to customers .,�,�,�,1,�,Venture Capital,Early Stage Venture,"63,699",�,�
