Name Url,Full Name,Primary Job Title,Location,Location 1,CB Rank (Person),First Name,Last Name,Gender,Biography,Primary Organization,LinkedIn
https://www.crunchbase.com/person/ahmed-alrawi,Ahmed AlRawi,Founder,Bahrain,Asia,"6,113",Ahmed,AlRawi,Male,Ahmed AlRawi is the Founder at Calo. He was the Co-founder of Malaeb. Ahmed attended the University of Bahrain.,Calo,https://www.linkedin.com/in/rawi
https://www.crunchbase.com/person/moayed-almoayed,Moayed Almoayed,Co-Founder,Manama,Al Manamah,"17,532",Moayed,Almoayed,Male,A strategy professional with operational experience growing brands in both emerging and developed markets. Interests include consumer products and early stage investments.,Calo,https://www.linkedin.com/in/mtalmoayed/
https://www.crunchbase.com/person/yazin-alirhayim,Yazin Alirhayim,Founder and CEO,Manama,Al Manamah,"19,937",Yazin,Alirhayim,Male,Yazin Alirhayim is the Founder and CEO of Amal Invest and was a Founder and CEO of White Payments. He attended the University of Bahrain.,Amal Invest,https://www.linkedin.com/in/yazin
https://www.crunchbase.com/person/hasan-haider,Hasan Haider,Founder and Managing Partner,Bahrain,Asia,"20,872",Hasan,Haider,Male,Hasan Haider is the current Founder and Managing Partner of Tenmou. He previously worked at Tenmou as a Chief Executive Officer and Founder. Hasan Haider attended Harvard Kennedy School.,Plus Venture Capital,http://www.linkedin.com/in/hasanhaider
https://www.crunchbase.com/person/sael-al-waary,Sael Al Waary,Deputy Group Chief Executive Officer,Manama,Al Manamah,"22,380",Sael Al,Waary,Male,"Sael Al Waary is a banker and technologist with a career spanning 35 years. He is currently Deputy Group Chief Executive Officer of Bank ABC Group, covering 15 countries across five continents.

He is recognised for spearheading a number of Fintech innovations across the Middle East, in particular the establishment of ila Bank, a new digital mobile-only bank which will launch in Bahrain this year then Egypt and Jordan next year.

He has a strong passion for FinTech, driving innovative products and services to enable greater financial inclusion across the region. He leverages his experience to impact banking in MENA in the ever changing FinTech landscape.

He is a well respected thought leader, conference speaker and panellist for leading FinTech events such as Innovate Finance Global Summit, MEA FinTech Forum, and Euromoney.

He is Chairman of Bank ABC in Jordan, Arab Financial Services Company, the ila advisory Panel and Vice Chairman of Bank ABC in Egypt. He has previously served on the Board of Banco ABC Brasil.",Bank ABC,https://www.linkedin.com/in/sael-al-waary-0b35b217
https://www.crunchbase.com/person/hazem-ben-gacem,Hazem Ben-Gacem,Co-CEO,Bahrain,Asia,"22,998",Hazem,Ben-Gacem,Male,"Hazem Ben-Gacem is head of Corporate Investment - Europe as well as Corporate Investment - Technology. Hazem has been with Investcorp since 1994 and is currently a board director of Ceme, Fleetmatics, kgb and Skrill. Prior to joining Investcorp, Hazem was a member of Credit Suisse First Boston's mergers and acquisitions team in New York.

Hazem holds a BA (Hons) in Economics from Harvard University. He also serves on the Dean's Council for the Harvard Kennedy School of Government.",Investcorp,
https://www.crunchbase.com/person/ms-najla-al-shirawi,Najla Al-Shirawi,Chief Executive Officer,Manama,Al Manamah,"37,408",Najla,Al-Shirawi,Female,"Najla Al Shirawi has more than 21 years of investment banking experience. Having been part of SICO since 1997, she was appointed CEO in 2014 following her appointment as deputy CEO in 2013. Najla served with Geneva-based Dar Al-Maal Al-Islami Trust, where she established private banking operations for the Group in the Gulf region. Najla is a Board member at the Bahrain Economic Board (EDB) and a Chairperson on the Board of Directors for two SICO subsidiaries: SICO Funds Services Company (SFS) in Bahrain and SICO Financial Brokerage in Abu Dhabi. She is also an Independent Board Member of Eskan Bank BSC(c), Bahrain and a Board Member of the Deposit Protection Scheme, Bahrain, the Bahrain Associations of Banks, and the Bahrain Institute of Banking and Finance. She holds an MBA and a BA in Civil Engineering from University of Bahrain.",SICO Bank,
https://www.crunchbase.com/person/sunil-bhilotra,Sunil Bhilotra,Investment Director,Bahrain,Asia,"39,223",Sunil,Bhilotra,Male,�,ADQ,https://www.linkedin.com/in/sunil-b-6976041/
https://www.crunchbase.com/person/abdulla-bukhowa,Abdulla Bukhowa,Chief Executive Officer,Manama,Al Manamah,"40,160",Abdulla,Bukhowa,Male,Abdulla Bukhowa is the CEO of Bahrain Credit. He previously worked at Standard Chartered Bank as a Chief Executive Officer. Abdulla Bukhowa attended The University of Texas at Austin.,Bahrain Credit,https://www.linkedin.com/in/abdulla-bukhowa-5206b67
https://www.crunchbase.com/person/james-tanner,James Tanner,Managing Director & Head of Corporate Investment,Bahrain,Asia,"44,001",James,Tanner,Male,"James Tanner joined Investcorp in 2008 and is head of Corporate Investment - MENA.

Prior to joining Investcorp, James was Managing Director and a member of the Board of Morley Fund Management, the leading London-based investment house, now Aviva Investors.

Previous roles include managing director, Global Markets at HSBC in London for two years and a 19 year career at Morgan Stanley in London, New York and Hong Kong where his roles included serving as CEO of Morgan Stanley Investment Management, Europe, and COO of International Prime Brokerage Services.",Investcorp,http://www.linkedin.com/pub/james-tanner/35/622/771
https://www.crunchbase.com/person/paul-scott-41b0,Paul Scott,Chief Investment Officer,Manama,Al Manamah,"46,093",Paul,Scott,Male,"Paul Scott joined Mumtalakat in April 2018 as Chief Investment Officer. With a successful track record of building, repositioning and successfully growing scale business units in the investment arena, he is responsible for implementing and executing Mumtalakat�s investment strategy and ensuring the long-term growth of its portfolio of assets.  He holds a BSc in Business and Management Studies from University of Salford and is an Associate of the Chartered Institute of Bankers (ACIB).",Bahrain Mumtalakat Holding,https://www.linkedin.com/in/paul-scott-9801811b
