Organization URl,Organization Name,Industries,Headquarters Location,Headquarters Location 1,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Founded Date,Exit Date,Closed Date,Company Type,Full Description,Phone Number,Contact Email,LinkedIn,Facebook,Twitter,Website,Investor Type,component--field-formatter 21,component--field-formatter 22,component--field-formatter 23,component--field-formatter 24,component--field-formatter 25,component--field-formatter 27,component--field-formatter href 8,link-accent 8,link-accent href 8,component--field-formatter 28,component--field-formatter href 9,component--field-formatter 29,link-accent 9,link-accent href 9,link-accent 10,link-accent href 10,link-accent 11,link-accent href 11,component--field-formatter 30,component--field-formatter 31,component--field-formatter 32,component--field-formatter 33,component--field-formatter 34,component--field-formatter 35,component--field-formatter 36,component--field-formatter 37,component--field-formatter 38,component--field-formatter 39,component--field-formatter 40,component--field-formatter 41,component--field-formatter 42,component--field-formatter 43,link-accent 17,link-accent href 17,ng-star-inserted 3,ng-star-inserted 4,component--field-formatter 44,link-accent 20,link-accent href 20,component--field-formatter href 20,ng-star-inserted 5
https://www.crunchbase.com/organization/flowardco,Floward,E-Commerce,Kuwait,Al Kuwayt,Floward is an online flowers and gifts eCommerce solution sourced from local and international brands with same-day delivery schedules.,"4,333",�,Active,2017,�,�,For Profit,"Floward is an online flowers and gifts eCommerce solution sourced from local and international brands with same-day delivery schedules. It has been expanding aggressively currently operates in 20 cities across the region and beyond, offering same-day delivery for all the orders. It expanded to its first market outside the Middle East in December 2020 with the launch of its platform in London.",96522464554,info@floward.com,https://www.linkedin.com/company/flowardco/,https://www.facebook.com/flowardco,https://www.twitter.com/flowardco,http://www.floward.com/,�,�,�,�,�,�,501-1000,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/flowardco,Abdulaziz Al Loughani,https://www.crunchbase.com/person/abdulaziz-loughani,1,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/flowardco,",,",Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Consumer Goods,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/consumer-goods-b39a,Internet Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/internet-services,"$30,250,000 ","$30,250,000 ",Series B,"$27,500,000 ",Series B,"$27,500,000 ",27-Jun-21,Early Stage Venture,3,",,,,",2,5,�,�,,,,,,,,,
https://www.crunchbase.com/organization/teeela,Teeela,Baby,Kuwait,Al Kuwayt,"Teeela is the GCC�s fastest growing gifting platform, built to provide easiest, quickest, personalized gifting and toy buying experience","7,993",�,Active,Aug-18,�,�,For Profit,"Teeela is the GCC�s fastest growing and most innovative gifting platform, built to provide families with the easiest, quickest and most personalized gifting and toy buying experience",�,ibrahim@teeela.com,https://www.linkedin.com/company/teeela,,,https://www.teeela.com/,�,�,�,�,�,�,51-100,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/teeela,Abdulwahab Alkhulaifi,https://www.crunchbase.com/person/abdulwahab-alkhulaifi,3,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/teeela,",,",Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Community and Lifestyle,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/community-and-lifestyle,Consumer Goods,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/consumer-goods-b39a,"$3,750,000 ","$3,750,000 ",Seed,"$3,750,000 ",Seed,"$3,750,000 ",1-Aug-22,Seed,1,",",1,2,�,�,Toys,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/toys,�,�,",,",,,,
https://www.crunchbase.com/organization/baims,Baims,E-Learning,Kuwait,Al Kuwayt,Baims is an ed-tech start-up that allows top instructors to teach and students to study anytime and anywhere at a fraction of todays cost.,"9,389",�,Active,1-May-17,�,�,For Profit,"Baims is an ed-tech start-up that allows (top instructors and students anytime and anywhere at a fraction of the cost). Our courses and platform are specifically focused and organized based on each university's curriculum, catering down to the specific question student would expect to get on their own class exams.

What you would get with Baims:

Full Acess during the term to:
1- Fully Recorded HD content tailored based on each university's curriculum and past papers.
2- Free and paid live sessions with your courses tutor.
3- A fully solved study note for each chapter, and an unsolved note for practice.
4- Access to a chat group with the instructor, who is available to help at any time of day during the term.

At a 60% discount from a normal one-to-one session from the best tutor in your area.",96599342630,yousef@baims.com,https://www.linkedin.com/company/baims,,https://twitter.com/baimsedu,https://baims.com/,�,�,�,�,�,�,51-100,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/baims,Bader Al-Rasheed,https://www.crunchbase.com/person/bader-al-rasheed,2,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/baims,",",Education,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/education-c9b5,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/software-85b6,,,"$2,200,000 ","$2,200,000 ",Seed,"$2,200,000 ",Seed,"$2,200,000 ",30-Mar-22,Seed,2,",,",2,3,�,�,Tutoring,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/tutoring,�,,",",,,,
https://www.crunchbase.com/organization/boutiqaat,Boutiqaat,Beauty,Kuwait,Al Kuwayt,Boutiqaat offers cosmetics and beauty products for women in the Middle East.,"9,768",�,Active,2015,�,�,For Profit,"Boutiqaat offers cosmetics and beauty products for women in the Middle East. It began operation in 2015, with its headquarters in Kuwait.",�,�,https://www.linkedin.com/company/boutiqaat-cosmetics-&-beauty-products/,https://www.facebook.com/boutiqaat/,https://twitter.com/boutiqaat,http://www.boutiqaat.com/,�,�,�,�,�,�,501-1000,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/boutiqaat,Alessa Abdulwahab,https://www.crunchbase.com/person/alessa-abdulwahab,1,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/boutiqaat,",,,,",Clothing and Apparel,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/clothing-and-apparel,Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Consumer Goods,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/consumer-goods-b39a,"$45,000,000 ","$45,000,000 ",Series B,�,Series B,�,3-Jul-19,Early Stage Venture,2,,1,1,�,�,Fashion,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/fashion,,,,Design,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/design,,
https://www.crunchbase.com/organization/zain,Zain Group,Cloud Data Services,Safat,Al Kuwayt,Zain Group is a mobile and data services operator in Middle East and Africa.,"10,870",$1B to $10B,Active,22-Jun-83,3-Sep-85,�,For Profit,"Zain is a mobile and data services operator with a commercial footprint in 8 Middle Eastern and African countries with a workforce of over 7,000 providing a comprehensive range of mobile voice and data services.",+965 2464 4444,info@zain.com,https://www.linkedin.com/company-beta/167019/,https://www.facebook.com/Zain,https://www.twitter.com/zain,http://www.zain.com/en/,�,�,�,�,�,�,5001-10000,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/zain,Bader Al-Kharafi,https://www.crunchbase.com/person/bader-al-kharafi,1,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/zain,",,,",Hardware,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/hardware-2e6e,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/information-technology-4fe3,Internet Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/internet-services,"$846,100,000 ","$846,100,000 ",Post-IPO Equity,"$846,100,000 ",Post-IPO Equity,"$846,100,000 ",10-Aug-17,M&A,1,,1,1,2,"Made Acquisitions, Was Acquired",,,,,,Mobile,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/mobile-ec09,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_01000000,
https://www.crunchbase.com/organization/justclean,JustClean,B2B,Kuwait,Al Kuwayt,"JustClean is a laundry technology company that provides B2B and B2C services including marketplace applications, SaaS, and logistics.","14,088",$50M to $100M,Active,Apr-16,1-Jan-17,�,For Profit,"JustClean is a GCC based laundry technology company that provides B2B and B2C services including marketplace applications, SaaS, logistics, and delivery support.

It aims to offer cleaning services that facilitate a stress-free, user-friendly, and efficient services for all users. Since its establishment, JustClean is focused on delivering to its users� access to daily convenience by digitizing the professional cleaning industry. This has been achieved through continuous development, timely service, and ensuring performance and quality.

Brothers Athbi and Nouri Al-Enezi headquartered the company in Kuwait, Al Kuwayt in 2017.",�,info@justclean.com,https://www.linkedin.com/company/justclean,https://www.facebook.com/justcleankw,https://twitter.com/justcleankw,https://justclean.com/,�,�,�,�,�,�,101-250,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/justclean,Athbi Al-Enezi,https://www.crunchbase.com/person/athbi-al-enezi,2,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/justclean,",,,,",Clothing and Apparel,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/clothing-and-apparel,Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Other,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/1718a583-5105-47e5-b3b0-16c2e3dca322,"$26,900,000 ","$26,900,000 ",Venture - Series Unknown,"$6,000,000 ",Venture - Series Unknown,"$6,000,000 ",16-Mar-22,M&A,5,",",2,2,�,Was Acquired,E-Commerce,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/e-commerce-275d,,,",",Software,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/software-85b6,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00050000,
https://www.crunchbase.com/organization/cofe-app,COFE App,Apps,Kuwait,Al Kuwayt,"Online Coffee Market Place, Mobile App, Food & Delivery, On-Demand Delivery, Coffee Delivery App","16,266",�,Active,Aug-17,�,�,For Profit,"COFE App gives coffee drinkers a smart way to order their daily coffee.  The mobile application serves as an online coffee marketplace and aims to bring about a lifestyle change for its users by providing a smarter, more efficient way to get to their daily caffeine dose. With an intention to fulfil all the needs a coffee lover could possibly have, COFE App provides coffee beverages from both chain coffee houses as well as specialty coffee roasters. Users can also source coffee beans, coffee machines and coffee accessories through the mobile application.

COFE APP is funded by a multi-national cross-sector base of entrepreneurs and venture capital (VC) funds from the Middle East and Silicon Valley. The company's Series A funding round was  led by KISP ventures a fund established by KFH Capital (Kuwait). Other investors include: Cedar Mundi (Lebanon), Towell Holding International (Oman), Takamul Capital and Dividend Gate Capital (Bahrain), and Nizar AlNusif Sons Holding and Arab Investment Company (Kuwait)",+965 9407 6666,pr@cofeapp.com,https://www.linkedin.com/company/cofeapp/,https://www.facebook.com/getcofe/,https://twitter.com/getcofe/,https://cofeapp.com/,�,�,�,�,�,�,101-250,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/cofe-app,Ali Al Ebrahim,https://www.crunchbase.com/person/ali-al-ebrahim-977b,1,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/cofe-app,",,,,,,",Apps,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/apps-2683,Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Food and Beverage,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/food-and-beverage-5f1e,"$13,200,000 ","$13,200,000 ",Venture - Series Unknown,"$10,000,000 ",Venture - Series Unknown,"$10,000,000 ",20-Apr-21,�,3,",,,,",2,7,2,Made Acquisitions,Food and Beverage,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/food-and-beverage,,,,Internet Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/internet-services,,
https://www.crunchbase.com/organization/ajar-online,Ajar,Mobile Payments,Kuwait,Al Kuwayt,Ajar is a platform empowering landlords and tenants with seamless property management and rent payments.,"26,925",�,Active,1-Jan-16,�,�,For Profit,"Ajar is the leading property management and rent payment platform in the Middle East, making property management seamless for landlords and rent payments rewarding tenants. Ajar allows landlords to collect payments securely, manage properties efficiently, and track performance seamlessly. Ajar's platform also facilitates rewarding online payments to tenants, allowing tenant to cash in on discounts and rewards every time they pay their rent online.",+965 22055311,info@ajar.com.kw,https://www.linkedin.com/company/joinajar/,https://www.facebook.com/joinajar,https://www.twitter.com/joinajar,https://www.ajar.ae/,�,�,�,�,�,�,Nov-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/ajar-online,Ali Taqi,https://www.crunchbase.com/person/ali-taqi,3,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/ajar-online,",,,,",Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Mobile,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/mobile-ec09,Payments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/payments-cb33,"$7,500,000 ","$7,500,000 ",Seed,"$7,500,000 ",Seed,"$7,500,000 ",8-Jun-20,Seed,4,",,,",1,4,�,�,,,,,",,",Real Estate,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/real-estate-598c,,
https://www.crunchbase.com/organization/sakan,Sakan,Marketplace,Kuwait,Al Kuwayt,Properties Market Place,"28,858",�,Active,5-Dec-16,�,�,For Profit,"Sakan property technology platform is a leading real estate marketplace. It was founded in 2016/17 in Kuwait to provide a unique and integrated property experience for various stakeholders in the real estate sector.

Sakan�s mission is to offer innovative and creative PropTech solutions in the MENA region and digitize various aspects of the property journey. Sakan�s key objective is to facilitate and enhance real estate transactions and effectively cater for the growing demand by real estate agents, property management companies, landlords and tenants.",+965 66699371 +965 22062208,info@sakan.co,https://kw.linkedin.com/company/sakanonline,https://www.facebook.com/SakanOnline/,https://twitter.com/sakanonline,https://www.sakan.co/,�,�,�,�,�,�,51-100,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/sakan,Ahmed Al Saleh,https://www.crunchbase.com/person/ahmed-al-saleh,1,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/sakan,",,",Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Real Estate,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/real-estate-598c,Travel and Tourism,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/travel-and-tourism,"$3,000,000 ","$3,000,000 ",Seed,"$3,000,000 ",Seed,"$3,000,000 ",11-Nov-18,Seed,1,�,�,�,�,�,Rental Property,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/rental-property,,,,,,,
https://www.crunchbase.com/organization/national-bank-of-kuwait,National Bank of Kuwait,Banking,Kuwait,Al Kuwayt,The first indigenous bank and the first shareholding company in the entire Gulf region.,"30,189",�,Active,1952,1-Jan-13,�,For Profit,"Since its incorporation in 1952 as the first indigenous bank and the first shareholding company in the entire Gulf region, NBK has been known as �The Bank You Know And Trust�. Thanks to the recognized excellence of its very stable management along with its unequivocal strategy, consistent profitability, high asset quality and strong capitalization, NBK, throughout the years, succeeded in building an advanced banking institution that offers a full spectrum of innovative and unrivalled financial and investment services and solutions to individuals, corporate and institutional clients. NBK enjoys a dominant market share with a large and ever expanding local and regional clientele. NBK also boasts the largest overseas branch network spanning many of the world financial and business centers.",+965 2224 8361,abuse@nbk.com,https://www.linkedin.com/company/nbkgroup,https://www.facebook.com/nbk.fans,https://www.twitter.com/nbkpage,http://www.nbk.com/,�,�,�,�,�,�,1001-5000,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/national-bank-of-kuwait,Ahmed Saud Al-Khaled,https://www.crunchbase.com/person/ahmed-saud-al-khaled,3,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/national-bank-of-kuwait,",",Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Lending and Investments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/lending-and-investments,,,"� 21,200,000",�,�,�,Debt Financing,"� 21,200,000",15-Sep-21,IPO,1,,1,1,�,�,,,,,",,",,,,
