Organization/Person Url,Organization/Person Name,Number of Investments,Number of Exits,Location,Location 1,Location 2,Description,First Name,Last Name,Facebook,LinkedIn,Twitter,Number of Articles,Full Description,Gender,Primary Job Title,Number of Portfolio Organizations,Number of Lead Investments,Number of Diversity Investments,Investor Type,Investment Stage,CB Rank (Investor),Contact Job Departments,Number of Contacts
https://www.crunchbase.com/organization/arzan-venture-capital,Arzan Venture Capital,41,7,Kuwait,Al Kuwayt,Kuwait,"Arzan Venture Capital invests in young, fast-growing, and innovative tech teams.",�,�,,https://www.linkedin.com/company/arzan-venture-capital/,https://twitter.com/arzanvc,3,"Arzan Venture Capital (Arzan VC) is a Kuwait-born VC firm that has been investing in startups with a MENA angle since 2014, making it one of the earliest VC firms in the region. Arzan VC's portfolio includes 30+ startups. The firm invests in young, fast-growing and innovative tech teams and it remains committed to building long-lasting relationships with the region�s most talented entrepreneurs at an early stage.",�,�,�,32,8,Venture Capital,"Early Stage Venture, Seed","5,472",�,�
https://www.crunchbase.com/organization/savour-ventures,Savour Ventures,28,�,Kuwait,Al Kuwayt,Kuwait,The Middle East's first food vertical Accelerator.,�,�,https://www.facebook.com/savourventures/,https://www.linkedin.com/company/savour-ventures/,https://twitter.com/savourventures,�,"Savour is the first food vertical Accelerator in the Middle East. We help food entrepreneurs bring their products and services to market at super speed.

Savour partners with early stage companies from across the food supply chain, from agriculture through consumer packaged goods, and helps these companies grow fast through:

Startup Capital: $50K in capital

Mentorship: Access and workshops with food industry thought and business leaders
Network: Access to a world class network of leading food companies, investors and press
Curriculum: based on years of learnings from Creative Startups� accelerators & experts
Coworking Space: Collaborative co-working with likeminded food entrepreneurs
Alumni Network: A powerful alumni network of over 80 Creative Startups' startup founders.",�,�,�,25,20,Accelerator,Early Stage Venture,"25,208",�,�
https://www.crunchbase.com/organization/faith-capital,Faith Capital,21,1,Sharq Hawalli,Al Kuwayt,Kuwait,Faith Capital is a venture capital firm investing in talented MENA founders.,�,�,,https://www.linkedin.com/company/faith-capital-holding,https://twitter.com/faithcapitalvc,10,"Faith Capital is a venture capital firm investing in talented MENA founders building long-term value by developing sound operations at home and abroad.

A Kuwait based venture capital fund owned and managed by individuals with proven business experience and success in the GCC.

The principal focus of Faith Capital is on e-commerce businesses, based in the region, which have high growth potential for the future.",�,�,�,15,11,Venture Capital,Late Stage Venture,"15,784","Finance, Management, Operations",4
https://www.crunchbase.com/organization/kuwait-investment-authority,Kuwait Investment Authority,13,7,Kuwait,Al Kuwayt,Kuwait,Manager and administrator of Kuwaiti government's investment funds.,�,�,,https://www.linkedin.com/company/kuwait-investment-authority/about/,,61,"? ??????????????????????The Kuwait Investment Authority (KIA) is the oldest sovereign wealth fund in the world. KIA traces its roots to the Kuwait Investment Board, which was established in 1953, eight years before Kuwait's independence in 1961. In 1982, KIA was created by Law No. 47 as an autonomous governmental body responsible for the management of the assets of the country.?",�,�,�,12,4,"Government Office, Venture Capital",Private Equity,"10,616","Information Technology, Management, Operations",77
https://www.crunchbase.com/organization/al-dhow-capital,Al Dhow Capital,13,�,Safat,Al Kuwayt,Kuwait,"Al Dhow Capital Venture is the investment arm of Al Dhow Capital Holdings, based in Kuwait",�,�,,,,�,�,�,�,�,12,5,Venture Capital,�,"29,247",�,�
https://www.crunchbase.com/organization/kisp-ventures,KISP Ventures,8,2,Kuwait,Al Kuwayt,Kuwait,We support technology entrepreneurs who are ready to take their business to next level.,�,�,,https://www.linkedin.com/company/18151075/,,2,"KISP Ventures is a shariah compliant venture capital firm that invest in early stage technology companies in the MENA region. It is sponsored by KFH Capital, the investment arm of Kuwait Finance House (KFH).

Its goal is to provide entrepreneurs with growth capital and the right strategic support  to build innovative companies with accelerated growth. The company�s shariah compliant ethics means it is committed to building an ecosystem in the region by encouraging �Founder-Friendly� financing terms that give the portfolio companies a level playing field.",�,�,�,8,4,Venture Capital,Early Stage Venture,"30,508",�,�
https://www.crunchbase.com/organization/ntec,NTEC,8,3,Kuwait,Al Kuwayt,Kuwait,"NTEC is a Kuwait-based venture capital fund that invests in biotechnology, life sciences, IT, and energy companies.",�,�,https://www.facebook.com/223712601156120,https://www.linkedin.com/company/1092493,https://www.twitter.com/ntec_kuwait,4,"NTEC is a leader in promoting sustainable transfer of technology to the region, through a corporate venture capital model.

They invest in the following :

* Biotechnology and Life Sciences
* IT and Telecommunication
* Energy and Alternate Energy
* Water and Environment
* Venture Capital Funds",�,�,�,5,1,"Corporate Venture Capital, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity","32,894",Finance,1
https://www.crunchbase.com/organization/platinum-venture-capital,Platinum Venture Capital,6,3,Kuwait,Al Kuwayt,Kuwait,"Platinum venture capital is an SMEs consultant and venture capital company. Our main focus includes startups, SMEs advisory, entrepreneur",�,�,,,https://twitter.com/pv_capital,1,"Platinum venture capital is an SMEs consultant and venture capital company. Our main focus includes startups, SMEs advisory, entrepreneur consulting, investor consulting, and other SME and startup services. We also offer business opportunities, concepts, and franchising opportunities for entrepreneurs and investors.",�,�,�,4,1,Venture Capital,Late Stage Venture,"25,946",�,�
https://www.crunchbase.com/organization/rasameel-investment-company,Rasameel Investment Company,5,�,Kuwait,Al Kuwayt,Kuwait,Rasameel Investment Company creates sustainable and scalable business based on income generating assets for local and international clients.,�,�,https://www.facebook.com/Rasameel/,https://www.linkedin.com/company/rasameel-structured-finance/,https://twitter.com/rasameel,�,"Rasameel Investment Company creates sustainable and scalable business based on income generating assets for local and international clients. Rasameel uses networking and technology to access unique opportunities and provide access to investing for clients and prospects.

Rasameel Investment Company was established in 2006 as a Kuwaiti Shareholding Company K.S.C. with an authorized and paid-up capital of KD 18,026,680. Rasameel is well positioned within the ever-growing regional Sharia - compliant investment banking and wealth-management domain.",�,�,�,5,3,Venture Capital,�,"19,098","Finance, Operations",6
https://www.crunchbase.com/organization/national-bank-of-kuwait,National Bank of Kuwait,4,2,Kuwait,Al Kuwayt,Kuwait,The first indigenous bank and the first shareholding company in the entire Gulf region.,�,�,https://www.facebook.com/nbk.fans,https://www.linkedin.com/company/nbkgroup,https://www.twitter.com/nbkpage,36,"Since its incorporation in 1952 as the first indigenous bank and the first shareholding company in the entire Gulf region, NBK has been known as �The Bank You Know And Trust�. Thanks to the recognized excellence of its very stable management along with its unequivocal strategy, consistent profitability, high asset quality and strong capitalization, NBK, throughout the years, succeeded in building an advanced banking institution that offers a full spectrum of innovative and unrivalled financial and investment services and solutions to individuals, corporate and institutional clients. NBK enjoys a dominant market share with a large and ever expanding local and regional clientele. NBK also boasts the largest overseas branch network spanning many of the world financial and business centers.",�,�,�,4,�,�,�,"3,318","Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Operations, Product, Sales",187
