Name Url,Full Name,Primary Job Title,Location,Location 1,CB Rank (Person),First Name,Last Name,Gender,Biography,Primary Organization,LinkedIn
https://www.crunchbase.com/person/talal-hasan,Talal Hasan,"Founder, Carbon General, and CEO",Masqat,Oman,"24,469",Talal,Hasan,Male,"Talal Hasan is the Founder, Carbon General, and CEO at 44.01.",44.01,https://www.linkedin.com/in/talal-hasan
https://www.crunchbase.com/person/chirayu-khimji,Chirayu Khimji,�,Al Batinah,Oman,"39,942",Chirayu,Khimji,Male,Chirayu Khimji is a investor Relations Associate - Disruptive.,,https://www.linkedin.com/in/chirayu-khimji
https://www.crunchbase.com/person/eihab-maqbool-al-saleh,Eihab Maqbool Al Saleh,CEO,Oman,Asia,"40,601",Eihab Maqbool,Al Saleh,Male,Eihab Maqbool Al Saleh is the CEO of International Information Technology.,International Information Technology,
https://www.crunchbase.com/person/rod-macgregor,Rod MacGregor,�,Oman,Asia,"41,070",Rod,MacGregor,Male,�,,http://www.linkedin.com/pub/rod-macgregor/0/a39/787
https://www.crunchbase.com/person/mohammed-alardhi,Mohammed Alardhi,Executive chairman,Oman,Asia,"41,775",Mohammed,Alardhi,Male,"Mohammed Bin Mahfoodh Alardhi is the Executive Chairman of the global investment group, Investcorp, which operates out of New York, London, Riyadh, Bahrain, Abu Dhabi and Doha. Mr Alardhi was a Director on the Investcorp Board since 2008.

A retired Air Vice Marshal by profession, Mr Alardhi joined the Royal Air Force (RAFO) of Oman in 1978, and was subsequently appointed as Chief of Omani Air Force.  In 2000, he was awarded the ""Order of Oman"" by His Majesty Sultan Qaboos bin Said Al-Said.

Mr Alardhi holds a Bachelor of Science degree in Military Science from Royal Air Force UK Staff College in Bracknell, England and a Masters in Public Policy from John F. Kennedy School of Government, Harvard University USA.  He also graduated from the Royal Air Force Military Academy in Cranwell, UK, and the National Defence University in Washington D.C., USA.

Three months after taking up his role as Executive Chairman of Investcorp, Mr Alardhi announced a new growth strategy aiming to more than double its USD 10.8 billion Assets Under Management (AUM) over the medium term. A number of initiatives were communicated in relation to this plan, namely tapping into European Real Estate markets, establishing a global distribution platform and inorganic growth.",Investcorp,https://www.linkedin.com/in/m-alardhi-3942601b/
https://www.crunchbase.com/person/tareq-al-mugheiry,Tareq Al-Mugheiry,Chief Investment Officer,Muscat,Masqat,"92,343",Tareq,Al-Mugheiry,Male,Tareq Al-Mugheiry is Investment Director at OIC,Oman Investment Corporation,https://www.linkedin.com/in/tareq-al-mugheiry-4a27a437/
https://www.crunchbase.com/person/ali-adnan-haider-darwish-36f5,Ali Adnan Haider Darwish,�,Muscat,Masqat,"110,932",Ali Adnan Haider,Darwish,Male,Ali Adnan Haider Darwish is the Founder and CEO at Bin Haider Darwish. He earned his bachelor's and master's degree at Brunel University London and his doctorate degree at Multimedia University.,,https://www.linkedin.com/in/zaabi
https://www.crunchbase.com/person/karim-rahemtulla,Karim Rahemtulla,Managing Director,Rusayl,Masqat,"121,628",Karim,Rahemtulla,Male,"Karim Rahemtulla is the founder of iGroup Pte Ltd, Singapore and the Managing Director of Infocomm Group LLC.

Prior to venturing into his own business, Karim was a member of XN Corporation�s executive board as CEO, Asia. Karim was responsible for XN Corporation�s Global R&D Strategy and Asia�s Business Development & Marketing Strategy.

Karim is viewed as a Leading Global Inventor and Mobile Commerce Guru leveraging on mobile, wireless and interactive technologies as a facilitator in providing innovative and leading edge mobile, wireless and mPayment solutions and services for today�s knowledge economy. Karim has a Masters degree in Digital Systems and a Post Graduate Degree in Computer Applications from the University of Westminster, UK.",Infocomm Group,https://www.linkedin.com/in/karim-rahemtulla-61879710
https://www.crunchbase.com/person/dr-p-mohamed-ali,Dr P Mohamed Ali,�,Oman,Asia,"129,603",Dr P Mohamed,Ali,Male,"P Mohamed Ali is a Non-resident Indian businessman hailing from Thalikulam in Thrissur. He is the founder of Galfar Engineering and Contracting Co. Ali is ranked as the twelfth richest Indian ($950 million) in the Gulf region by Arabian Business.com
He one of the top richest Indians in GCC (Source: http://www.constructionweekonline.com/article-9224-top-10-richest-indians-in-the-gcc/10/)",,
https://www.crunchbase.com/person/maria-al-hinai,Maria Al Hinai,�,Masqat,Oman,"130,098",Maria Al,Hinai,Female,�,,https://www.linkedin.com/in/maria-alhinai
https://www.crunchbase.com/person/vahid-abdollahi,Vahid Abdollahi,Co-Founder and CCO,Muscat,Masqat,"135,636",Vahid,Abdollahi,Male,Vahid Abdollahi is the Founder and Chief Creative Officer at Pioneer Games Studio.,Pioneer Games Studio,https://www.linkedin.com/in/vahid-abdollahi-538945ba
https://www.crunchbase.com/person/mustafa-srour,Mustafa Srour,Chief Technology Officer,Oman,Asia,"143,171",Mustafa,Srour,Male,�,Oman Arab Bank,https://www.linkedin.com/in/mustafa-srour-6815b41a/
https://www.crunchbase.com/person/richard-pakenham,Richard Pakenham,Co-Founder & COO,Muscat,Masqat,"153,484",Richard,Pakenham,Male,"�24 years experience in Media, Marketing & Digital
�Led Teams at Major IT publishing houses in the Middle East & the UK.
�Varied experience from Strategy to Execution in Marketing
�Expert in identifying market pulses & devising strategy to meet demand",WhizzTips,https://www.linkedin.com/in/richardpakenham
https://www.crunchbase.com/person/masoud-al-rawahi,Masoud Al - Rawahi,Co-founder & Director,Oman,Asia,"156,248",Masoud,Al - Rawahi,Male,Masoud Al - Rawahi is Founder and Executive Director of PhazeRo. He attended University of Toronto.,PhazeRo,https://www.linkedin.com/in/masoud-al-rawahi-15bb0714/
https://www.crunchbase.com/person/stephen-whitaker,Stephen Whitaker,Chief Information Officer,Ruwi,Masqat,"161,221",Stephen,Whitaker,Male,�,Oman Arab Bank,
