Organization URl,Organization Name,Industries,Headquarters Location,Headquarters Location 1,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Founded Date,Exit Date,Closed Date,Company Type,Full Description,Phone Number,Contact Email,LinkedIn,Facebook,Twitter,Website,Investor Type,component--field-formatter 21,component--field-formatter 27,component--field-formatter href 8,component--field-formatter 28,component--field-formatter 29,link-accent 11,link-accent href 11,link-accent 12,link-accent href 12,link-accent 13,link-accent href 13,link-accent 14,link-accent href 14,component--field-formatter 30,component--field-formatter 31,component--field-formatter 32,component--field-formatter 33,component--field-formatter 34,component--field-formatter 35,component--field-formatter 36,component--field-formatter 37,component--field-formatter 38,component--field-formatter 39,component--field-formatter 40,component--field-formatter 41,component--field-formatter 42,component--field-formatter 43,component--field-formatter href 19,component--field-formatter 44,ng-star-inserted 3,ng-star-inserted 4,ng-star-inserted 5
https://www.crunchbase.com/organization/snoonu,Snoonu,Delivery,Doha,Qatar,Snoonu is a company based in Qatar which offers personal concierge and delivery services and eCommerce application as an E-Mall.,"7,204",�,Active,20-Feb-19,�,�,For Profit,"Snoonu is a personal concierge and delivery company based in Qatar.
Snoonu was launch in two phases:  Phase one, launched in April 2019 focuses on offline services personal concierge and door to door delivery. Phase two, launched in October 2019 involves using the snoonu mobile eCommerce application to order products online.  Snoonu will expand into a fully functional eCommerce website.
The delivery fee ranges from QR 10 and above depending on the customer�s location.",97431112215,hello@snoonu.com,https://www.linkedin.com/company/snoonu-qatar,https://www.facebook.com/snoonu.qa,https://twitter.com/snoonu_qa,https://www.snoonu.com/,�,�,51-100,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/snoonu,1,",,,,,",Administrative Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/administrative-services,Apps,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/apps-2683,Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Mobile,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/mobile-ec09,"$5,000,000 ","$5,000,000 ",Series A,"$5,000,000 ",Series A,"$5,000,000 ",28-Mar-21,Early Stage Venture,1,�,�,�,1,Made Acquisitions,,,,,
https://www.crunchbase.com/organization/qnb-group,QNB Group,Banking,Doha,Qatar,QNB Group is a government-owned commercial bank in Qatar.,"13,544",$10M to $50M,Active,1964,�,�,For Profit,"QNB Group) was established in 1964 as the country�s first Qatari-owned commercial bank, with an ownership structure split between the Qatar Investment Authority (50%) and (50%) held by members of the public.

QNB Group has steadily grown to be the biggest bank in Qatar and the largest financial institution in the Middle East and Africa region.

For the nine months ended 30 September 2017, the Group�s Net Profit reached QAR 10.3 billion, up by 6% from September 2016. Total assets increased to QAR 792 billion, up by 11%, the highest ever achieved by the group. This was driven by a growth rate of 14% in loans and advances to reach QAR 579 billion.In June 2016, QNB Group completed the acquisition of 99.88% stake in Turkey�s Finansbank A.S.(now known as QNB Finansbank), the 5th largest privately owned universal bank in Turkey by total assets, customer deposits and loans. QNB owns a 20.1% stake in Ecobank Transnational Incorporated (Ecobank), the leading pan-African bank. In 2013, the Group successfully completed the acquisition of a controlling stake of the second largest private bank in Egypt, QNB ALAHLI (QNBAA), amounting to 97.12%. The Group has also extended its regional reach by acquiring stakes in various financial institutions including a 35% stake in the Jordan-based, the Housing Bank for Trade and Finance (HBTF), 40% in Commercial Bank International (CBI) based in the United Arab Emirates (UAE), 99.96% of QNB Tunisia, 51% in the Iraqi-based Al-Mansour Investment Bank, 49% of the Libyan based Bank of Commerce & Development and 20% stake in Al Jazeera Finance Company in Doha. QNB Group also retains 51% stake in QNB-Syria, an 82.59% stake in QNB Indonesia.

Since 2013, QNB has been ranked as one of the world�s strongest banks by Bloomberg Markets and has consistently been rated as one of the safest banks in the emerging markets, according to the Global Finance Magazine.",+974 4497 5111,info@qnbcapital.com,https://www.linkedin.com/company/qatar-national-bank-group/,https://www.facebook.com/QNBGroup,https://twitter.com/qnbgroup,http://qnb.com/,�,�,10001+,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/qnb-group,�,",,",Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Government and Military,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/government-and-military,Lending and Investments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/lending-and-investments,,,"$3,500,000,000.00 ",�,�,�,Debt Financing,"$3,500,000,000.00 ",11-Feb-18,�,1,�,�,�,1,Made Acquisitions,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00010000,�,,,
https://www.crunchbase.com/organization/doha-bank,Doha Bank,Banking,Doha,Qatar,Doha Bank is one of the largest commercial banks in the State of Qatar.,"25,438",�,Active,1978,1-Dec-99,�,For Profit,"Doha Bank provides domestic and international banking services for individuals, commercial, corporate and institutional clients through four business groups � Wholesale Banking, Retail Banking, International Banking and Treasury & Investments.

Doha Bank has established overseas branches in Kuwait, Dubai (UAE), Abu Dhabi (UAE), Mumbai and Kochi (India) as well as representative offices in Japan, China, Singapore, Hong Kong, South Africa, South Korea, Australia, Turkey, the United Kingdom, Canada, Germany, Bangladesh and Sharjah (UAE).",+974 4445 6000,hellodoha@dohabank.com.qa,https://www.linkedin.com/company/doha-bank,https://www.facebook.com/doha.bank,https://www.twitter.com/dohabankqatar,http://www.dohabank.com.qa/,Investment Bank,�,1001-5000,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/doha-bank,1,",",Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Lending and Investments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/lending-and-investments,,,,,"$767,500,000 ","$5,000,000 ",Private Equity,"$5,000,000 ",Post-IPO Debt,"$762,500,000 ",27-Dec-21,IPO,2,",,",1,3,�,�,,,,,
https://www.crunchbase.com/organization/spendwisor-inc,Spendwisor Inc,Financial Services,Doha,Qatar,"Spendwisor is a mobile payment and Mobile POS App, with integrated loyalty program solution","26,125",�,Active,1-Jul-20,�,�,For Profit,"Spendwisor a Fintech startup, is a fast-growing mobile payment startup that redefines the retail ecosystem through innovative business-to-customer marketing. Our solution is a retail industry-led mobile wallet and mobile POS (mPOS) with an integrated loyalty program. It transforms the retail ecosystem by providing an innovative digital platform that accepts mobile payments and rewards shoppers with points and cashback",�,Farook@spendwisor.app,https://www.linkedin.com/company/spendwisor/,https://www.facebook.com/Spendwisor.Inc,https://twitter.com/spendwisor_app,https://spendwisor.app/,�,�,10-Jan,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/spendwisor-inc,2,,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,,,,,,,"$85,141,445 ",�,Seed,�,Seed,�,1-Apr-22,Seed,3,",",1,2,�,�,,",",,,
https://www.crunchbase.com/organization/cwallet,cwallet,Blockchain,Doha,Qatar,PAYROLL.PAYMENT.REMITTANCE,"30,091",$1M to $10M,Active,26-Jun-19,�,�,For Profit,"C Wallet Services is a a Fintech startup that provides payroll, payment and remittance services. Allowing users to receive their salary on time, providing access to e-commerce platforms including our own marketplace so users can buy and pay online even without having a bank. Daily needs like groceries and medicines can be delivered to their family�s doorstep if requested and ultimately, send money home anytime and anywhere.

It provides financial services for the unbanked and low-income migrant workers, domestic helpers and blue collar workers. Catering mSME, Startups and home-made-business. Fast, secure, and hassle-free payments, payroll, cross border remittance mobile application.",97444591663,support@cwallet.qa,https://www.linkedin.com/company/cwallet-qatar/,https://www.facebook.com/cwalletqa/,https://twitter.com/cwalletqatar,https://cwallet.qa/,�,�,Nov-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/cwallet,2,",,,,",Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Mobile,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/mobile-ec09,Other,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/1718a583-5105-47e5-b3b0-16c2e3dca322,Payments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/payments-cb33,"$1,595,000 ","$1,095,000 ",Seed,"$875,000 ",Seed,"$875,000 ",15-Jun-22,Seed,3,",",1,2,�,�,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000,",",,,
https://www.crunchbase.com/organization/ezdan-holding,Ezdan Holding,Business Development,Doha,Qatar,Fhoosh is a cybersecurity company,"39,058",$500M to $1B,Active,1960,�,�,For Profit,"The strides of Ezdan Holding Group over the last five decades have reflected the image of the State of Qatar in its development as the company was transformed from an individual to a shareholding company. The roots of Ezdan Holding Group date back to 1960, when it was founded as a private company under the name of Thani Bin Abdullah Housing Group. In early 2007, after undergoing several stages, it was transformed to Ezdan Real Estate Company, which became a public joint stock company during the same year.",97444332333,media@ezdanholding.qa,https://www.linkedin.com/company/ezdan-holding,https://www.facebook.com/ezdanholding?fref=ts,https://twitter.com/ezdanholding,http://www.ezdanholding.qa/,�,�,1001-5000,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/ezdan-holding,1,",,,",Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/information-technology-4fe3,Privacy and Security,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/privacy-and-security,Professional Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/professional-services-abe5,Real Estate,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/real-estate-598c,"$500,000,000 ",�,�,�,Debt Financing,"$500,000,000 ",12-Dec-16,�,1,�,�,�,�,�,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00500000,,,,
https://www.crunchbase.com/organization/meddy,Meddy,Health Care,Doha,Qatar,Find best doctors near you based on community reviews,"39,510",Less than $1M,Active,15-Jun-16,10-Nov-21,�,For Profit,Meddy is a doctor booking platform to help patients find the  best doctors in Qatar and UAE.,�,contact@meddy.comm,https://www.linkedin.com/company/meddy,https://www.facebook.com/meddyQatar/,https://twitter.com/meddydotcom,https://www.meddy.com/,�,�,Nov-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/meddy,3,",",Health Care,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/health-care-a53c,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/information-technology-4fe3,,,,,"$1,850,000 ","$1,850,000 ",Series A,"$1,850,000 ",Series A,"$1,850,000 ",27-Oct-19,M&A,1,",,,,",�,5,�,Was Acquired,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00000000,",,",,,
https://www.crunchbase.com/organization/vodafone-qatar,Eiosoft Technologies,Communications Infrastructure,Doha,Qatar,"Eiosoft Technologies provides a range of services including voice, messaging, data, fixed communications and ICT managed services","40,544",$500M to $1B,Active,Feb-18,�,�,For Profit,"Eiosoft Technologies vision is simple; it is a vision that is deeply rooted in its mission to connect today�s ideas with the technologies of tomorrow by pioneering digital innovation and becoming people�s first choice in telecom and digital services. The Vodafone brand says� the Future is Exciting, Ready? � this represents an invitation from Vodafone to all its customers and the people of Qatar to embrace and enjoy the digital future together as partners.

Vodafone Qatar switched on its mobile network in March 2009 and built a converged IP network in October 2012. Since then, the Company has made major strides to become a fully converged telecommunications company, building a comprehensive range of products and services for both consumers and businesses alike, as well as contributing to the country�s digital agenda.

Vodafone Qatar is committed to developing the digital system and infrastructure that will contribute to Qatar's continued growth and prosperity in the coming years and enhance the quality of people�s lives.

Vodafone Qatar is accelerating building its fixed infrastructure in over 20 locations around the country and is providing the backbone and communications infrastructure for many of the country's iconic developments.

Significantly, Vodafone Qatar is one of the first operators in the world to go live with 5G commercially and the first to have connected customers to 5G in the country. This comes after having achieved strong progress in rolling out its 5G network across the country since switching it on in August 2018.

Vodafone Qatar�s commitment to the community in which it operates extends beyond the products and services it offers. The Company believes that the true value of a business lies in how it creates economic, environmental and social value. Vodafone Qatar focuses its investments in three key areas: digital safety, community giving and delivering public benefit through the application of technology.

With over 31,000 institutional and retail shareholders, Vodafone Qatar is 94 percent Qatari-owned. This includes the 45 percent of shares owned by Vodafone and the Qatar Foundation LLC. As a member of the Qatar Stock Exchange, Vodafone Qatar has paid-up capital of QAR 4.227 billion.",+974 44096666,�,https://www.linkedin.com/company/eiosoft-technologies-pte-ltd-a-venture-by-abu-dhabi-investments-authority-with-al-nahdha-investments/,https://www.facebook.com/EuroFinInvestsDIFCpteLtd/,https://mobile.twitter.com/shubhrawpratap,https://www.eiosofttechnologies.com/,�,�,501-1000,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/vodafone-qatar,3,",,,",Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Hardware,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/hardware-2e6e,Lending and Investments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/lending-and-investments,Professional Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/professional-services-abe5,"SAR911,000,000",�,�,�,Debt Financing,"SAR911,000,000",21-May-18,�,1,,1,1,�,�,https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00500000,",,",,,
https://www.crunchbase.com/organization/at-home-doc,At-Home-Doc,Health Care,Doha,Qatar,We offer you the convenience of seeing highly qualified experienced and accredited Doctors without the need to leave your premises.,"44,735",�,Active,1-Mar-15,�,�,For Profit,"A comprehensive yet outreach primary healthcare medical service platform that utilizes the latest state of the art and bespoke healthcare technologies in providing a patient-centric, world-class and evidence-based medical practice. The service is provided by �Medihealth Solutions Pty Ltd�, Australia, which is a leading and emerging fast-paced and forward thinking company.

AT-HOME-DOC offers you the convenience of seeing a highly qualified, experienced and accredited doctor without the need to leave your premises. Our Doctors are on the road and ready to attend to patients� premises; providing the best care, after conducting a systematic thorough examination, complying with the international standards; that is a subject of constant auditing and supervision by our Chief Medical Officer.

Our Doctors are equipped with all the needed state of the art equipment that guarantees, conducting a comprehensive medical examination. The doctor will be able to provide the patients with the first doses of any prescribed medications. In addition to that, our electronic prescription system will allow you to have your prescribed medications, delivered to your door-step with the clear instructions of administering the correct dosage. Moreover, if the doctors feel that your condition renders you unfit to work or attend the university or the school, they will issue your medical certificate and email it after the visit.

Shall there be any further investigations required like blood tests etc., our electronic investigation requesting system will organize a booking for the requested test and the laboratory staff will soon get in touch to organize a suitable time, for attending to the patient�s premises and collecting the specimens. Being committed to providing the continuity of medical care, our doctors will check the results and discuss with you the finding during a follow-up phone call, video conference or a second visit if required.

AT-HOME-DOC is not and emergency service; hence, our triage nurses will only take the bookings for the patients that suffer from acute but not emergent medical conditions complying with the company�s policy and divert any emergency to the emergency services, if appropriate. However, our doctor might refer the patient to a hospital, if the doctor suspects any potential risk or confirms any acute emergency that would be deemed unsuitable for home-care. Our Doctor will then work with the control tower on organizing the patients� transfer to the nearest hospital if required.

Download our �AT-HOME-DOC� mobile phone app. It makes scheduling or requesting a doctor�s home visit, simple, quick and easy; you can click to call for immediate assistance or submit an online request. It is your ideal tool, making your access to the itinerary, appointment reminders and your personal medical records, literally in your hand, at all times!",+974 4444 3317,info@at-home-doc.com,https://www.linkedin.com/company/at-home-doc/?originalSubdomain=au,https://www.facebook.com/athomedoc/,https://twitter.com/athomedoc,http://www.at-home-doc.com/,�,�,Nov-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/at-home-doc,2,,Health Care,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/health-care-a53c,,,,,,,"$4,400,239 ","$4,400,239 ",Seed,"$1,400,000 ",Seed,"$1,400,000 ",1-Jan-21,Seed,3,",,,,",�,9,�,�,,",",,,
https://www.crunchbase.com/organization/skipcash,SkipCash,Financial Services,Doha,Qatar,SkipCash is a mobile payment app that provides consumers and merchants with a convenient and enjoyable payment experience.,"48,735",�,Active,2018,�,�,For Profit,SkipCash is a mobile payment app that offers a convenient and enjoyable experience throughout the payments journey for both consumers and merchants.,+974 5599 9184,support@skipcash.com,https://www.linkedin.com/company/skipcash,https://www.facebook.com/skipcashapp/,https://twitter.com/skipcash_app,https://skipcash.app/,�,�,Nov-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/skipcash,2,",,,,",Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/information-technology-4fe3,Mobile,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/mobile-ec09,Payments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/payments-cb33,"QAR7,700,000","QAR7,000,000",Seed,"QAR7,000,000",Seed,"QAR7,000,000",28-Apr-21,Seed,2,,1,1,�,�,,",",,,
