Name Url,Full Name,Primary Job Title,Location,Location 1,CB Rank (Person),First Name,Last Name,Gender,Biography,Primary Organization,LinkedIn
https://www.crunchbase.com/person/yousef-al-obaidly,Yousef Al-Obaidly,Chief Executive Officer,Doha,Qatar,689,Yousef,Al-Obaidly,Male,Yousef Al-Obaidly is the chief executive officer at beIN MEDIA GROUP.,beIN MEDIA GROUP,https://www.linkedin.com/in/yousef-al-obaidly
https://www.crunchbase.com/person/nasser-al-khelaifi,Nasser Al-Khelaifi,Chairman and CEO,Doha,Qatar,831,Nasser,Al-Khelaifi,Male,Nasser Al-Khelaifi is the Chairman and CEO at Paris Saint-Germain Football Club. Nasser Al-Khelaifi attended Qatar University.,Paris Saint-Germain Football Club,https://www.linkedin.com/in/nasser-al-khelaifi-246785177/
https://www.crunchbase.com/person/rossen-dimitrov,Rossen Dimitrov,Chief Officer Customer Experience,Doha,Qatar,"2,156",Rossen,Dimitrov,Male,�,Qatar Airways,https://www.linkedin.com/in/rossen-dimitrov-88462ab1/
https://www.crunchbase.com/person/sheikh-hamad-bin-abdullah-al-thani,Jitendra Gopal Jhadhav,Associate Director,Doha,Qatar,"8,739",Jitendra Gopal,Jhadhav,Male,"Mr Jitendra G Jadhav is a vc with a high potential Investment Risk & also subsequently,he is heading  for the distribution channels of DEFItt & fTT BONDS in India and also in globally.",Eiosoft Technologies,
https://www.crunchbase.com/person/frederic-paux,Frederic Paux,Chief Executive Officer,Qatar,,"10,064",Frederic,Paux,Male,Frederic Paux is the CEO of North Oil Company. he attended IFP School.,North Oil Company,https://www.linkedin.com/in/fredericpaux/?locale=en_US
https://www.crunchbase.com/person/mansoor-bin-khalifa-al-thani,Mansoor Bin Khalifa Al-Thani,�,Qatar,,"10,142",Mansoor Bin Khalifa,Al-Thani,Male,Mansoor Bin Khalifa Al-Thani is the founder of MBK Holding. He attended Qatar University in 1993.,,https://www.linkedin.com/in/mansooralthani
https://www.crunchbase.com/person/ataf-ahmed,Ataf Ahmed,Head of Asset Management,Qatar,,"11,037",Ataf,Ahmed,Male,"Ataf Ahmed is the global head of Asset Management for the QInvest group. He is responsible for launching and building the asset management franchise from inception in 2013 to a multi strategy and multi-asset class business, with a team located in four countries managing close to US$ 1 Billion. The Asset Management group has won multiple awards and created QMAP, QInvest�s managed account fund platform, which is the world�s first open architecture Sharia�a compliant managed account platform.  Prior to joining QInvest, he was a Director in the UBS Wealth Management Hedge Funds group in Zurich where he had a range of responsibilities including oversight of a number of multi-billion fund of hedge funds as well as overseeing the advisory fund of hedge fund platform for the bank on a global basis",QInvest,https://www.linkedin.com/in/atafahmed/?ppe=1
https://www.crunchbase.com/person/sheikh-khalid-bin-hamad-bin-khalifa-al-thani,Sheikh Khalid Bin Hamad Bin Khalifa Al-Thani,Founder,Doha,Qatar,"14,456",Sheikh,Khalid Bin Hamad Bin Khalifa Al-Thani,Male,Sheikh Khalid Bin Hamad Bin Khalifa Al-Thani is the founder of Al Jazeera.,Al Jazeera,
https://www.crunchbase.com/person/ahmad-mohammed-ahmad-al-sayed,Ahmad Mohammed Ahmad Al-Sayed,�,Qatar,,"17,661",Ahmad,Mohammed Ahmad Al-Sayed,Male,"Ahmad Al-Sayed is the Founder and Chief Executive Officer of Sharq-Capital for Investment, where he invests or co-invests and advises business groups and family offices on Strategic Finance and Investment.

Mr. Al-Sayed served as Chief Executive Officer of Qatar Investment Authority and Qatar Holding, where he played a critical role building, overseeing and managing the Qatar Sovereign Wealth Fund. During his tenure, he executed mega deals such as the QIA/QH�s investment in Credit Suisse and Barclays Bank, engineered the merger of VW and Porsche, as well as Xstrata and Glencore, the take-over of Songbird and Canary Warf Group, and the acquisition of Harrods Group.

Prior to QIA, Mr. Al-Sayed held key roles in various local and international institutions, including the Supreme Council for Economic Affairs and Investment. Mr. Al-Sayed has also served as board member for Qatar National Bank, Canary Wharf Group and Volkswagen, Vice Chairman of Qatar Exchange and Executive Chairman of Harrods LHD.

Mr. Al-Sayed holds his MBA with Trium Global (from LSE NYU Stern, HEC Paris), a Master�s in International Banking and Financial Law from Boston University, and an LLB from Qatar University.",,https://www.linkedin.com/in/ahmad-al-sayed-582028176
https://www.crunchbase.com/person/jehan-al-meer,Jehan Al-Meer,�,Qatar,,"24,594",Jehan,Al-Meer,Female,�,,https://www.linkedin.com/in/jehan-al-meer-a215235
https://www.crunchbase.com/person/hamad-mubark-al-hajri,Hamad Mubark Al-Hajri,Co-Founder & CEO,Doha,Qatar,"25,179",Hamad,Mubark Al-Hajri,Male,"Hamad Mubark Al-Hajri is the Founder , CEO & CMO at Snoonu. Attended Kyoto University.",Snoonu,https://www.linkedin.com/in/hamadmubarkalhajri/
https://www.crunchbase.com/person/patrick-hojlo,Patrick Hojlo,�,Doha,Qatar,"41,192",Patrick,Hojlo,�,Patrick Hojlo is a Healthcare Investments at Qatar Investment Authority.,,https://www.linkedin.com/in/patrick-hojlo/
https://www.crunchbase.com/person/munera-al-dosari,Munera Al-Dosari,Chief Executive Officer,Qatar,,"44,798",Munera,Al-Dosari,Male,Munera Al-Dosari is the Chief Executive Officer at Starlink ME. He attended HEC Paris.,Starlink ME,https://www.linkedin.com/in/munera-al-dosari-78b41642/
https://www.crunchbase.com/person/md-nahid-islam,Md Nahid Islam,Chief Executive Officer (CEO) & Editor,Qatar,,"49,212",Md Nahid,Islam,Male,Chief Executive Officer (CEO) & Editor Qatar Bangla News.,Qatar Bangla News,https://www.linkedin.com/in/nahidofficialbd
https://www.crunchbase.com/person/markus-egger-097b,Markus Egger,�,Qatar,,"52,659",Markus,Egger,Male,Markus Egger is the Director of Sport & Strategy at Aspire Academy; Sport Venture Investor.,,https://www.linkedin.com/in/markus-egger-14987547/?originalSubdomain=qa
https://www.crunchbase.com/person/giles-trendle,Giles Trendle,"Director of Programmes, Al Jazeera English",Qatar,,"55,088",Giles,Trendle,Male,"Giles Trendle is Managing Director of Al Jazeera English since May 2015. He started his Al Jazeera career with Arabic's flagship investigative documentary show Top Secret. He moved across to Al Jazeera English in 2006 where he commissioned and acquired films for the Witness documentary strand. Prior to joining Al Jazeera, Trendle was an independent documentary-maker and journalist specialising in the Middle East.",Al Jazeera,https://www.linkedin.com/in/giles-trendle-60b83
https://www.crunchbase.com/person/mohamed-ahmed-j-al-thani,Mohamed Ahmed J Al Thani,�,Doha,Qatar,"56,658",Mohamed Ahmed J,Al Thani,Male,"His Excellency Sheikh Mohamed Ahmed Jassim Althani is a former Minister of Economy and Trade in the State of Qatar. Previously he spent eighteen years working in the oil and gas industry, mainly with Qatar Petroleum. He is one of the main founders of QatarGas and RasGas. His main activities now are LNG consulting and research and the geopolitics and political economy of the GCC.

He holds a BAA in Industrial Management and Supervision from Central Michigan University, a Global MBA from Duke University and a Senior Executive programme from London Business School.

Sheikh Mohamed has authored two books; ""The Arab Spring and the Gulf States -Time to Embrace Change"" and ""Jassim the Leader - Founder of Qatar"".",,
https://www.crunchbase.com/person/shafeek-kabeer,Shafeek Kabeer,Founder and CEO,Qatar,,"57,862",Shafeek,Kabeer,Male,"Shafeek Kabeer, the Founder and CEO of Azym Technologies, claims that this app can be used easily by people who are not even techies and this makes the product so special from others.",Azym Technologies,https://www.linkedin.com/in/shafeekkabeer/
https://www.crunchbase.com/person/bassel-gamal,Bassel Gamal,Group Chief Executive Officer,Doha,Qatar,"61,327",Bassel,Gamal,Male,Bassel Gamal is the Group Chief Executive Officer at Qatar Islamic Bank.,Qatar Islamic Bank,https://www.linkedin.com/in/bassel-gamal-aly-ba74991a/
https://www.crunchbase.com/person/mohammed-abdulfattah-d3a0,Mohammed Abdulfattah,Co-Founder & CEO,Qatar,,"63,232",Mohammed,Abdulfattah,Male,Mohammed Abdulfattah is the Co-Founder and CEO of Ebdaa Digital Technology. He was also Currently founded Twffer.com. He attended Helwan University Cairo in 2005.,Mzad Qatar ???? ???,https://www.linkedin.com/in/mafatah
https://www.crunchbase.com/person/khalifa-al-sulaiti,Khalifa Al-Sulaiti,Environmental and Regulatory Manager,Doha,Qatar,"69,147",Khalifa,Al-Sulaiti,Male,"Khalifa Al-Sulaiti is Environmental Manager at Qatargas. He has 16+ years of environmental management experience particularly in LNG operations and expansion projects. As Environmental Manager his main responsibility is to manage environmental compliance at Qatargas� assets comprising of the world�s largest LNG producing facility, Laffan Refinery and Ras Laffan Terminal Operations. He was an integral part of Qatar�s COP18/CMP8 Presidency Technical Team for Climate Change and represented Qatar at the UNFCCC Secretariat based in Bonn, Germany. He holds an MBA degree from Arab Academy for Science, Technology & Maritime Transport, Egypt and Bachelor of Science from Qatar University.",Qatargas,https://www.linkedin.com/in/khalifa-al-sulaiti-4a3626116
https://www.crunchbase.com/person/bashar-jaber,Bashar Jaber,�,Qatar,,"69,789",Bashar,Jaber,Male,"Bashar (BJ) is the founder and CEO of Jeeb. He attained engineering background from the university of Sydney, including IoT, ML and branches of AI. After succeeding in numerous e-commerce sites, Jeeb was launched. Including having an impressive background, As of 2022, Bashar is reputable for being among the youngest entrepreneurs in the Middle East to start an internet company.",,https://www.linkedin.com/in/basharjaberjeeb/
https://www.crunchbase.com/person/marwan-mahmoud-616e,Marwan Marouf Rafiq Mahmoud,Founding Board Member,Doha,Qatar,"84,732",Marwan,Marouf Rafiq Mahmoud,Male,Marwan Mahmoud is the current Founding Board Member of Doha Tech Angels. He previously worked at Specialized Gulf Welding Co. as a Vice Chairman of the Board. Marwan Mahmoud attended the University of Arizona.,Doha Tech Angels,https://qa.linkedin.com/in/marwan-marouf-rafiq-mahmoud-5727296
https://www.crunchbase.com/person/ahmed-isse,Ahmed Isse,Co-Founder,Doha,Qatar,"88,685",Ahmed,Isse,Male,"A rising entrepreneur, born and raised in Qatar. He attended the College of North Atlantic in Qatar and studied in Information systems. Growing up his father taught him important values and brought him up in a strict and disciplined environment. As an entrepreneur himself, he wanted Ahmed to continue his post-graduate studies and work in the family business.

Ahmed like most successful entrepreneurs decided to drop out of post-graduate school and focused on himself and what the real world had to offer. In 2016, with his ambition he started multiple businesses which eventually failed. Some of his earlier endeavors were an E-commerce platform and a third-party enterprise software support services business. In 2018, Ahmed co-founded 9to5.ai, a hiring-marketplace platform that helps connect quality job seekers with the best possible companies.

Ahmed is not just an entrepreneur but a real talent. And this talent is going to make him an innovator. His business career started with him practicing and failing on different avenues as early as possible that prepared him for what was ahead. He�s trained himself and looked for ways on how to do it and work really hard on becoming a great entrepreneur. He has a lot of passion and confidence because it made him grow stronger. He also had tips from professional mentors who prepared him well for his grueling journey.",Dibsy,https://www.linkedin.com/in/ahmedisse89
https://www.crunchbase.com/person/hilal-al-kuwari,Hilal Al-Kuwari,�,Doha,Qatar,"90,407",Hilal,Al-Kuwari,Male,"Engineer Hilal Al-Kuwari has a distinguished professional track record operating across a number of high profile sporting and large-scale development projects. He oversaw the development and operation of the Sports City project, now known as Aspire Zone, including planning and infrastructure overlay for the venues of the 2006 Asian Games, which took place in Doha. He has made a significant contribution to a range of projects for sports clubs in Qatar, and was involved in developing the innovative cooling technology system at Al Sadd Sports Club, which allows sports activities to be played all year round. With a background in engineering, he served in senior management positions at Qatar Petroleum and RasGas City, where he was the Manager of Support Services. His outstanding work was officially recognised in 2009 by fellow engineers from the GCC when he was awarded the Best Engineer in the State of Qatar. In addition to his duties as the President of Aspire Zone Foundation, Eng. Al-Kuwari is an active member of several government tender committees, including the General Tender Committee of the Public Works Authority, General Tender Committee of 2022 FIFA World Cup Qatar� and Central Tender Committee for Qatar. He is involved in major projects including the planning and operation of Katara Cultural Village and the Salwa International Highway redevelopment.",,https://www.linkedin.com/in/hilal-al-kuwari-513a388b
https://www.crunchbase.com/person/kirsten-de-bruijn,Kirsten de Bruijn,�,Qatar,,"94,073",Kirsten de,Bruijn,Female,"Kirsten de Bruijn is Executive Vice-President of Cargo at WestJet.De Bruijn brings with her a large portfolio of air cargo experience and more than 15 years in the airline industry. She joins WestJet Cargo most recently from Qatar Airways, where she served as Senior Vice President Cargo Sales and Network Planning. During her time at Qatar Airways, de Bruijn managed the airline's global cargo sales organization including product development and marketing and was responsible for the freighter network planning department. Prior to her tenure at Qatar Airways, de Bruijn served as Vice President, Cargo Pricing and Interline at Emirates Sky Cargo.She completed her Bachelor's degree from Zuyd Hogeschool and Global Business Consortium programme study from London Business School.",,https://www.linkedin.com/in/kirsten-de-bruijn-493aab3
https://www.crunchbase.com/person/mohammed-al-delaimi,Mohammed Al-Delaimi,"Founder, CEO, and Managing Director",Doha,Qatar,"96,440",Mohammed,Al-Delaimi,Male,"Mohammed Al-Delaimi is the Founder, CEO, and Managing Director at SkipCash.",SkipCash,https://qa.linkedin.com/in/mohammed-al-delaimi-838556173
https://www.crunchbase.com/person/abdulrahman-al-thani,Abdulrahman Al-Thani,Founder,Qatar,,"103,110",Abdulrahman,Al-Thani,Male,Abdulrahman Al-Thani is the Founder at Fusion Group. Abdulrahman Al-Thani attended the University of Jordan.,Fusion Group,https://www.linkedin.com/in/abdulrahman-al-thani-25517b76/
https://www.crunchbase.com/person/khalid-mubarak-s-a-al-kaabi,KHALID MUBARAK S A AL KAABI,�,Doha,Qatar,"107,672",KHALID,MUBARAK S A AL KAABI,Male,�,,
https://www.crunchbase.com/person/mohammed-abdulla-swidan,Mohammed Abdulla Swidan,President & CEO,Doha,Qatar,"108,412",Mohammed Abdulla,Swidan,Male,Mohammed Abdulla Swidan is the current President & CEO of Milaha. He previously worked at Halul Offshore Services Company as a Vice President of Operations. Mohammed Swidan attended the University of Greenwich.,Milaha,https://www.linkedin.com/in/mohammed-swidan-9bb82679
https://www.crunchbase.com/person/eyas-naif-assaf,Eyas Naif Assaf,�,Doha,Qatar,"109,757",Eyas,Naif Assaf,Male,"Eyas Naif Assaf is the Deputy Group CFO at Ooredoo Group.
Eyas Naif Assaf, was appointed as Director of Indosat Ooredoo at the Extraordinary General Meeting of Shareholders (EGMS) held on October 17, 2018. He attended Yarmouk University.",,https://www.linkedin.com/in/eyas-assaf-701a6541
https://www.crunchbase.com/person/moutaz-al-khayyat,Moutaz Al-Khayyat,�,Qatar,,"111,430",Moutaz,Al-Khayyat,Male,"Moutaz Al-Khayyat is Chairman at Aura-Hospitality.Moutaz Al -Khayyat is the co-founder and chairman of Urbacon Trading and Contracting (UCC). Moutaz� philosophy centres leadership that promotes creativity and innovation in the organization but that also develops trust through hard work and attention to detail. Thanks to this approach, UCC became one of the largest construction and trading companies in Qatar, completing several large and complex projects in different regions ranging from heavy construction, infrastructure, industrial facilities, mixed-use development, hospitality and residential.
Moutaz Al-Khayyat is also chairman of Baladna Food Industries QPSC, which went public in December 2019.",,https://www.linkedin.com/in/moutaz-al-khayyat-956a1772
https://www.crunchbase.com/person/ali-rana,Ali Rana,Director - QNB Capital,Doha,Qatar,"115,181",Ali,Rana,Male,�,QNB Group,https://www.linkedin.com/in/alirana
https://www.crunchbase.com/person/regard-yakou,Regard Yakou,�,Doha,Qatar,"121,523",Regard,Yakou,Male,"Regard Yakou received his Ph.D. from Aston University, located in the United Kingdom.  Respect Regard Yakou, previous VP and supervisor of Hill International and current chief of operations at Contraco, has built up various abilities to end up noticeably effective and unmistakable in his profession as a development director. Regard Yakou is responsible for overseeing multiple high-profile construction and development projects throughout his career",,https://www.linkedin.com/in/regard-abooyakou-0560a16
