Organization URl,Organization Name,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Founded Date,Exit Date,Closed Date,Company Type,Full Description,Phone Number,Contact Email,LinkedIn,Facebook,Twitter,Website,Investor Type,component--field-formatter 22,component--field-formatter 23,component--field-formatter href 10,component--field-formatter 24,link-accent 10,link-accent href 10,component--field-formatter 25,link-accent 12,link-accent href 12,link-accent 13,link-accent href 13,link-accent 14,link-accent href 14,link-accent 15,link-accent href 15,component--field-formatter 26,component--field-formatter href 11,ng-star-inserted 3,ng-star-inserted 4,ng-star-inserted 5
https://www.crunchbase.com/organization/sary,Sary,B2B,Ar Riyadh,Sary is a MENAP B2B marketplace connecting small businesses with wholesalers and lenders to procure supply efficiently.,"1,981",$100M to $500M,Active,Apr 2018,�,�,For Profit,"Sary is a B2B marketplace that connects small businesses with suppliers seamlessly. The company's mission is to empower organizations with smarter ways to operate and grow efficiently.

Sary was founded in early 2018 by Careem ex-General Manager, Mohammed Aldossary, and his partner Khaled AlSiari, to fix the broken supply chain in the wholesale industry. Today, Sary operates in 12 major cities, where customers can order wholesale items ranging from a box to a truckload in a few clicks to be delivered as fast as 24 hours. Sary served 40,000+ customers, worked with 1700+ brands and wholesalers.",�,Info@sary.com,https://www.linkedin.com/company/saryapp/,https://www.facebook.com/trysaryapp/,https://twitter.com/trySaryApp,https://www.sary.com/,�,�,251-500,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/sary,",",Khaled Alsiari,https://www.crunchbase.com/person/khaled-alsiari,",,,,",Artificial Intelligence,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551,Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Data and Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/data-and-analytics,Other,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/1718a583-5105-47e5-b3b0-16c2e3dca322,"$112,100,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/sary,,,
https://www.crunchbase.com/organization/tamara,Tamara,E-Commerce,Riyadh,"Tamara offers a buy now, pay later platform that enables customers to pay in installments.","2,287",�,Active,Feb 2020,�,�,For Profit,"Tamara is MENA�s leading payments innovator, focused on providing a seamless experience for merchants and customers through fair and transparent financial solutions.

The company�s flagship Buy Now Pay Later platform lets shoppers split their payments online and in-store with no fees and no interest. Thousands of leading retailers across the region including SHEIN, Namshi, Swarovski and Faces use Tamara to provide flexible financial options for their customers.

Tamara was founded in Riyadh, Saudi Arabia in late 2020, by serial entrepreneur Abdulmajeed Alsukhan, Turki Bin Zarah and Abdulmohsen Al Babtain. It has since grown to more than 180 employees in offices around the world including the UAE, Germany and Vietnam, and the company�s $110 million Series A round in 2021 - led by Checkout.com - broke records as the largest-ever in the Middle East.

Shortly after launching, the company became the first in its category to acquire a sandbox license from the Saudi Central Bank (SAMA), which enables the rollout and growth of new financial technologies in the Kingdom. Since then, Tamara has expanded to offer services to customers in the UAE and Kuwait, with future plans to further expand across the region.

Tamara�s culture emphasizes alignment, taking action and striving for the best, with team members empowered to take decisions and innovate by looking for the questions, not just the answers.

The company�s financial solutions are developed in strict adherence with the Islamic Sharia rules and regulations, and are fully compliant with the AAOIFI Sharia Standards.",�,�,https://www.linkedin.com/company/tamara,,https://twitter.com/usetamara,https://tamara.com/,�,�,101-250,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/tamara,",,",Abdulmajeed Alsukhan,https://www.crunchbase.com/person/abdulmajeed-alsukhan,",,",Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Payments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/payments-cb33,,,"$215,600,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/tamara,�,,
https://www.crunchbase.com/organization/foodics,Foodics,Management Information Systems,Riyadh,"Foodics is a restaurant management system that manages sales, transactions, inventory, employee schedules, and customer relationships.","2,905",�,Active,2014,�,�,For Profit,"Foodics offers a cloud-based all-in-one restaurant management system on an iPad in English and Arabic. With multiple add-on iOS apps and building on more, thousands of restaurants, food trucks, cafes, and fast-food chains across the Middle East are hiking their revenues and building their relationships with diners. Offering high tech solutions and real-time management, Foodics powers its clients and provides a unique style of dining fit for the future.

Their mission is to provide a restaurant management system that is so easy to use and won�t even need their guide. They have five locations across the Middle East that serves 24/7 and over a thousand customers who have rung up over a billion orders through the Foodics system.",966 920 028 928,international@foodics.com,https://www.linkedin.com/company/foodics,https://www.facebook.com/Foodics,https://twitter.com/foodics,https://www.foodics.com/,�,�,101-250,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/foodics,",",Ahmad Al-Zaini,https://www.crunchbase.com/person/ahmad-al-zaini,",,,,",Artificial Intelligence,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551,Data and Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/data-and-analytics,Food and Beverage,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/food-and-beverage-5f1e,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/information-technology-4fe3,"$197,996,075",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/foodics,,,
https://www.crunchbase.com/organization/salla,Salla,E-Commerce,Makkah,Salla allows users to easily set up an e-commerce store in Arabic through their platform.,"3,277",�,Active,2016,�,�,For Profit,"Salla a Saudi-based e-commerce platform that allows users to set up their e-commerce store in Arabic and sell their products and services to customers. In addition, users can set up their own branded store (with their own domain name) by selecting a design of their liking available on Salla. The owners of the e-commerce stores can then manage their inventory by using Salla�s website or app. Salla provides different types of reports and tools that help store owners with automatic invoices, integration, Instagram, customer database, the ability to block customers, pin favorite products, have offers and discounts, and more.",�,info2sa9ec@salla.sa,https://www.linkedin.com/company/sallaapp/,https://www.facebook.com/SallaApp,https://twitter.com/SallaApp,https://salla.sa/,�,�,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/salla,",",Nawaf Hariri,https://www.crunchbase.com/person/nawaf-hariri,",,,,,",Artificial Intelligence,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551,Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Data and Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/data-and-analytics,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/information-technology-4fe3,"$11,275,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/salla,,,
https://www.crunchbase.com/organization/paytabs,PayTabs,E-Commerce,Al Khobar,"World's simple and trusted payments since 2014. PayTabs is an award winning, global, B2B online payments Solution Provider.","4,030",�,Active,Jan 2014,�,�,For Profit,PayTabs is an innovative new economy payment processing and fraud prevention company built to provide buyers and sellers an advanced technology to pay and get paid.,+966 9200 06532,marketingdept@paytabs.com,https://www.linkedin.com/company/paytabs-holding-company/,https://www.facebook.com/paytabs,https://www.twitter.com/paytabs,https://site.paytabs.com/,�,�,51-100,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/paytabs,,Abdulaziz Fahad Al Jouf,https://www.crunchbase.com/person/abdulaziz-fahad-al-jouf,",,,,",Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Mobile,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/mobile-ec09,Payments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/payments-cb33,"$25,333,333",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/paytabs,,,
https://www.crunchbase.com/organization/saudi-arabia-public-investment-fund,Saudi Arabia's Public Investment Fund,Finance,Riyadh,Saudi Arabia's Public Investment Fund facilitates the development of the national economy.,"5,053",$100M to $500M,Active,1971,�,�,�,"The Public Investment Fund was originally established in 1971 to facilitate the development of the Saudi Arabian national economy.  In 1974, PIF was mandated to hold equity positions in join-stock ventures within its domestic economy.",�,�,https://www.linkedin.com/company/pifsaudi/,,https://twitter.com/pifsaudi,https://www.pif.gov.sa/,"Government Office, Venture Capital",Private Equity,501-1000,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/saudi-arabia-public-investment-fund,,Faisal bin Abdulaziz Al Saud,https://www.crunchbase.com/person/faisal-bin-abdulaziz-al-saud,",",Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Lending and Investments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/lending-and-investments,,,,,"$11,000,000,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/saudi-arabia-public-investment-fund,�,,
https://www.crunchbase.com/organization/vision-ventures-2,Vision Ventures,Financial Services,Dammam,Vision Ventures invests in innovative startups in the seed and early stages helping startups realize their dreams and making a difference.,"5,235",�,Active,"Dec 31, 2016",�,�,�,"Vision Ventures (VV) is an early stage venture capital firm founded by experienced entrepreneurs. Its slogan is:""By Entrepreneurs for Entrepreneurs"". We invest in innovative startups in the Seed and Series A across a wide range of verticals. We help startups realize their dreams and make a difference in a noisy world. We are an energetic team that has a wealth of experience in starting companies and steering them to success and hyper growth. Our combined experience spans over 90 years in multiple countries which gives us extensive experience in multi-national, multi-cultural teams. We provide startups with hands on assistance and guidance on marketing, sales, product/service development, financial planning and management, expansion & growth strategy, and more.",�,info@visionvc.co,https://www.linkedin.com/company/vision-ventures-vv/,https://www.facebook.com/VisionVCco/,https://twitter.com/visionvcco,http://visionvc.co/,Venture Capital,"Convertible Note, Debt, Early Stage Venture, Seed",1-10,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/vision-ventures-2,",",Haitham BuAisha,https://www.crunchbase.com/person/haitham-abu-aisha,,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,,,,,,,�,,,,
https://www.crunchbase.com/organization/nana-direct,Nana,Delivery,Riyadh,Nana is a grocery shopping and delivery platform that offers grocery and other home essentials delivery.,"5,372",$1M to $10M,Active,"Jan 1, 2016",�,�,For Profit,"Nana is an online grocery platform that provides doorstep deliveries of groceries and other home essentials. The company's platform offers a wide assortment of groceries, fruits, and vegetables, cosmetics, electronics, bakery items, and flowers that enables consumers to purchase products online and get them delivered to their homes.

Nana was established in 2016 and is headquartered in Riyadh, Ar Riyad, Saudi Arabia.",�,investors@nana.sa,https://www.linkedin.com/company/nana-app,https://www.facebook.com/NanaAppSA,https://twitter.com/NanaAppSA,https://www.nana.sa/,�,�,251-500,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/nana-direct,",",Abdulmajeed Alsukhan,https://www.crunchbase.com/person/abdulmajeed-alsukhan,",,,,,",Administrative Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/administrative-services,Artificial Intelligence,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551,Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Data and Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/data-and-analytics,"$78,959,999",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/nana-direct,,,
https://www.crunchbase.com/organization/retailo-technologies,Retailo Technologies,B2B,Riyadh,Retailo Technologies is an online B2B marketplace that aims to technologically supercharge retail supply chain in the MENAP region.,"5,758",�,Active,Jun 2020,�,�,For Profit,"Retailo is the fastest growing B2B startup in MENAP and has digitized retail supply chains in the region. Founded in July 2020 by former Careem executives Talha Ansari, Wahaj Ahmed and Mohammad Nowkhaiz, Retailo has raised $9 million in just 9 months thanks to a diverse group of international investors that include institutions from Silicon Valley, UK, and GCC and also high net worth individuals (HNWs).

Headquartered in Riyadh and operational in multiple markets in MENAP, Retailo currently provides services to over 35,000 active retailers that can access more than 2,000 SKUs from the Retailo app which are delivered to them within 24-hours of order placement. Retailo�s 500+ colleagues are spread across multiple cities in MENAP and fulfil tens of thousands of retailers� orders every month. This vast operation is managed through multiple warehouses that store inventory from hundreds of brands, many of which are direct Retailo partners.

Retailo�s mission is to simplify the retail business and make supply chains easily accessible and beautifully uncomplicated. Through its high-powered app, driven teams and smart operations, Retailo will unlock the earning potential of 10 million SME retailers in MENAP and lift the economy of the entire region.",+92 313 7382456,info@retailo.co,https://ae.linkedin.com/company/retailo-app,https://www.facebook.com/retailopak,https://twitter.com/RetailoT,https://retailo.co/,�,�,501-1000,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/retailo-technologies,",,",Muhammad Ansari,https://www.crunchbase.com/person/muhammad-talha-ansari-2,",,,,",Artificial Intelligence,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551,Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Data and Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/data-and-analytics,Other,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/1718a583-5105-47e5-b3b0-16c2e3dca322,"$45,000,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/retailo-technologies,,,
https://www.crunchbase.com/organization/lean,Lean Technologies,Financial Services,Riyadh,Lean Technologies is a FinTech startup that develops a platform to provide access to consumer financial data.,"6,203",�,Active,2019,�,�,For Profit,"Lean Technologies is a FinTech startup that develops a platform to provide access to consumer financial data. The company's API suite, which was designed to abstract developers from the fragmentation of the financial infrastructure, enables businesses to seamlessly access their customer�s financial data and initiate instant bank transfers.

Lean was founded in 2019 and has offices in Riyadh, Dubai, Cairo, and London.",�,contact@leantech.me,https://www.linkedin.com/company/leantechnologies/,,https://twitter.com/LeanTechHQ,https://www.leantech.me/,�,�,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/lean,",,",Aditya Sarkar,https://www.crunchbase.com/person/aditya-sarkar,",,,,",Artificial Intelligence,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551,Data and Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/data-and-analytics,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/information-technology-4fe3,"$36,500,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/lean,�,,
