Event Url,Event Name,Start Date,End Date,Location,Location 1,Description,Event Type,Venue Name,Registration URL,Full Description,Industry Group,Industry,CB Rank (Event)
https://www.crunchbase.com/event/leap-5851,Leap,1-Feb-22,3-Feb-22,Riyadh,Ar Riyad,"LEAP landed in Riyadh on 1-3 February 2022 and brought together 100,000+ visitors to discover what is next for technology and humanity",Conference,�,https://www.onegiantleap.com/en/home.html,"The first edition of LEAP landed in Riyadh on 1-3 February 2022 and brought together 100,000+ visitors to discover what is next for technology and humanity. Across the three days, we were joined by 700+ exhibiting global technology companies, 330+ top investors and 500+ global CEOs and expert speakers. Over $6.4 billion of initiatives and programs were announced and $1,000,000 won in the Rocket Fuel Start-up Competition.",Information Technology,Information Technology,346
https://www.crunchbase.com/event/gsma-mobile-360-riyadh-2022,GSMA Mobile 360 Riyadh 2022,17-May-22,18-May-22,Riyadh,Ar Riyad,The Region�s Most Influential Connectivity Event. Driving the growth of the digital economy.,Conference,Hilton Riyadh Hotel and Residences,https://www.mobile360series.com/riyadh/attendee-interest/,"The Region�s Most Influential Connectivity Event
Mobile 360 Riyadh brings together stakeholders from ministries, regulatory bodies and the broader mobile ecosystem, to drive the growth of the digital economy.

This year�s event encourages delegates to attend who fit the following criteria:

National ministries including telecommunications, digital agenda, finance, gender and health
Telecommunications regulatory authorities, data protection authorities, identity authorities and central banks
Senior leadership from selected city governments
Senior representatives from selected international organisations and intergovernmental bodies
C-level and senior representatives from the mobile industry who are in regulatory positions",Hardware,Telecommunications,746
https://www.crunchbase.com/event/ewc-entrepreneurship-world-cup-2021,EWC - Entrepreneurship World Cup 2021,27-Jul-21,30-Nov-21,Riyadh,Ar Riyad,"The Entrepreneurship World Cup supports the growth of 175,000 entrepreneurs in 200 countries.",Competition,�,https://entrepreneurshipworldcup.com/,"The Entrepreneurship World Cup is more than just a global pitch competition with a shot at life-changing prizes. With 100,000 entrants from around the world, EWC elevates entrepreneurs � providing you with tools and resources to grow your venture. It doesn�t matter how far you�ve come � idea-stage, early-stage, growth-stage or beyond � EWC can putyou on the right course. Leverage world-class content in the EWC Accelerator to: unleash your ideas, hone your pitching skills and engage with a global network of mentors. And, oh yeah, compete for those life-changing prizes, together with business opportunities and investment.",,,"25,354"
https://www.crunchbase.com/event/startup-weekend-mobile-jazan-2016324,Startup Weekend Mobile Jazan,24-Mar-16,26-Mar-16,Jazan,Jizan,Startup Weekend Mobile Jazan,Other,Headquarters,http://www.up.co/communities/saudi-arabia/jazan-saudi-arabia/startup-weekend/8703,�,Mobile,Mobile,"26,223"
https://www.crunchbase.com/event/financial-sector-conference,Financial Sector Conference,24-Apr-19,25-Apr-19,Riyadh,Ar Riyad,The Financial Sector Conference aims to become the most prominent Financial Sector Event locally and regionally,Conference,King Abdulaziz International Conference Center,https://financialsector-conference.com/about/,"Under the patronage of the Custodian of the Two Holy Mosques, King Salman bin Abdulaziz Al Saud, the first edition of the Financial Sector Conference, which is part of the Financial Sector Development Program (a Vision 2030 program), will be held on April 24-25, 2019 in Riyadh.

The Financial Sector Conference aims to become the most prominent Financial Sector Event locally and regionally. It seeks to increase the Saudi financial sector�s contribution to GDP by building a diversified and stable financial sector and developing a sophisticated financial market, through inviting all concerned stakeholders in the Saudi financial sector to participate in a constructive dialogue.

The two-day conference, taking place from April 24 to 25, 2019, will bring together financial sector business leaders from around the world, representatives from leading public and private sector financial institutions, including the International institutions, financial ratings agencies as well as internationally recognized capital markets experts.

The conference is a joint initiative that will be organized and co-hosted by the Ministry of Finance, Saudi Arabian Monetary Authority, and the Saudi Capital Market Authority (the three sponsors of the Financial Sector Development Program). It aims to bolster the Kingdom�s international position as the largest financial market in the Middle East and open the door for several investment opportunities as outlined by Vision 2030, particularly the different programs under the umbrella of the Financial Sector Development Program being executed in accordance with the program�s three pillars: enabling financial organizations to support the growth of the private sector, developing an advanced financial market, and enabling financial planning in all segments of society.",Financial Services,Finance,"21,820"
https://www.crunchbase.com/event/3rd-mena-pharmaceutical-manufacturing-congress-20171115,3rd MENA Pharmaceutical Manufacturing Congress,14-Nov-17,16-Nov-17,Jedda,Makkah,"The MENA pharmaceutical market has recorded significant growth in the past few years, as a result of increased spending power",Conference,Le Meridien,https://go.evvnt.com/130456-0,"The MENA pharmaceutical market has recorded significant growth in the past few years, as a result of increased spending power, growth of aging population, and lifestyle associated diseases. Eventually, the total demand for pharmaceutical products has reached the highest levels in some MENA countries, and the pharmaceutical products sales are expected to grow massively in the upcoming years. Hence, many governments in the region have started encouraging more investments in the local pharmaceutical manufacturing, either through building new pharmaceutical industrial areas, or through attracting more foreign direct investment. Some of the biggest European and American pharmaceutical companies have ongoing projects, establishing new pharmaceutical plants in the MENA region, including Saudi Arabia which is expected to be the leading pharma manufacturing hub in the region.
That�s why the MENA Pharmaceutical Manufacturing Congress sets a unique platform by gathering the pioneers from the local and international pharmaceutical companies - CEOs, plant managers, production managers, supply chain managers, quality assurance managers, regulators affairs managers, and engineers - in addition to the leading technology providers who demonstrates the latest technologies and developments in pharmaceutical manufacturing in Saudi Arabia, the biggest pharmaceutical market in the region. The congress includes case studies, presentations, and interactive panel discussions which focus on issues like the obstacles facing the pharmaceutical industry, the integration between the different concerned entities, and the future of the industry in the region. The conference is accompanied by an exhibition that features the latest machineries and technologies used during the different pharmaceutical manufacturing stages, raw materials suppliers, and the regional manufacturers in the country.

Facebook: https://go.evvnt.com/130456-1
Twitter: https://go.evvnt.com/130456-2

Speakers: Eng Nizar Al Hariri, Vice President NICDP � Pharmaceutical and Biotech, National Industrial Clusters Development Program, Leader of Strategic Industrial Developments, Pharma National Transformation Program, KSA Dr Abdullah Al Zahrani, Director of Pharmacy Services Department, Security Forces Hospital Riyadh, KSA Dr Bassam Elmadhoun, Technical Training Manager, Pharmaceutical Solutions Industries PSI, KSA Prof Ibrahim Al Sarra, Professor of Pharmaceutics and Pharmaceutical Biotechnology, King Saud University, President, Saudi Pharmaceutical Society Riyadh, KSA Ismail Shehada, Country Manager, GlaxoSmithKline, KSA Dr Khalid Al Shamari, Director Regulatory Affairs and Products Development, SPIMACO Addwaeih, KSA Mohammad Hussain Alyami, PhD Researcher at Pharmaceutical Science Delivery, Aston University, UK Rafael Beaus, Global Consultancy Manager, Azbil Telstar Technologies, Spain Ra�id Abulhija, Quality Assurance Manager, Tamer Group, KSA Eng Rami Skaik, Director, Engineering and Technical Services, SPIMACO Addwaeih, KSA Ramy Fayed, General Manager, AbbVie Biopharmaceuticals, KSA Salah Al Khowaiter, Director of Quality and Compliance, SPIMACO Addwaeih, KSA Sanjay Singh, Production Senio r Manager, Julphar, UAE Shady Naeem Hussein, Quality Unit Manager, Pharmaceutical Solutions Industries PSI, KSA Siraj Abid, General Manager, Al Haya Medical Company - Jeddah Branch, KSA Eng Sunil Nair, Head of Validation, SPIMACO Addwaeih, KSA Dr Wasif Syed Azeem, Director Quality Operations, Jamjoom Pharma, KSA 971",Health Care,Pharmaceutical,"15,880"
https://www.crunchbase.com/event/ncb-monsha-at-graduation-day,NCB Monsha'at Graduation Day,7-Nov-19,7-Nov-19,Jeddah,Makkah,Hosted by FinTech Hive Accelerator,Demo Day,Assila Hotel,https://app.eventxtra.com/registrations/83953b87-29e8-4f0f-a4c4-218d69762808,�,,,"9,161"
https://www.crunchbase.com/event/project-management-institute-kingdom-of-saudi-arabia-symposium,"Project Management Institute, Kingdom of Saudi Arabia Symposium",18-Dec-18,19-Dec-18,Riyadh,Ar Riyad,"Project Management Institute Classes, Workshops and Networking","Class, Conference",Crowne Plaza Riyadh RDC Hotel and Convention,https://pmi-ksa.org/event/pmi-ksa-symposium-2018/,"600 engineers, scientists, project managers and executive managers meet to talk about PMI, take classes, seminars and workshops, in Riyadh, KSA.",,,"13,437"
https://www.crunchbase.com/event/saudi-strategy-and-kpi-forum-2017124,Saudi Strategy and KPI Forum,4-Dec-17,7-Dec-17,Riyadh,Ar Riyad,A tailored platform to equip organisations in the Kingdom with the tools required to effectively build strategy and performance management.,Conference,Movenpick Hotel Riyadh,http://go.evvnt.com/163477-1,"For 12 years, Informa has delivered world class strategy management events in the Kingdom attracting leaders from both the public and the private sector. This year the Saudi Strategy and KPI Forum builds on this legacy to bring you a market leading platform for management to share best practice on improving strategy execution and developing, measuring and reporting KPIs to drive business efficiency and performance excellence across the Kingdom.


Organisations across the globe face challenges in strategy implementation due to various issues including insufficient partner buy-in, resistance to change, non �alignment with management process, ineffective communication and many other reasons. Managing the strategy implementation process as well as the plan�s performance is crucial and presents new challenges in creating good, solid KPIs that are reflective of the progress that is being made towards achieving the organisation�s strategy.


The Saudi Strategy and KPI Forum is  a platform for strategy and planning leaders to learn best practice through case studies, presentations and interactive sessions focusing on solutions for the biggest challenges faced in strategy execution and KPI development and measurement.


URL:

Brochure: https://go.evvnt.com/163477-2",Professional Services,Business Development,"11,776"
https://www.crunchbase.com/event/index-saudi-2018,INDEX Saudi 2018,30-Oct-18,1-Nov-18,Riyadh,Ar Riyad,"INDEX Saudi will connect 5,000 interior designers, architects, project managers and buyers with local And international suppliers",Expo,Riyadh International Convention And Exhibition Center,http://go.evvnt.com/228860-0?pid=5396,"INDEX Saudi is the latest event in dmg event's leading portfolio of interiors, design and construction events in the GCC region, that currently introduce 200,000+ key buyers to suppliers and manufacturers every year.

The large-scale international tradeshow will be staged over three days in Riyadh, the capital and commercial hub of Saudi Arabia. INDEX Saudi will connect 5,000 interior designers, architects, project managers and procurers based in the rapidly diversifying economy, in a region that is scheduled to spend $18bn+ on interior and fit-out in 2018.

URLs:

Brochure: https://go.evvnt.com/228860-2?pid=5396

Facebook: https://go.evvnt.com/228860-3?pid=5396

Time: 4:00 pm to 11:00 pm",Media and Entertainment,Art,"7,286"
