Organization/Person Url,Organization/Person Name,Number of Investments,Number of Exits,Location,Location 1,Location 2,Description,First Name,Last Name,Facebook,LinkedIn,Twitter,Number of Articles,Full Description,Gender,Primary Job Title,Number of Portfolio Organizations,Number of Lead Investments,Number of Diversity Investments,Investor Type,Investment Stage,CB Rank (Investor),Contact Job Departments,Number of Contacts
https://www.crunchbase.com/organization/kaust-innovation-fund,KAUST Innovation Fund,88,�,Thuwal,Ha'il,Saudi Arabia,KAUST Innovation Fund is a venture capital firm that invests in startups and early-stage companies.,�,�,,https://www.linkedin.com/showcase/kaust-innovation-&-economic-development/,https://twitter.com/KAUSTinnovation,2,"KAUST Innovation Fund is a venture capital firm that aims to grow an innovation and technology investment community and to attract investors and venture capital firms to the emerging Saudi technology ecosystem. The firm makes venture capital investments in high-tech startups from seed to early-stage and becomes a long-term strategic partner of these ventures.  It specializes in the solar and alternative energy, water, information and communications, material and chemical sciences, electrical and electronics, biological and life sciences sectors, ICT. Additionally, the ecosystem provides mentorship and acceleration to the startups through the Entrepreneurship Center. and chemical sciences, electrical and electronics, biological and life sciences sectors, ICT.",�,�,57,12,�,"Accelerator, University Program, Venture Capital","Early Stage Venture, Late Stage Venture, Seed","11,668","Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Medical & Science, Operations, Sales",346
https://www.crunchbase.com/organization/vision-ventures-2,Vision Ventures,85,4,Dammam,Ash Sharqiyah,Saudi Arabia,Vision Ventures invests in innovative startups in the seed and early stages helping startups realize their dreams and making a difference.,�,�,https://www.facebook.com/VisionVCco/,https://www.linkedin.com/company/vision-ventures-vv/,https://twitter.com/visionvcco,18,"Vision Ventures (VV) is an early stage venture capital firm founded by experienced entrepreneurs. Its slogan is:""By Entrepreneurs for Entrepreneurs"". We invest in innovative startups in the Seed and Series A across a wide range of verticals. We help startups realize their dreams and make a difference in a noisy world. We are an energetic team that has a wealth of experience in starting companies and steering them to success and hyper growth. Our combined experience spans over 90 years in multiple countries which gives us extensive experience in multi-national, multi-cultural teams. We provide startups with hands on assistance and guidance on marketing, sales, product/service development, financial planning and management, expansion & growth strategy, and more.",�,�,43,15,2,Venture Capital,"Convertible Note, Debt, Early Stage Venture, Seed","1,097",�,�
https://www.crunchbase.com/organization/saev,Saudi Aramco Energy Ventures,62,6,Dhahran,Ash Sharqiyah,Saudi Arabia,"Saudi Aramco Energy Ventures is the corporate venture capital arm of Saudi Aramco, based in Dhahran, Saudi Arabia.",�,�,,https://www.linkedin.com/company/saev/,http://twitter.com/aevllc,57,"Saudi Aramco Energy Ventures is the  corporate venture capital arm of Aramco Oil Company. It's mission is to invest globally into start-up and high growth companies with technologies of strategic importance to Saudi Aramco, and to accelerate their development and deployment in Saudi Aramco�s operations. Based out of Dhahran (Saudi Arabia), SAEV also operates through regional offices in North America and Europe.

SAEV's Objectives are:

- Enhance reserve identification, management and production
- Increase energy production
- Improve operational efficiency
- Increase value in downstream processes
- Optimize energy & water consumption in Saudi Arabia

SAEV's investment Focus Areas are:

- Upstream Oil & Gas
- Downstream & Petrochemicals
- Sustainability
- Digitalization and IR4.0
- New Drivers of Hydrocarbon Demand",�,�,41,30,1,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture","4,977","Finance, Management, Operations",10
https://www.crunchbase.com/organization/raed-ventures,Raed Ventures,54,3,Riyadh,Ar Riyad,Saudi Arabia,Raed Ventures is an early-stage venture capital firm that partners with exceptional founders building transformative companies in MENA.,�,�,https://www.facebook.com/raedvc,https://www.linkedin.com/company/raedvc,https://www.twitter.com/raedvc,17,Raed Ventures is a Saudi venture capital firm that provides funding for the seed and early-stage startups in KSA and MENA. They invest in entrepreneurial teams shaping the market landscape and we provide MENA startups an opportunity to work in the Saudi & GCC markets. It helps startups in building and executing their plans through collaborations with their sister companies and leveraging their market knowledge and network.,�,�,36,21,�,Venture Capital,"Early Stage Venture, Seed","8,546","Finance, Operations",4
https://www.crunchbase.com/organization/wa-ed-ventures,Saudi Aramco Entrepreneurship Ventures,42,�,Dhahran,Ash Sharqiyah,Saudi Arabia,Wa�ed Ventures invests in innovative early-stage startups with high growth potential.,�,�,,https://www.linkedin.com/company/saudi-aramco-entrepreneurship-center-wa'ed-,,4,"Wa�ed Ventures is the venture capital arm of Saudi Aramco Entrepreneurship Center (Wa�ed), established by Saudi Aramco with the vision of igniting the spirit of entrepreneurship in the Kingdom of Saudi Arabia. Wa�ed has deployed a suite of programs over the years to assist entrepreneurs in establishing, enhancing, or expanding their ventures. These programs comprise development and financial support including business incubation, coaching and training to guide and nurture entrepreneurs along different business stages, seed funding, non-collateral loans, venture capital (equity/debt) investment, and business development. These programs support the development of small- and medium-sized enterprises (SMEs) capable of localizing industries and diversifying the Kingdom�s economy. Wa�ed also collaborates and engages with key players in order to create an effective entrepreneurship ecosystem.

Wa�ed aspires to provide leadership in promoting entrepreneurship to support economic growth, diversification, and social development in Saudi Arabia, in alignment with the Kingdom�s strategic thrust into moving towards a knowledge-based economy. The organization aims to turn innovative ideas into successful projects, create and support sustainable SMEs, and develop entrepreneurs into successful business owners.

Wa�ed Ventures aims to fuel the growth of high potential companies, thereby promoting economic development in Saudi Arabia with job creation for Saudi nationals, technological improvement, knowledge transfer, economic diversification, and economic growth within the Kingdom. The firm focuses on seed, early, and growth-stage businesses across a diverse range of sectors including information and communication technology (ICT), energy, manufacturing, healthcare, and services � from mobile application platforms and technologies to industrial equipment manufacturing to advanced software solutions.",�,�,35,35,�,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Seed","12,087","Finance, Human Resources, Operations",14
https://www.crunchbase.com/organization/impact46,Impact46,38,2,Riyadh,Ar Riyad,Saudi Arabia,Impact 46 is an asset manager and advisor that specializes in alternative investment opportunities.,�,�,,https://www.linkedin.com/company/impact-46/,https://twitter.com/Impact_46,15,"Impact 46 is an asset manager and advisor that specializes in alternative investment opportunities. The firm provides innovative investment products and services to local & international institutions, family groups, endowments, and high net worth investors.",�,�,28,20,�,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed","26,966","Marketing, Operations",3
https://www.crunchbase.com/organization/stv-2,STV,35,1,Riyadh,Ar Riyad,Saudi Arabia,STV is the largest independent VC fund in MENA with $500m in AUM. STV backs and scales the region's most exciting and disruptive ventures.,�,�,,https://www.linkedin.com/company/stventures/,https://www.twitter.com/stvcapital,20,"STV is an independent VC fund that is anchored by STC (MENA's largest telecom operator) with access to its assets (e.g., network, channels, analytics, customer base, etc) to enable its portfolio companies to scale.
(Operation started in early 2018)",�,�,26,23,�,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed","23,745",�,�
https://www.crunchbase.com/organization/oqal,Oqal,30,1,Riyadh,Ar Riyad,Saudi Arabia,A group of young entrepreneurs to connect young people with ideas.,�,�,http://www.facebook.com/oqal.org,,http://twitter.com/OqalOrg,4,�,�,�,29,1,�,Venture Capital,�,"12,890",�,�
https://www.crunchbase.com/organization/nama-ventures,Nama Ventures,27,�,Riyadh,Ar Riyad,Saudi Arabia,"Nama Ventures is a seed stage venture capital fund focused on fueling innovation in the MENA region, particularly in Saudi Arabia.",�,�,https://www.facebook.com/NamaVentures,https://www.linkedin.com/company/namaventures,https://twitter.com/namaventures,20,"Nama Ventures is a seed stage venture capital fund focused on fueling innovation in the MENA region, particularly in Saudi Arabia. ama Ventures is built upon the fundamental idea of enabling entrepreneurs to succeed. And as founders of Nama, we are thrilled to finally have the platform to implement this idea. Our hope is that entrepreneurs willing to partner with us will see and feel our value-add approach to investing.",�,�,22,21,�,Venture Capital,Early Stage Venture,"4,564",�,�
https://www.crunchbase.com/organization/saudi-aramco,Saudi Aramco,24,4,Dhahran,Ash Sharqiyah,Saudi Arabia,Saudi Aramco is a state-owned oil company that is dedicated to oil and gas production.,�,�,https://www.facebook.com/pages/Saudi-Aramco/104028366301417,http://www.linkedin.com/company/saudi-aramco,http://twitter.com/Saudi_Aramco,"3,112","The Saudi Arabian Oil Company (Saudi Aramco) is the state-owned oil company of the Kingdom of Saudi Arabia. It ranks first among oil companies worldwide in terms of crude oil production and exports, and natural gas liquids (NGL) exports, and is among the leading producers of natural gas. It is also known as refiners and are moving further downstream into chemicals production.

The company was founded in 1930 and is headquartered in Dhahran, Saudi Arabia.",�,�,21,7,2,�,�,"3,640",Operations,4
