Name Url,Full Name,Primary Job Title,Location,Location 1,CB Rank (Person),First Name,Last Name,Gender,Biography,Primary Organization,LinkedIn
https://www.crunchbase.com/person/mohammed-jameel-kbe,Mohammed Jameel KBE,�,Jeddah,Saudi Arabia,582,Mohammed,Jameel KBE,Male,"Mohammed Abdul Latif Jameel KBE is a global businessman and investor who serves as Chairman and Chief Executive Officer of Abdul Latif Jameel, a diversified family-owned business founded by his father � the late Abdul Latif Jameel � in 1945.

Appointed CEO of Abdul Latif Jameel in 1980, Mohammed Jameel expanded its core operations into several sectors including mobility, energy and environmental services, engineering and manufacturing, land and real estate, financial services, consumer products, health, advertising and media, and direct and indirect investments in technology.

Today, Abdul Latif Jameel is active in more than 30 countries across six continents. The company employs around 11,000 people of over 40 nationalities.

One of the world�s largest independent Toyota distributors, Abdul Latif Jameel has become an established global player in sustainable mobility, environmental, renewable energy and other growth sectors.

Strategic investments have included leading companies such as U.S. electric vehicle manufacturer Rivian, of which ALJ is an early investor, Spanish renewables company Fotowatio Renewable Ventures (FRV), and U.S. electric air taxi developer Joby Aviation, among other investments across healthcare and fintech.

In 2017, Abdul Latif Jameel established Almar Water Solutions, which specializes in water infrastructure development and utility-scale solutions, working to tackle the challenges of water scarcity and contamination around the world.

Mohammed Jameel has played a central role in the development and expansion of JIMCO (Jameel Investment Management Company), the global investment arm of the Jameel family. JIMCO actively invests in innovative, early-stage and breakthrough ventures and technology, aiming to positively shape the future of core industries driving the global economy. Through two dedicated funds, JIMCO Life Sciences and the JIMCO Technology Fund, the company�s investments span medical and healthcare industries, from pharmaceuticals and vaccines to cutting-edge medical technology, along with emergent technologies across fintech, insurtech, electric vehicles and future mobility solutions.

Mohammed Jameel is an active philanthropist. He is the Founder and Chairman of Bab Rizq Jameel, an initiative which has helped hundreds of thousands of men and women through a range of locally tailored programmes across employment and microfinance.

Mohammed Jameel is also the Founder and Chairman of Community Jameel, an international organisation tackling some of the world�s most important issues and challenges by using a pioneering approach grounded in evidence, science, data and technology: innovating for a better future. Community Jameel employs a new approach to achieving impact, by driving scientific and technological breakthroughs and innovations in the fields of education, health and climate.

An alumnus of the Massachusetts Institute of Technology (MIT), Mohammed Jameel has led a long-standing partnership between MIT and Community Jameel.

This collaboration has launched and supported several world-class research centers, beginning with the Abdul Latif Jameel Poverty Action Lab (J-PAL), whose co-founders were awarded the Nobel Prize in Economics in 2019. Community Jameel and MIT co-founded the Abdul Latif Jameel Water and Food Systems Lab (J-WAFS), the Abdul Latif Jameel World Education Lab (J-WEL), and the Abdul Latif Jameel Clinic for Machine Learning in Health (Jameel Clinic).

Community Jameel also co-founded the Abdul Latif Jameel Institute for Disease and Emergency Analytics with Imperial College London, which carries out research into disease prevention. Research by the Jameel Institute into the COVID-19 pandemic in 2020 was used by policymakers around the world.

Mohammed Jameel�s work has been recognized through a number of honours and awards. In 2008 he was presented with the King Abdul Aziz Medal of the First Order, Saudi Arabia�s highest honour, by His Majesty King Abdullah for his personal contribution to job creation among young men and women in the Kingdom. He was later awarded the GCC Excellence Award for his corporate social responsibility work.

In 2014 he was awarded an Honorary Knighthood (KBE) by HM Queen Elizabeth II of the United Kingdom for his philanthropic activity and support for the development of the arts and culture.

Mohammed Jameel holds a bachelor�s degree in civil and environmental engineering from MIT, and is a life member of the MIT Corporation.",,
https://www.crunchbase.com/person/hassan-jameel,Hassan Jameel,Deputy President and Vice Chairman,Saudi Arabia,,622,Hassan,Jameel,Male,"Hassan Jameel is Deputy President and Vice Chairman of Abdul Latif Jameel, an international, family-owned and diversified business, founded in 1945 by the late Abdul Latif Jameel in Saudi Arabia.

Mr. Jameel heads the domestic operations of Abdul Latif Jameel in Saudi Arabia, and is responsible for operations such as automotive, land and real estate, and machinery.

Hassan Jameel is also President of Community Jameel Saudi Arabia, which is dedicated to social and economic sustainability in the Middle East and beyond, through a wide range of initiatives, including job creation, poverty alleviation, and food and water security. Community Jameel also partners with the Massachusetts Institute of Technology (MIT) on a number of programs to address global challenges.

Mr. Jameel is heavily involved in Community Jameel�s road safety initiative, which aims to promote safe driving through education and awareness campaigns in Saudi Arabia. Hassan is also involved in a number of humanitarian initiatives including programs with the United Nations High Commissioner for Refugees.",Abdul Latif Jameel,https://www.linkedin.com/in/hassan-jameel/
https://www.crunchbase.com/person/abdulrahman-binghaith,abdulrahman binghaith,CEO,Riyadh,Saudi Arabia,"1,329",abdulrahman,binghaith,Male,�,Mustadem,https://www.linkedin.com/in/gaith95/
https://www.crunchbase.com/person/yousef-bin-abdullah-al-shelash,Yousef Bin Abdullah Al Shelash,Founder,Riyadh,Saudi Arabia,"1,561",Yousef Bin,Abdullah Al Shelash,Male,"Yousef Bin Abdullah Al Shelash is the Founder of Quara Holding. Previously he was working as a Chairman of the Board at Bank Al Khair � Bahrain. He holds a bachelor�s degree in Islamic law (the sharia) from Al-Imam Mohammad Ibn Saud Islamic University (1990), a Diploma in Law and Legal Proceedings from the Institute of Public Administration (1992), and a diploma in Banking Studies from the Banking Institute at the Saudi Arabian Monetary Agency (SAMA) (1994.)",Quara Holding,
https://www.crunchbase.com/person/hisham-al-falih,Hisham Al-Falih,Chief Executive Officer,Saudi Arabia,,"4,643",Hisham,Al-Falih,Male,Hisham Al-Falih is Chief Executive Officer at Lean.,Lean Technologies,https://www.linkedin.com/in/hishamfalih/
https://www.crunchbase.com/person/mazen-al-jubeir,Mazen Al Jubeir,Board Member,Riyadh,Saudi Arabia,"5,323",Mazen,Al Jubeir,Male,�,Careem,https://www.linkedin.com/in/mazenaljubeir
https://www.crunchbase.com/person/tarek-obaid,Tarek Obaid,Co-founder and Chief Executive Officer of PSI,Al Khobar,Saudi Arabia,"5,682",Tarek,Obaid,Male,"Tarek Obaid is co-founder and Chief Executive Officer of PSI.
In his capacity as Chief Executive Officer, he is responsible for the Group�s overall management, strategy and high-level political relationships. In addition to PetroSaudi, Tarek Obaid is a founder of the New College of the Humanities, London, and investor in a variety of businesses including financial services, technology, education and real estate.
His charitable involvements include a center for reconstructive transplant surgery at The Mayo Clinic in Rochester Minnesota.
In addition to the companies Tarek founded, he sits on the boards of Global Environmental Management Services Saudi Arabia and Bellevue Education.
Tarek Obaid is also a member of the Saudi-British Business Council. He is a graduate of the Edmund A. Walsh School of Foreign Service, Georgetown University.",PetroSaudi,
https://www.crunchbase.com/person/abdulrahman-tarbzouni,Abdulrahman Tarabzouni,"Founder, CEO & MD",Saudi Arabia,,"5,785",Abdulrahman,Tarabzouni,Male,"Abdulrahman Tarabzouni is the Founding Chairman of Saudi Venture Capital and Private Equity Association. Previously, held executive leadership roles at Google�s headquarters in California. Headed the company�s global efforts to build new businesses and partnerships for Android, Mobile, and Wireless Communications. Abdulrahman Tarabzouni attended Massachusetts Institute of Technology.",STV,http://www.linkedin.com/in/aitmit
https://www.crunchbase.com/person/ahmad-al-zaini,Ahmad Al-Zaini,CEO & Co-Founder,Saudi Arabia,,"6,322",Ahmad,Al-Zaini,Male,�,Foodics,https://www.linkedin.com/in/alzaini/
https://www.crunchbase.com/person/mazen-al-sawwaf,Mazen Al Sawwaf,�,Saudi Arabia,,"7,650",Mazen,Al Sawwaf,Male,"Mazen Al Sawwaf is a Saudi Arabian businessman. He manages assets and operations in numerous countries and regions, including the United Kingdom, France, the Middle East, and North Africa. Al Sawwaf's work is driven not only by his commercial insight but also by his commitment to social and moral causes.

Education

Al Sawwaf received his education both in Saudi Arabia, where he was born in 1962, and in the United Kingdom, where he earned a degree in economic and political science from London�s Queen Elizabeth College. His upbringing and schooling put strong emphasis on the special importance of public service.

Early Business Career

Al Sawwaf began his career in business before he reached the age of 20. In 1981 he partnered with some British businessmen and together they founded Sawwaf Company 5, a firm specializing in construction and road signage. Five years later, Al Sawwaf took his next career step and ventured outside his familiar environment. He took up a position at a Saudi company named Outside Environment, which he then went on to acquire and rename as Al Mazen International Construction and Trading in 1994.  Al Mazen Int. has overseen many major projects throughout Saudi Arabia, including hotels, palaces, residential buildings, commercial complexes and education facilities. Al Sawwaf has since diversified into many other fields, including real estate, the automotive industry, healthcare, and renewable energy.

Professional Landmarks and Social Vision

Mazen Al Sawwaf is a big believer in social responsibility and environmental awareness. He consistently integrates these two dimensions into his business activity. In 1982 he set up El Hassan Medical Equipment, the first firm in Saudi Arabia to produce medical equipment for the disabled. In 2004 he began working with the leading French pharmaceutical company LFB Biotechnologies. This collaboration led to the foundation of LFB Arabia, a dedicated provider of advanced private healthcare services.

Further partnerships with French companies followed, including one that led to the foundation of Veolia Arabia. This company, in which Al Sawwaf holds the position of chairman, specializes in the delivery of cutting-edge environmental solutions for water treatment, energy provision, and more.

In 2010 Al Sawwaf established White Global Investments, which has its head office in London. This company was founded to manage and direct his business in the United Kingdom, operations that cover diverse fields as energy, public housing, technology and real estate. From 2012 onward, Al Sawwaf also began to invest in Morocco, where he acquired interest in property, healthcare, tourism and agriculture. To oversee all of these investments, he established Global Morocco in 2017. Since then Al Sawwaf has begun to move into the US marketplace, with the intention of basing significant elements of his business there in the years to come.

Mazen Al Sawwaf and his wife have two sons, two daughters and six grandchildren. He resides in Saudi Arabia and France, but intends to spend considerably more time in the US in the years ahead.",,https://www.linkedin.com/in/mazen-al-sawwaf
