Event Url,Event Name,Start Date,End Date,Location,Description,Event Type,Venue Name,Registration URL,Full Description
https://www.crunchbase.com/event/seamless-mena-2022,Seamless MENA 2022,31-May-22,1-Jun-22,Dubai,For 22 years Seamless has been a meeting place for the brightest and most innovative minds across the MENA region.,Conference,�,https://www.terrapinn.com/exhibition/seamless-middle-east/register.stm,"For 22 years Seamless has been a meeting place for the brightest and most innovative minds across the payments, fintech, banking, retail, e-commerce, cards and identity industries."
https://www.crunchbase.com/event/gitex-technology-week-c989,GITEX Global & AI Everything,17-Oct-21,21-Oct-21,Dubai,"GITEX Technology Week is a tech event where industry leaders, startups, and game-changers connect to innovate on technology.",Conference,Dubai World Trade Center,http://mktg.gitex.com/bookastand?_ga=2.268476339.315400521.1647438883-1790379862.1645949197,"GITEX Technology Week is a tech event where industry leaders, startups, and game-changers connect to innovate on technology.

The event showcases the latest in AI, 5G, Cloud, BigData, Cybersecurity, Blockchain, Quantum Computing, immersive Marketing, and Fintech. GITEX Global mobilizes the pioneering tech visions, initiatives, and collaborations of government leaders across the Middle East and African continent. Its inaugural visions program will drive and expand on the emergence of fiercely innovative economies across Africa, Saudi Arabia, UAE, Bahrain, and Oman."
https://www.crunchbase.com/event/gitex-global,GITEX Global,10-Oct-22,14-Oct-22,Dubai,GITEX Global is a tech and startup event for showcasing new products and identifying future opportunities.,"Conference, Meetup",Event Location,http://mktg.gitex.com/bookastand?_ga=2.98138587.537129533.1654114347-1029234083.1654114347,"GITEX Global is a tech and startup event for showcasing new products and identifying future opportunities. It brings together thought-leaders, creators, innovators, and makers to discuss, debate, and challenge new ideologies."
https://www.crunchbase.com/event/future-blockchain-summit-2021,Future Blockchain Summit 2021,17-Oct-21,20-Oct-21,Dubai,Future Blockchain Summit 2021 is a blockchain exhibition and conference that connects blockchain leaders to startup tech leaders.,Conference,Dubai World Trade Centre,https://visit.gitex.com/futureblockchainsummit?_ga=2.28034684.172762509.1630634555-877573841.1630634555,"Future Blockchain Summit 2021 is a blockchain exhibition and conference that connects blockchain leaders of the Dubai government to startup tech leaders.

The exhibition aims to provide relevant business-use blockchain solutions and expertise on how these can be implemented in businesses. It brings together the community�s brightest minds, most game-changing startups and powerful investors for 4 days of networking, investing and education centered around the most disruptive technology since the internet � Blockchain."
https://www.crunchbase.com/event/shaping-the-future-of-education,Shaping the Future of Education,21-May-21,21-May-21,Dubai,Seminars in Intercultural Behavior; Employability of Graduates; Content of Curriculums.,Networking,Taj Dubai,https://www.theabrahamicbusinesscircle.com/registration/,�
https://www.crunchbase.com/event/agriculture-investment-forum,Agriculture Investment Forum,29-Sep-21,29-Sep-21,Dubai,Genetically Modified Organisms (Gmos); Water Technology; Recent Trends in the Global Agricultural Industry.,Networking,The Oberoi Centre,https://08926010451/,"7Bet-Agents | situs Judi Bola Online, Judi Online, Togel Online, Slot Online dan poker Online Paling gacor deposit pulsa terbaik dan terpercaya 2022"
https://www.crunchbase.com/event/aim-summit-alternative-investment-management-summit,AIM Summit � The Leading Alternative Investment Management Summit,11-Oct-21,12-Oct-21,Dubai,"AIM Summit is a platform for discussions on investment developments, global market conditions and latest trends.",Conference,Jumeirah Emirates Towers,https://www.aimsummit.com/page/1527405/apply-to-attend,"Launched in 2015, AIM Summit is The Leading Regional Alternative Investment Management Summit gathering and connecting regional investors and managers in the world of alternatives (Hedge Funds, Private Equity, Venture Capital, Private Debt) with global industry leaders.
AIM Summit is a platform for discussions on investment developments, global market conditions and latest trends. It acts as a networking forum for future business opportunities and a gateway to the region�s top players. The only conference of its nature and magnitude organized and orchestrated by the industry in an intimate setup to encourage real debates on the best practices and know-hows."
https://www.crunchbase.com/event/investment-summit-2021,Investment Summit 2021,8-Dec-21,8-Dec-21,Dubai,Let Money Talk,Networking,Taj Dubai,https://www.theabrahamicbusinesscircle.com/registration/,�
https://www.crunchbase.com/event/energy-summit,Energy Summit,14-Jul-21,14-Jul-21,Dubai,"Environmental Modelling And De-Carbonization, Energy Economics, Exergy and Sustainability, Storage of Renewables",Networking,Taj Dubai,https://www.theabrahamicbusinesscircle.com/registration/,�
https://www.crunchbase.com/event/tdefi-bizthon,BizThon 2.0 | Global Blockchain Hackathon,10-Oct-22,14-Oct-22,Dubai,"BizThon 2.0 is a Global Blockchain hackathon that empowers Innovators, Developers, and Entrepreneurs working on Blockchain Technology.","Competition, Conference, Demo Day, Expo, Hackathon, Networking",�,https://app.bizthon.com/,"BizThon 2.0, is a Global Blockchain Hackathon with the underlying mission to empower innovators, developers, and entrepreneurs working on Blockchain Technology. The core theme of BizThon is ""Walk in as an Idea, Walkout as a Business"" meaning, the output of the Hackathon is a product with a strong team ready to raise funds and be a part of the growing crypto ecosystem.

BizThon 1.0 was a huge success. Last year, we had over 15,000 participants and 250,000+ visitors from over 140 countries. We also had 400+ of the Most Active Investors, VCs from 30+ countries, and 350+ Live Stage Speakers delivering 280+ hours of content.

Explore Bizthon: https://linktr.ee/bizthon2.0"
https://www.crunchbase.com/event/world-blockchain-expo-dubai,World Blockchain Expo - Dubai,30-Sep-22,30-Sep-22,Dubai,"Gathering the blockchain community, investors, fundraising, crypto exchangers, NFT, metaverse & gaming under one roof",Conference,�,https://worldblockchainexpo.io/world-blockchain-expo-buy-ticket/,"A new history of blockchain starts in Dubai! As the largest ever event of its kind, we are introducing one of the largest blockchain gatherings in Middle East history. World Blockchain Expo - Dubai 2022 will be the largest gathering of Blockchain start-ups, investors, experts and enthusiasts.an opportunity to showcase investment opportunities and discuss the future financial Blockchain technologies and inventions.
The highlights of the conference will be thought-provoking speeches about Blockchain and disruptive technologies including Blockchain,  ICOs, token sale mechanics, investing, NFT, Crypto Exchange regulations along with hottest ICOs plus the innovation around them."
https://www.crunchbase.com/event/healthcare-summit,Healthcare Summit,5-Apr-21,5-Apr-21,Dubai,Neuroscience; Genetic Engineering; Medical Devices; Hospital Management,Networking,Jw Marriott Marquis,https://www.theabrahamicbusinesscircle.com/registration/,�
https://www.crunchbase.com/event/crypto-forum-middle-east,Crypto Forum Middle East,17-Nov-22,18-Nov-22,Dubai,Annual forum,Expo,Dubai,https://www.nascentedge.com/crypto-forum-middle-east,�
https://www.crunchbase.com/event/fintech-surge-2022,Fintech Surge 2022,10-Oct-22,13-Oct-22,Dubai,"Bringing together global Fintech leaders, startups and Financial Centers, Fintech Surge is set to be the Middle East & North Africa.",Conference,�,http://mktg.gitex.com/bookastand?_ga=2.222273242.315400521.1647438883-1790379862.1645949197,"Bringing together global Fintech leaders, startups and Financial Centers, Fintech Surge is set to be the Middle East & North Africa�s most impactful and visionary event for the regional Fintech ecosystem. From Digital Banking to Paytech, Insuretech, Wealth & Asset management and Regtech, the event will see the financial industry�s biggest tech-revolutions and path-breaking talks.
Finance and technology are inseparable in today�s times. Fintech Surge stands at the convergence point, as an epicentre of the financial industry�s biggest tech-revolutions and path-breaking talks to drive an immediate and immense impact. Your fintech innovation and your business belong here � join us in contributing to the global future of your industry."
https://www.crunchbase.com/event/expo-dubai-2020,Expo Dubai 2020,22-Nov-21,31-Mar-22,Dubai,"It'll be a time to create, collaborate and innovate.",Expo,�,https://www.expo2020dubai.com/en,"We all have the power to build a better world and shape the future. Discover what makes Expo 2020 Dubai unique and how we�re �Connecting Minds and Creating the Future� through sustainability, mobility and opportunity."
https://www.crunchbase.com/event/abc-summit,ABC Summit,25-May-21,26-May-21,Dubai,"ABC (acronym for Asset Backed Crypto) Summit ==> Business that are supported by assets (gold, silver, lithium,�)",Conference,InterContinental Dubai,https://abcsummit.com/,"The event is dedicated to Blockchain and to cryptographic solutions that are captivating the interest of individuals, businesses and governments.

The ABC (acronym for Asset Backed Crypto) Summit will serve as a business show for several start ups from the most diverse areas which have in common the fact that their activities are supported by assets (gold, silver, lithium,�) or added value projects.

Using this criteria, the organisation was able to scrutinise the type of companies and their business model if seeking crowdfunding through the issuance and sale of own cryptocurrencies - Initial Coin Offer (ICO).

Such pre-selection will certainly help investors to look with greater confidence at projects presented at the event, specially at a time when market volatility leads to cryptocurrencies like Bitcoin - originated in the Blockchain and based on speculation - undergoing extreme price swings.

Among the prominent public speakers who have confirmed their presence are Kevin O'Leary - ""Mr. Wonderful"" from the hugely successful US TV program ��Shark Tank��, Dragan Primorac, an internationally renowned and awarded physician and many others (Kenny Au, Eric Gu, David Teruzzi, Vladimir Nikitin,�).

Blockchain has the potential to become the next mainstream infrastructure for communication and commerce, for instance, and can introduce new freedoms while streamlining compliance and universal interoperability.

The ABC Summit will be held at the Estoril Casino's (Lisbon) �Sal�o Preto e Prata�, from May 16 to 17, 2018.

For further information: www.abcsummit.com"
https://www.crunchbase.com/event/web3-galaxy-web3-community-gathering,WEB3 GALAXY Web3 Community Gathering,16-Oct-22,18-Oct-22,Dubai,Web3 Community Gathering,Expo,"Jumeirah Beach Hotel, Dubai",https://www.web3galaxy.world/,�
https://www.crunchbase.com/event/10th-world-nursing-healthcare-management-and-patient-safety-conference,"10th World Nursing, Healthcare Management and Patient Safety Conference",15-Dec-21,17-Dec-21,Dubai,"10th World Nursing, Healthcare Management and Patient Safety Conference",Conference,"Dubai, UAE",https://nursing.universeconferences.com/registration/,"On behalf of the 10th World Nursing, Healthcare Management and Patient Safety Conference December 15-17, 2021 Committee, it gives us a great pleasure to announce NHPSUCG2021 scheduled on December 15-17, 2021 in Dubai, UAE. Our Gathering aims to bring all the Directors, Specialists, Professors, Doctors, Scientists, Academicians, Nurses, Healthcare Professionals, Students, Researchers, Business Delegates, Industrialists to share the knowledge, experience, challenges, innovations and trends encountered in the field of Nursing and Patient Safety. It provides a great platform for more than 70+ international and regional Speakers and our experts will deliver innovative speeches. cutting edge talks, electrifying lectures, interactive sessions on emerging research, and live demonstrations.
The Theme of Nursing, Healthcare Management and Patient Safety Conference is Connecting Leaders in Healthcare Transformation and Bringing Learning Life, Together Towards Building Quality for a Safer Healthcare�
The conference will have plenary speakers, keynote speakers, speakers from all around the world.
The aim of Nursing, Healthcare Management and Patient Safety Conference is to discuss and promote the latest research, technologies, innovations and develop networking opportunities.

Call for Paper:
Call for Abstracts is now open for the 10th World Nursing, Healthcare Management and Patient Safety, Dubai, UAE during December 15-17, 2021 with the motto �Connecting Leaders in Healthcare Transformation and Bringing Learning Life, Together Towards Building Quality for a Safer Healthcare�.
The presenting speaker/author must register and pay the registration fee (please note that registration is required in order to be included in the final program, to have the abstract published in the online �Book/proceedings� of  Nursing, Healthcare Management and Patient Safety 2021, and to be invited to submit an abstract for publication in the official Proceedings.
Conference Key Sessions:
Track 1: Nursing
Track 2: Healthcare Management
Track 3: Patient Safety
Track 4: Public & Community Healthcare
Track 5: Patient Education
Track 6: Healthcare Informatics
Track 7: Healthcare Innovations
Track 8: Digital Healthcare
Track 9: Preventive Medicine
Track 10: Health Promotion
Track 11: Technology and Nursing Science
Track 12: Nursing Education and Research
Track 13: Globalization and Health
Track 14: Coronavirus Deadly Impact on Humans
Track 15: Artificial Intelligence
Track 16: Sports Medicine in Health
Track 17: Legal and Ethics in healthcare
Track 18: Advance Care Planning (ACP)
Track 19: Medication Safety
Track 20: Patient Safety Tools and Solutions
Track 21: Infection, Prevention and Control
Track 22: Mental Health
Track 23: Big data on health and data mining
Track 24: Midwifery And Women Health Nursing
Track 25: Pediatric Nursing
Track 26: Diabetes Nursing
Track 27: Clinical Nursing
Track 28: Patient Safety in Pharmacy
Track 29: Home Care Safety
Track 30: Mental Health Nursing
Track 31: Quality improvement
Track 32: Telenursing
Track 33: Occupational Healthcare
Track 34: Healthcare Services
Track 35: Healthcare Marketing
Track 36: Sexual Health
Track 37: Primary Care
Track 38: Precision medicine
Conference Benefits;
�	Participate in professional networking
�	Collect material for personal knowledge
�	Meet with specific company representatives
�	DOI Publication (On request)
�	Explore Dubai
�	Enjoy sessions & entertainment.
�	Participation/Presentation Certificate
�	Present your ideas and work to others
�	Opportunity to hear from and interact with leaders in your field.
�	Adds Value to your CV
�	Compare traditional vs newer & faster approaches to monitoring, surveillance, tracking, cleaning and disinfection
�	Conferences engage thousands of keynote speakers, speakers, delegates, practitioners, and students"
https://www.crunchbase.com/event/agora-global-blockchain-congress-dubai,AGORA Global Blockchain Congress Dubai,23-Nov-22,24-Nov-22,Dubai,AGORA 10th Global Blockchain Congress,Conference,Dubai,https://gbc-uae.com/,AGORA 10th Global Blockchain Congress in Dubai
https://www.crunchbase.com/event/money-2-0-conference-dubai,Money 2.0 Conference Dubai,16-Dec-22,18-Dec-22,Dubai,"Money 2.0 Conference, a remarkable event exploring the best financial & investment strategies.",Conference,InterContinental Dubai,https://www.money2conf.com/buy-pass,"Money 2.0 Conference, a remarkable event exploring the best financial & investment strategies, is holding its winter edition on December 16th-18th at InterContinental Dubai Festival City in the UAE. It will uncover the latest financial trends, enterprise risk management strategies, and technological advancements in the rapidly-evolving finance and insurance industry. It provides attendees with essential insights on how blockchain technology and cyber security can help with better protection from financial frauds, reviewing banking policies, and how new technologies transform industries."
https://www.crunchbase.com/event/hr-compensation-and-benefits-forum,HR Compensation And Benefits Forum,14-May-17,17-May-17,Dubai,Transform your HR Role at the Region's Largest & Longest-Running HR Event,Conference,Media city,https://totalrewardsme2017.sched.com/directory/speakers,�
https://www.crunchbase.com/event/hrse-hr-summit-and-expo,HRSE HR Summit and Expo,29-Oct-19,4-Nov-19,Dubai,HRSE Dubai is all about giving you the freedom to tailor your participation and choose what is important to you.,Conference,"Za'abeel Halls 5 & 6, Dubai World Trade Centre",https://informaconnect.com/hr-summit-expo/,�
https://www.crunchbase.com/event/cipd-middle-east-people-conference-and-awards,CIPD Middle East People Conference and Awards,8-Apr-19,14-Apr-19,Dubai,The CIPD Middle East People Conference & Awards features two days of pre- conference workshops.,Conference,Rove Marina,https://www.cipd.ae/learn-develop-connect/events/cipd-events#gref,"Furthering our commitment to championing better work and working lives in the region, we launched the CIPD Middle East People Conference and Awards in 2019."
https://www.crunchbase.com/event/future-innovation-summit,Future Innovation Summit,11-May-22,12-May-22,Dubai,"Future Innovation Summit is the unique platform for organizations, businesses and individuals",Conference,EMAAR Business Park - The Greens - Dubai - United Arab Emirates,https://vol2.dfisx.com/,"Future Innovation Summit is the leading governmental conference and exhibition organized in partnership with The Private Office Of Sheikh Saqer Bin Mohamed Al Qasimi. It�s a unique platform for organizations, businesses and individuals alike to share their expertise, knowledge, technologies and lay foundation for future vision and innovation for the world in: - Healthcare - Education - Real Estate - Technologies - Telecommunication - Blockchain - Cryptocurrencies - Digital/NFT Art and more Leading international speakers will share their ideas and vision on how we can collaborate and improve the life of humankind. The Future Innovation Summit presents you with one-of-a-kind opportunity to extend the network in your sphere of interest."""
https://www.crunchbase.com/event/world-s-first-phygital-nft-launch,World's First Phygital NFT Launch,23-Jun-22,24-Jun-22,Dubai,World's first phygital NFT launch Event at Dubai,Conference,Kinara,https://www.akshaya.io/,�
https://www.crunchbase.com/event/gsma-mobile-360-middle-east-20151020,GSMA Mobile 360 Middle East,20-Oct-17,21-Oct-17,Dubai,GSMA Mobile 360 � Middle East bringing together key decision makers in the mobile industry.,Conference,Dubai World Trade Centre,http://www.mobile360series.com/middle-east/#attend,"Now in its third year, the GSMA Mobile 360 � Middle East has been successful in bringing together key decision makers in the mobile industry to discuss and explore the issues specific to the MENA region.

Continuing their theme of connecting societies, this year they will focus on the building blocks for creating connected societies. Specifically, how networks and the underlying platforms will enable a range of connected services such as digital commerce, digital identity, digital security and the Internet of Things (IoT)."
https://www.crunchbase.com/event/annual-general-meeting-agm,Annual General Meeting (AGM),4-Jan-22,5-Jan-22,Dubai,Annual General Meeting,Conference,Roda Al Murooj,https://www.adminvestment.com/,"ADM Announces Detailed 5-Year Growth Plan
ADM anticipates to open 25 self-invested Five-Star Hotels and 45 majority shareholdings in China. ADM plans to sign a deal with local government in China to invest in Five-star hotels in their recommended projects and agree a total investment of $3 billion."
https://www.crunchbase.com/event/esa-investor-forum-vip,ESA Investor Forum VIP,21-Oct-21,22-Oct-21,Dubai,Quartetrly Investment and Space growth businesses VIP networking event,Networking,Eve's Penthouse,https://www.eventbrite.com/e/155928521405,"The ESA Investor Forum VIP lands first ever in Dubai. We are the mark of Europe's best commercial ventures powered by space,
For this event we have selected some of our most promising businesses from within our portfolio with ambitions to grow and aim to raise �2M+ (series A, B).
The companies we have selected operate in many different sectors. Their common indicator is the use of space technologies and the fact that we've already invested anywhere from �60K - �2M in each of them."
https://www.crunchbase.com/event/gitex-technology-week-2017-dubai-2017108,Gitex Technology Week 2017 Dubai,8-Oct-17,12-Oct-17,Dubai,Gitex Technology Week is one of the largest and longest ICT expos.,"Conference, Expo, Other","Sheikh Rashid Hall, Dubai World Trade Center",https://cloudme02.infosalons.biz/Reg/GITEX17DU?_ga=2.107737474.149978221.1504090986-1832435057.1504090986,"GITEX Technology Week is a game-changing, must-attend event located in Dubai � the world�s fastest growing technology hub

For 37 years, visionaries and tech pioneers have been descending on Dubai to witness first-hand the technology that has inspired generations and innovations that are set to change the world."
https://www.crunchbase.com/event/hitec-dubai-20171114,HITEC Dubai,14-Nov-17,15-Nov-17,Dubai,HITEC Dubai is the Middle East's largest hospitality technology showcase and deal-flow platform.,Conference,Conrad Dubai Hotel,http://go.evvnt.com/130530-0,"Hospitality Industry Technology Exposition and Conference (HITEC) is the world's largest hospitality technology show that brings the brightest minds and hottest technologies from around the world to one place.

In partnership with Hospitality Financial and Technology Professionals (HFTP) � the leading global hospitality association, Naseba will make HITEC accessible to buyers from the lucrative Middle Eastern tourism and hospitality market, currently worth over 75 billion USD.

HITEC Dubai will have an education and Expo program, as well as a summit. The summit will feature one-to-one business meetings, which have become the hallmark of Naseba's platforms. Hoteliers attending the summit portion of HITEC Dubai will be pre-qualified to confirm their purchasing authority, budgets, timelines and solutions of interest.

With 500+ hospitality stakeholders, 40+ solution/service providers and 30+ industry expert speakers; HITEC Dubai is set to be the Middle East's largest hospitality technology showcase and deal-flow platform.

HITEC Dubai will take place on November 14-15, 2017 at the Conrad Dubai Hotel.

For more information, please contact:

Sharath Ravi
Marketing Manager
+971 44 55 79 56
sharathr@naseba.com
hitec.naseba.com"
https://www.crunchbase.com/event/gitex-technology-week-2020-live-in-person-dubai,GITEX Technology Week 2020 - live in-person - Dubai,6-Dec-20,10-Dec-20,Dubai,"Celebrating the 40th anniversary of GITEX, taking place from 6-10 Dec 2020.","Conference, Expo",Dubai World Trade Centre,https://cloudme02.infosalons.biz/reg/TECHWEEK20DUBAI?_ga=2.205180887.678343246.1605336593-790214798.1579179180,"40 years of rolling out the future.

The most important week in the annual tech calendar, GITEX is a must-attend, world-class event located in Dubai. This is where the world�s technology leaders, enterprises and startups come together to show you the future of every business and every industry, as it happens."
https://www.crunchbase.com/event/seaside-startup-summit-uae,Seaside Startup Summit UAE,8-Feb-18,12-Feb-18,Ras Al Khaimah,Annual startup tent camp business forum organized in different countries.,"Competition, Conference, Expo, Meetup, Networking, Seminar",Al-marjan island,http://sssu.ae/#rakStartupers,"Seaside Startup Summit UAE Ras al Khaimah will be held from 8th to 12th of February at Al-Marjan Island, Ras Al Khaimah. 400-500 participants will be hosted during the Summit, also 1200-1500 guests are expected. The number of participating startups will be up to 50. The predetermined prize fund is $50,000 which may increase based on the additional corporate battles. During the Summit, startup teams will attend workshops held by international experts, take part in startup battles based on their stage of development and pitch to investors."
https://www.crunchbase.com/event/milken-institute-mena-summit-2019-a52f,Milken Institute Mena Summit 2019,13-Feb-19,14-Feb-19,Abu Dhabi,"Global economic summit at the crossroads of international finance, commerce and technology",Conference,�,https://milkeninstitute.org/events/mena-summit-2019/overview,�
https://www.crunchbase.com/event/dubai-airshow-2021,Dubai Airshow 2021,14-Nov-21,18-Nov-21,Dubai,Dubai Airshow is the only live and in person aerospace event happening this year,Expo,�,https://www.dubaiairshow.aero/dubai-airshow-2021-registration,"Packed with never-before-seen features, a captivating display of the most advanced aircraft along with unrivalled networking opportunities, Dubai Airshow is the only live and in person aerospace event happening this year. Register now and join thousands of aerospace professionals this November."
https://www.crunchbase.com/event/7th-global-family-office-investment-summit-dubai-under-the-high-patronage-of-his-highness-sheikh-ahmed-al-maktoum,"7th Global Family Office Investment Summit, Dubai, under the High Patronage of His Highness Sheikh Ahmed Al Maktoum",10-Nov-18,18-Nov-18,Dubai,The World�s Largest & Most Exclusive Gathering of Family Wealth,Conference,Four Seasons Resort Jumeirah Beach,https://www.ritossasummits.com/,"This invitation only event is the world's largest & most exclusive gathering of Elite Family Office Decision Makers held to date in the Middle East. Over 400+ Elite Family Offices, Prominent Business Owners, Sheikhs, Royal Families, Private Investment Companies, SWFs & industry professionals from across the globe....over $2 trillion in investor wealth.

Hosted by RITOSSA Family Office, a family business that dates back 600 years to the Venetian Empire, the summit brings together the world�s leading experts geared toward identifying actionable strategies for generating returns in a low-yield environment. Facilitated by family offices, the summit provides two days of private peer-to-peer conversation, networking and cross-border thought leadership.

For more information please email

info@RitossaSummits.com"
https://www.crunchbase.com/event/the-government-summit-201529,The World Government Summit,9-Feb-18,12-Feb-18,Dubai,"The Government Summit, billed as the largest annual government gathering in the world.","Conference, Meetup, Networking",Burj Al Arab,https://www.thegovernmentsummit.org/en/index.html,"The Government Summit, billed as the largest annual government gathering in the world, serves as a global platform dedicated to developing the future of government and enhancing excellence in government by gathering officials, thought leaders, thinkers, policy makers and private sector leaders to discuss the best ways to develop the future of government, based on the latest developments and future trends in government.


The 3rd Government Summit titled ""Shaping Future Governments"", will be held from 9-11 February 2015 under the patronage of His Highness Sheikh Mohammed Bin Rashid Al Maktoum, UAE Vice President, Prime Minister and Ruler of Dubai. It focuses on shaping governments of the future and enhancing performance of delivering their services through innovation in government. The Summit also aims to strengthen cooperation and coordination between governments, and to promotethe exchange of knowledge and experience about best innovative global practices in the public sector."
https://www.crunchbase.com/event/gartner-symposium-itxpo-2018,Gartner Symposium/ITxpo 2018,14-Oct-18,18-Oct-18,Dubai,"Gartner Symposium/ITxpo 2018 is the place to hone your leadership skills, refine your strategies, and find the innovative technologies.","Conference, Expo","Jumeirah, Mina Alsalam",https://www.gartner.com/en/conferences/na/symposium-us/register,"Explore the strategic trends and technologies that are shaping the future of IT and business at Gartner Symposium/ITxpo 2018. Thousands of CIOs and senior IT executives will come together in Orlando to discuss key topics including data & analytics, artificial intelligence, machine learning, culture, customer experience, cybersecurity and more.

Gartner Symposium/ITxpo 2018 is the place to hone your leadership skills, refine your strategies, and find the innovative technologies that will help to power your digital transformation."
https://www.crunchbase.com/event/gitex-future-stars,GITEX Future Stars,8-Dec-20,8-Dec-20,Dubai,"GITEX Future Stars focuses on new innovation, investment opportunities, and partnerships in the region.",Conference,Dubai World Trade Centre,https://www.gitexfuturestars.com/,"GITEX Future Stars focuses on new innovation, investment opportunities, and partnerships in the region."
https://www.crunchbase.com/event/sharjah-entrepreneurship-festival-sharjahef,Sharjah Entrepreneurship Festival (SharjahEF),21-Nov-17,22-Nov-17,Sharjah,This festival will bring together the best of the entrepreneurial ecosystem to celebrate entrepreneurship and inspire further innovation.,"Conference, Festival",SHARJAH GOLF AND SHOOTING CLUB,http://sharjahef.com/,"This festival will bring together the best and brightest of the entrepreneurial ecosystem,
the hustlers who stay awake every night to turn dreams into reality,
so we can celebrate the power of entrepreneurship and inspire further innovation."
