Transaction Name,Organization Url,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industries,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,CB Rank (Funding Round),component--field-formatter href 3,,link-accent 5,link-accent 7
Seed Round - Zywa (YC W22),https://www.crunchbase.com/organization/zywa-banking-for-teens,Zywa (YC W22),Seed,"$3,000,000 ",23-Aug-22,Seed,"$27,000,000 ",Yes,Zywa is the first neobank for teenagers in the Middle East and North Africa region,Finance,�,"$4,000,000 ",Seed,2,Dubai Future District Fund,5,76,https://www.zywa.co/,,Dubai,United Arab Emirates
Pre Seed Round - Artfi,https://www.crunchbase.com/organization/artfi,Artfi,Pre-Seed,"$3,260,000 ",26-Jul-22,Seed,"$96,740,000 ",Yes,Artfi is a way to democratize the market of fine arts by introducing blockchain to investors to invest in NFT's of blue chip fine art.,Art,�,"$3,260,000 ",Seed,1,Raza Beig,2,"1,239",https://artfi.world/,,Dubai,United Arab Emirates
Seed Round - Procurified,https://www.crunchbase.com/organization/procurified,Procurified,Seed,"$1,100,000 ",5-Jan-22,Seed,�,Yes,Construction SaaS Platform connecting Buyers & Suppliers to automate product Sourcing,B2B,�,"$1,100,000 ",Seed,1,Aditum,3,"1,827",https://www.procurified.com/,,Dubai,United Arab Emirates
Venture Round - COTU Ventures,https://www.crunchbase.com/organization/cotu-ventures,COTU Ventures,Venture - Series Unknown,�,8-Aug-22,�,�,Yes,COTU Ventures is a leading seed-stage venture firm in the Middle East.,,�,�,�,1,Dubai Future District Fund,1,"2,021",https://www.cotu.vc/,,Dubai,United Arab Emirates
Venture Round - Astra Tech,https://www.crunchbase.com/organization/astra-tech-3c6a,Astra Tech,Venture - Series Unknown,"AED1,800,000,000",20-Jul-22,�,�,Yes,Astra Tech operates as a technology investment and development group.,Information Technology,�,"AED1,800,000,000",�,1,,�,"3,339",https://astratech.ae/,,Dubai,United Arab Emirates
Pre Seed Round - Appro,https://www.crunchbase.com/organization/appro-a922,Appro,Pre-Seed,�,3-Aug-22,Seed,�,Yes,Appro is a retail banking onboarding powerhouse that offers a quick and simple application process.,Banking,�,�,Seed,1,SC Ventures,1,"4,913",https://appro.ae/,,Dubai,United Arab Emirates
Seed Round - Ziina,https://www.crunchbase.com/organization/ziina,Ziina,Seed,"$7,500,000 ",7-Jun-21,Seed,�,Yes,Ziina is bringing the next generation of financial services to the Middle East. Ziina is the UAE�s first peer-to-peer payment app.,Financial Services,�,"$8,475,000 ",Seed,4,Akshay Kothari,22,"8,006",https://www.ziina.com/,,Dubai,United Arab Emirates
Pre Seed Round - Takalam,https://www.crunchbase.com/organization/takalam,Takalam,Pre-Seed,"$1,000,000 ",30-Jan-22,Seed,�,Yes,Takalam is an online counseling platform for a digital solution for mental well-being.,Health Care,Less than $1M,"$1,000,000 ",Seed,2,Emirates Angels,3,"11,121",https://takalamhere.com/,,Abu Dhabi,United Arab Emirates
Seed Round - Funding Souq,https://www.crunchbase.com/organization/funding-souq,Funding Souq,Seed,"$2,500,000 ",1-Mar-22,Seed,�,Yes,Funding Souq ia digital lending platform that connects investors with established SMEs that are seeking business loans.,Financial Services,�,"$2,500,000 ",Seed,2,Amal Dokhan,6,"11,269",http://fundingsouq.com/,,Dubai,United Arab Emirates
Convertible Note - Smart Crowd,https://www.crunchbase.com/organization/smart-crowd,Smart Crowd,Convertible Note,"$3,000,000 ",13-Jun-22,�,�,No,Smart Crowd is an innovative real estate investment platform.,Financial Services,�,"$3,618,615 ",Seed,5,Amaana Capital,4,"12,102",https://www.smartcrowd.ae/,,Dubai,United Arab Emirates
Series A - Hubpay,https://www.crunchbase.com/organization/hubpay,Hubpay,Series A,"$20,000,000 ",8-Feb-22,Early Stage Venture,�,Yes,Hubpay is an independently regulated provider of cross-border money services designed to increase financial inclusion in emerging markets.,Financial Services,$10M to $50M,"$22,020,000 ",Early Stage Venture,5,Aditum Bio,6,"12,928",https://www.hubpay.ae/,,Abu Dhabi,United Arab Emirates
Series A - Opontia,https://www.crunchbase.com/organization/opontia,Opontia,Series A,"$21,000,000 ",8-Dec-21,Early Stage Venture,�,Yes,Opontia provides a fast and fair way for small e-commerce business owners to sell their companies.,Brand Marketing,�,"$62,000,000 ",Early Stage Venture,4,Global Founders Capital,7,"15,731",https://www.opontia.com/,,Dubai,United Arab Emirates
Pre Seed Round - HydroArtPod,https://www.crunchbase.com/organization/hydroartpod,HydroArtPod,Pre-Seed,"AED305,000",27-Dec-20,Seed,"$2,200,000 ",Yes,byAlinePate is a sustainability-focused tech start-up that has invented a new lifestyle ecosystem.,Food and Beverage,�,"$263,018 ",�,4,Alveena Salim,3,"16,270",https://www.hydro-art-pod.com/,,Abu Dhabi,United Arab Emirates
Pre Seed Round - Yanzo,https://www.crunchbase.com/organization/yanzo,Yanzo,Pre-Seed,�,10-May-22,Seed,�,Yes,Conversational concierge Service,Customer Service,�,�,Seed,1,500 Startups,2,"16,653",http://www.textyanzo.com/,,Dubai,United Arab Emirates
Seed Round - Lune,https://www.crunchbase.com/organization/lune-ca55,Lune,Seed,"AED250,000",14-Apr-22,Seed,�,Yes,"Lune is a single integration that unlocks the power of financial data, enabling institutions.",Financial Services,�,"AED250,000",Seed,1,Sandooq Al Watan,1,"18,126",https://lune.ae/,,Dubai,United Arab Emirates
Private Equity Round - Lewk.com,https://www.crunchbase.com/organization/lewk-13a2,Lewk.com,Private Equity,"$2,730,000 ",3-Dec-21,Private Equity,"$36,000,000 ",Yes,Lewk enhances creators� ability to generate great content and boost the efficiency of their social media profiles.,Blockchain,�,"$3,290,000 ",�,3,Contango Digital Assets,6,"18,647",https://lewk.com/,,Dubai,United Arab Emirates
Seed Round - arcab,https://www.crunchbase.com/organization/arcab,arcab,Seed,�,3-Dec-21,Seed,�,Yes,arcab is the technology enabled private bus aggregator. It enables fleet owners to make more money by increasing utilization of vehicles,B2B,�,�,Seed,3,Charles Azrak,5,"19,170",https://ar.cab/,,Dubai,United Arab Emirates
Seed Round - Nakheel,https://www.crunchbase.com/organization/nakheel-a4fd,Nakheel,Seed,"$190,000 ",28-Oct-19,Seed,�,Yes,IoT for Agriculture,Agriculture,�,"$190,000 ",Seed,3,Seedstars,2,"21,100",http://www.nakheel.io/,,Dubai,United Arab Emirates
