Organization/Person Url,Organization/Person Name,Number of Investments,Number of Exits,Location,Location 1,Description,First Name,Last Name,Facebook,LinkedIn,Twitter,Number of Articles,Full Description,Gender,Primary Job Title,Number of Portfolio Organizations,Number of Lead Investments,Number of Diversity Investments,Investor Type,Investment Stage,CB Rank (Investor),Contact Job Departments,,,,,
https://www.crunchbase.com/organization/fastercapital,FasterCapital,155,4,Dubai,United Arab Emirates,"FasterCapital is an online incubator, accelerator, and service provider. We help startups and small businesses worldwide.",�,�,https://www.facebook.com/fastercapital,https://www.linkedin.com/company/fastercapital,https://twitter.com/fastercapital,60,"FasterCapital is an online incubator, accelerator, and service provider. We help startups and small businesses worldwide and invest in them in a work-per-equity model. We provide either technical development per equity or business development per equity. We help startups and SMEs that are raising capital from angel investors, VCs, micro VCs, and other funding sources.",�,�,�,�,85,"Accelerator, Incubator, Venture Capital","Early Stage Venture, Private Equity, Seed","5,515","Marketing, Operations, Sales",,,,,
https://www.crunchbase.com/organization/venturesouq,VentureSouq,127,5,Dubai,United Arab Emirates,VentureSouq (VSQ) is an investment platform for global early-stage technology businesses,�,�,,https://www.linkedin.com/company/venturesouq/,https://twitter.com/VentureSouq,53,VentureSouq operates a large co-investment platform with a global investment portfolio.,�,�,�,�,107,Venture Capital,Early Stage Venture,"5,132",Operations,,,,,
https://www.crunchbase.com/organization/wamda,Wamda Capital,96,5,Dubai,United Arab Emirates,Wamda Capital is the MENA region's leading venture capital firm investing in exceptional entrepreneurs.,�,�,https://www.facebook.com/Wamdacapital,https://www.linkedin.com/company/4845649?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A4845649%2Cidx%3A2-1-2%2CtarId%3A1453875274256%2Ctas%3Awamda%20cap,https://twitter.com/WamdaCapital,111,Wamda Capital is the MENA region's leading venture capital firm investing in exceptional entrepreneurs building the region's most promising high growth technology businesses. We invest both at the growth and seed stages with the aim of taking portfolio companies through successive rounds of financing through to exit.,�,�,�,�,63,Venture Capital,"Early Stage Venture, Seed","4,421",Operations,,,,,
https://www.crunchbase.com/organization/shorooq-partners,Shorooq Partners,90,5,Abu Dhabi,United Arab Emirates,Early stage Venture Capital & Debt fund focused on the MENAP region. Invested in 45+ companies. Portfolio generated $1.5+bn of equity value.,�,�,https://www.facebook.com/shorooqpartners,https://www.linkedin.com/company/shorooqpartners,https://www.twitter.com/shorooqinvest,29,"Shorooq Partners invests in early stage technology startups with a focus on the MENAP region. Based in Abu-Dhabi, the fund strives to invest in areas of technology that are specific to the region, with a particular interest in FinTech, Platforms, Software, and Tech-enabled business services. In 2021, Shorooq also launched the region�s first venture debt fund. Today their portfolio companies have generated more than $2.5bn of equity value, with world�s top sovereign wealth funds, corporates, families and individuals as partners.",�,�,�,�,55,Venture Capital,"Convertible Note, Debt, Early Stage Venture, Seed","9,373",Operations,,,,,
https://www.crunchbase.com/person/bashar-hamood,Bashar Hamood,86,2,United Arab Emirates,,Bashar Hamood is a result oriented professional with versatile experience across diverse organizational domains. He is well versed in the de...,Bashar,Hamood,https://www.facebook.com/profile.php?id=100010627395950,https://www.linkedin.com/in/basharrhamood,https://twitter.com/bashar_hamood,1,"Bashar Hamood is a result oriented professional with versatile experience across diverse organizational domains. He is well versed in the development of marketing strategies, branding, direct marketing, new products/brands launches, analysis, reporting, and positioning.

He is an entrepreneur and self-starter with expansive experience in brand awareness and development, community outreach.

Bashar is a versatile business manager with proven competencies in optimizing team dynamics uniting diverse agenda to common goal and harnessing strategic and operational drivers to deliver results.

He has a strong analytical mind with rigorous study for each case and the output of each variation for each parameter.

Bashar loves to take risk and new challenges.",Male,Venture Partner,,1,53,Individual/Angel,�,"8,379",�,FasterCapital,https://www.crunchbase.com/search/organizations/field/principal.investors/num_founded_organizations/bashar-hamood,https://www.crunchbase.com/search/people/field/principal.investors/rank_person/303,,
https://www.crunchbase.com/organization/mevp,Middle East Venture Partners (MEVP),79,6,Dubai,United Arab Emirates,MEVP is a Middle East-focused venture capital firm that invests in the Middle East region with a focus on the GCC and Levant markets.,�,�,https://www.facebook.com/middleeastvp,http://www.linkedin.com/company/1071654,https://twitter.com/MEVPcapital,10,"MEVP is a Middle East-focused venture capital firm that invests in the early and growth stages of innovative companies run by talented entrepreneurs in the Middle East Region with a focus on the GCC and Levant countries.

With offices in Beirut, Dubai, Bahrain and Riyadh and more than USD 260 million in Assets Under Management, MEVP is the largest and most established VC firm in this region, with clear cross border investment appetite.",�,�,�,�,47,Venture Capital,Early Stage Venture,"18,810","Finance, Legal, Management, Operations",,,,,
https://www.crunchbase.com/person/hesham-zreik,Hesham Zreik,76,�,Dubai,United Arab Emirates,"Hesham Zreik is the CEO and Board Member of FasterCapital, a Technical Manager at ZGroup Mobile, an Angel investor and CTO at Edunoor, and a...",Hesham,Zreik,https://www.facebook.com/hesham.zreik,https://www.linkedin.com/in/heshamzreik,https://www.twitter.com/hesham_zreik,10,"Hesham Zreik is the CEO and Board Member of FasterCapital, a Technical Manager at ZGroup Mobile, an Angel investor and CTO at Edunoor, and a seed Investor, CEO, Founder, and Mentor at BazarMaker.

He has been ranked 7th in Baccalaureate tests among 200,000th participants. He has completed his engineering degree at HIAST then he has done an MBA at Edinburgh business school and a Master in computer information science at AABFS.",Male,"Co-founder, CEO, Investor",,3,44,"Investment Partner, Individual/Angel",�,"11,275",�,BazarMaker,https://www.crunchbase.com/search/organizations/field/principal.investors/num_founded_organizations/hesham-zreik,https://www.crunchbase.com/search/people/field/principal.investors/rank_person/769,,
https://www.crunchbase.com/organization/beco-capital,BECO Capital,73,6,Dubai,United Arab Emirates,BECO Capital provides growth capital and hands-on operational support for early-stage technology companies.,�,�,http://facebook.com/becocapital,https://www.linkedin.com/company/beco-capital,http://twitter.com/BECOCapital,35,"BECO Capital provides growth capital and hands-on operational support for early-stage technology companies. It is a technology-focused venture capital that supports entrepreneurs and financial sectors to raise funds.

The company helps small companies with growth capital and hands-on operational mentorship in their early stage of development. It was founded in 2012 and is based in Dubai, United Arab Emirates.

BECO Capital was founded on February 1, 2014, by Dany Farha and Amir Farha, and it is headquartered in Dubai.",�,�,�,�,42,Venture Capital,"Early Stage Venture, Seed","2,437",Operations,,,,,
https://www.crunchbase.com/organization/vy-capital,Vy Capital,73,6,Dubai,United Arab Emirates,Vy Capital is an investment firm that focuses on the internet and software industry.,�,�,https://www.facebook.com/VyCapital/,https://www.linkedin.com/company/vy-capital,,43,"Vy Capital is an investment firm that focuses on the internet and software industry. It was founded in 2013 by Alexander Tamas and is headquartered in Dubai, United Arab Emirates.",�,�,�,�,50,Venture Capital,�,"29,816","Information Technology, Management, Operations",,,,�,
https://www.crunchbase.com/organization/mena-venture-investments,MVI (MENA Venture Investments),67,10,Dubai,United Arab Emirates,Mena Venture Investments (MVI) is an angel fund that�invests in early stage startups with strong growth potential MENA Region and beyond.,�,�,,https://www.linkedin.com/company/5263967?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A5263967%2Cidx%3A1-1-1%2CtarId%3A1440098263418%2Ctas%3AMena%20Venture%20Investments,,2,"Mena Venture Investments (MVI) is an angel fund that invests in early stage startups with strong growth potential in the Middle East and North Africa (MENA) Region and beyond.  We work with entrepreneurs to build solid, scalable businesses and ensure access to capital at early stages of a venture to fuel their growth. Beyond financial investment, MVI offers support through mentorship, access to markets, networks, and clients, as well as cross-border operational support.",�,�,�,�,59,Angel Group,"Early Stage Venture, Seed","16,396",�,,,,�,
https://www.crunchbase.com/organization/empede-capital,Empede Capital,66,8,Dubai,United Arab Emirates,Empede Capital is a Venture Capital investor with a clear focus on innovation & industry disruption,�,�,,https://www.linkedin.com/company/77227857,,�,�,�,�,�,�,66,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed","3,537",�,,,,�,
https://www.crunchbase.com/organization/global-ventures,Global Ventures,60,2,Dubai,United Arab Emirates,Global Ventures is a UAE-based international venture capital firm investing in founders and ideas across emerging markets.,�,�,,https://www.linkedin.com/company/global-ventures-me/?viewAsMember=true,https://twitter.com/GlobalVC_MENA,34,"Global Ventures is an international venture capital firm, investing in founders and ideas across emerging markets. The Global Ventures team is a diverse, collaborative, talented, and curious group of professionals who, combined, have years of experience and expertise building and scaling companies.",�,�,�,�,47,Venture Capital,�,"3,209",Operations,,,,,
https://www.crunchbase.com/organization/morningstar-ventures,Morningstar Ventures,60,�,Dubai,United Arab Emirates,"An investment firm focused on digital assets and blockchain technology, investing primarily in early-stage tokens and equity rounds.",�,�,,https://www.linkedin.com/company/morningstar-ventures/,https://twitter.com/Morningstar_vc,2,"Morningstar Ventures is an investment firm backing ambitious ideas by early-stage founders. Based in Dubai, Morningstar Ventures focuses primarily on the blockchain and digital assets space and is led by Chief Investment Officer Danilo S. Carlucci. The firm is active in both token investments and equity investments and has a particularly strong focus on the Elrond ecosystem. In October 2021 Morningstar Ventures launched the Elrond Dubai Incubator to support projects building with Elrond technology.",�,�,�,�,56,Venture Capital,Early Stage Venture,"10,531",�,,,,,
https://www.crunchbase.com/organization/intelak,Intelak Hub,56,2,Dubai,United Arab Emirates,"Intelak is a technology and innovation hub, based in Dubai, that supports early and late-stage start-ups.",�,�,https://www.facebook.com/Intelakhub/,https://www.linkedin.com/company/intelakhub,,20,"Intelak is a technology and innovation hub, based in Dubai, that supports early and late-stage start-ups with the education, mentorship, tools and resources needed to address business challenges in global aviation and tourism.

Intelak Hub�s principal partners - the Emirates Group, Dubai�s Department of Tourism and Commerce Marketing (Dubai Tourism), Accenture and Microsoft - provide support, expertise and mentorship at each stage of the Hub�s programmes.

Intelak Accelerator: An eight-week programme for late-stage start-ups looking to scale their businesses that address key challenges for our principal partners. (https://intelak.com/accelerator/)

Intelak Incubator: An eight-week programme for early-stage start-ups to move their business through the launch stage. (https://intelak.com/incubator/)

Intelak Idea Lab: A three-week programme designed specifically for UAE Nationals with a start-up idea in aviation, travel or tourism. (https://intelak.com/idea-lab/)",�,�,�,�,56,"Accelerator, Incubator",�,"15,004",�,,,,�,
