component--field-formatter href,Organization Name,Location,Location 1,Description,CB Rank ,Operating Status,Founded Date,Full Description,Number of Articles,Phone Number,Contact Email,LinkedIn,Facebook,Twitter,Website,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Employees
https://www.crunchbase.com/organization/united-arab-emirates-university,United Arab Emirates University,Al Ain,Abu Dhabi,United Arab Emirates University (UAEU) - the first and foremost comprehensive national university in the United Arab Emirates. F,�,Active,1976,"Welcome to the United Arab Emirates University (UAEU) - the first and foremost comprehensive national university in the United Arab Emirates. Founded in 1976 by the late Sheikh Zayed Bin Sultan Al Nahyan, UAEU aspires to become a comprehensive, research-intensive university and currently enrolls approximately 14,000 Emirati and international students. As the UAE�s flagship university, UAEU offers a full range of accredited, high-quality graduate and undergraduate programs through nine Colleges: Business and Economics; Education; Engineering; Food and Agriculture; Humanities and Social Sciences; IT; Law; Medicine and Health Sciences; and Science. With a distinguished international faculty, state-of-the art new campus, and full range of student support services, UAEU offers a living-learning environment that is unmatched in the UAE.

In its drive to achieve international research stature, UAEU works with its partners in industry to provide research solutions to challenges faced by the nation, the region, and the world. The University has established research centers of strategic importance to the country and the region which are advancing knowledge in critical areas ranging from water resources to cancer treatments. UAEU is currently ranked #1 in the UAE, #5 in the Arab World and #390 worldwide.

UAEU�s academic programs have been developed in partnership with employers, so our graduates are in high demand.  UAEU alumni hold key positions in industry, commerce, and government throughout the region. Our continuing investments in facilities, services, and staff ensure that UAEU will continue to serve as a model of innovation and excellence.",15,-7672365,servicedesk@uaeu.ac.ae,https://www.linkedin.com/school/united-arab-emirates-university,https://www.facebook.com/pages/United-Arab-Emirates-University,,https://www.uaeu.ac.ae/,�,�,�,�,5,�
https://www.crunchbase.com/organization/zayed-university-2,Zayed University,Abu Dhabi,Abu Dhabi,Zayed University offers globally recognized Bachelors and Masters Degree programs for men and women.,�,Active,1998,Zayed University offers globally recognized Bachelors and Masters Degree programs for men and women. Zayed University is renowned for educating the leaders of the future.,6,�,�,https://www.linkedin.com/company/zayed-university,,https://www.twitter.com/zayed_u,http://www.zu.ac.ae/,�,�,�,�,1,501-1000
https://www.crunchbase.com/organization/khalifa-university,Khalifa University,Abu Dhabi,Abu Dhabi,"Khalifa University of Science, Technology and Research is an independent, non-profit, coeducational institution inaugurated in 2007",�,Active,2007,"Khalifa University of Science, Technology and Research is an independent, non-profit, coeducational institution inaugurated in 2007",14,+971 2 401 8000,info@kustar.ac.ae,https://www.linkedin.com/company/khalifa-university-,https://www.facebook.com/khalifauniversity,https://www.twitter.com/khalifauni,https://www.ku.ac.ae/,Public,�,�,�,1,501-1000
https://www.crunchbase.com/organization/university-of-sharjah,University of Sharjah,Sharjah,Sharjah,"The University of Sharjah has 14 colleges and offers 86 programs at the bachelors, masters, doctoral and diplomas levels.",�,Active,1997,�,9,+971 6 5050001,info@sharjah.ac.ae,,https://www.facebook.com/usharjah,https://www.twitter.com/usharjah,http://www.sharjah.ac.ae/,�,�,�,�,2,1001-5000
https://www.crunchbase.com/organization/american-university-in-dubai,American University in Dubai,Dubai,Dubai,"The American University in Dubai is a private, non-sectarian institution of higher learning.",�,Active,1995,"The American University in Dubai offers U.S. accredited Undergraduate Graduate and MBA programs from the Business, Engineering, Architecture, Mohammad Bin Rashid School for Communication and Visual Communication schools.AUD offers both undergraduate and graduate degrees, an MBA program and a Certificate in Middle Eastern Studies. All taught programs are U.S. & U.A.E accredited.",1,+971 4 399 8899,�,https://www.linkedin.com/school/31375?pathWildcard=31375,https://www.facebook.com/AUDubai,https://twitter.com/AUDubai,http://www.aud.edu/,�,�,�,�,19,�
https://www.crunchbase.com/organization/american-university-of-sharjah,American University of Sharjah,Sharjah,Sharjah,American University of Sharjah is an institution that offers undergraduate and master's degree programs.,�,Active,1997,"The American University of Sharjah offers 26 majors and 45 minors at the undergraduate level, and 14 master�s degrees through the College of Architecture, Art and Design; the College of Arts and Sciences; the College of Engineering; and the School of Business Administration. These programs are designed to meet the challenges of competitive and dynamic business and industrial environment.",17,+971 6515 2200,�,https://www.linkedin.com/company/american-university-of-sharjah,http://www.facebook.com/wwwausedu,http://twitter.com/AUSharjah,http://www.aus.edu/,�,�,�,�,40,�
https://www.crunchbase.com/organization/birla-institute-of-technology-and-science-pilani-dubai-campus,"Birla Institute of Technology and Science, Pilani",Dubai,Dubai,"The Hyderabad campus of BITS, Pilani",�,Active,2000,�,�,+9714 4200822,webmaster@bits-dubai.ac.in,,http://www.facebook.com/pages/BITS-Pilani/194107694017505,,http://www.bits-dubai.ac.ae/,�,�,�,�,30,�
https://www.crunchbase.com/organization/abu-dhabi-university,Abu Dhabi University,Abu Dhabi,Abu Dhabi,Abu Dhabi University operates in the private higher education field.,�,Active,2003,"ADU is to offer highly rewarding career oriented undergraduate and graduate degree programs aligned with the needs of UAE and the region through excellence in teaching, student learning, faculty scholarship and engagement in community development..",11,971 2 501 55 55,�,https://www.linkedin.com/school/abu-dhabi-university/,https://www.facebook.com/AbuDhabiUni/,https://twitter.com/abudhabiuni,https://www.adu.ac.ae/,�,�,�,�,2,�
https://www.crunchbase.com/organization/the-british-university-in-dubai,The British University in Dubai,Dubai,Dubai,"The British University in Dubai is provides world class scholarship, education and research.","408,152",Active,1-Jan-04,�,1,971 4 279 1400,�,,http://www.facebook.com/pages/The-British-University-in-Dubai/130642736972584,http://twitter.com/buid_team,http://buid.ac.ae/,�,�,�,�,�,
https://www.crunchbase.com/organization/s-p-jain-school-of-global-management,S P Jain School of Global Management,Dubai,Dubai,S P Jain School of Global Management is a school.,�,Active,2004,"SP Jain is a world-class business school with campuses in Dubai, Mumbai, Singapore and Sydney. Their education ethos is strongly influenced by our mission of crafting global business leaders for the 21st-century workplace. They pride ourselves on providing a learning experience that is modern, relevant and truly global.",4,800-200-0827,�,https://www.linkedin.com/company/70720,http://www.facebook.com/spjainschoolofglobalmanagement,http://twitter.com/spjainglobal,http://www.spjain.org/,�,�,�,�,21,251-500
https://www.crunchbase.com/organization/hartland-international-school,Hartland International School,Dubai,Dubai,Hartland International School is school that offers education services.,"455,476",Active,2015,"The National Curriculum for England is enhanced by Hartland International School, giving them the tools they need to think creatively, solve problems, and go above and beyond. Their school realizes dreams by fostering talent, unlocking potential, and nurturing it in accordance with the richest international educational approaches.",�,971-4407-9444,admissions@hartlandinternational.com,https://www.linkedin.com/company/hartland-international-school,https://www.facebook.com/Hartlandinternationalschool,https://twitter.com/HartlandIntl,https://www.hartlandinternational.com/,�,�,�,�,�,51-100
https://www.crunchbase.com/organization/university-of-wollongong-in-dubai,University of Wollongong in Dubai,Dubai,Dubai,"Established in UAE by one of the top universities of the world, UOWD has over 4400 students in its rolls, of over 117 nationalities.",�,Active,1993,The University of Wollongong in Dubai (UOWD) is one of the UAE's oldest and most prestigious universities. Established in 1993 by the University of Wollongong in Australia - currently ranked in the top 2% of universities in the world (QS World University Rankings 2020) � UOW in Dubai represents a pioneering Australian initiative in the Gulf region.,3,+971 4 2781800,info@uowdubai.ac.ae,https://www.linkedin.com/school/university-of-wollongong-in-dubai,https://www.facebook.com/uowdubai/,https://www.twitter.com/uowd,http://www.uowdubai.ac.ae/,�,�,�,�,9,�
https://www.crunchbase.com/organization/tadawul-academy-fze,Tadawul Academy FZE,Dubai,Dubai,Tadawul Academy is an Accredited CISI Training Provider based in Dubai.,"288,574",Active,3-Sep-14,"Tadawul Academy is the Middle East's highest student-rated institute on Google.
Tadawul has helped hundreds of students pass their CISI exams.
Tadawul offers training in the following CISI qualifications:
Introduction to Securities and Investments (IISI), Certificate in Wealth and Investment Management (ICWIM), Certificate in Advanced Wealth Management (ICAWM), Securities, Islamic Financial Qualification (IFQ), Risk in Financial Services (RFS), Operational Risk (OR), Combating Financial Crime (CFC), Derivatives, Global Financial Compliance (GFC), and many more!",�,971-4-889-5829,learn@tadawul.academy,,https://business.facebook.com/TadawulAcademy,https://twitter.com/TadawulAcademy,https://www.tadawul.academy/,�,�,�,�,�,10-Jan
https://www.crunchbase.com/organization/ajman-university,Ajman University,Al Ajman,Ajman,Ajman University is a private institution of higher education in the United Arab Emirates and the Gulf region.,�,Active,1988,"Founded in 1988 as the first private institution of higher education in the United Arab Emirates and the Gulf region, Ajman University (AU) is now being recognized as an emerging leader on the global academic map.

The 2020 QS World University Rankings lists AU in the top 800 universities globally and among the top 10 worldwide for international students and faculty! The �Top 50 Under 50� QS Rankings names AU as one of the top 150 young universities in the world. Even our distinct location in the Dubai/Sharjah/Ajman corridor is ranked by QS as the 61st best student destination on the planet. Recently, Ajman University earned Five QS Stars in three ratings categories -- Social Responsibility, Inclusiveness and Learning Environment. We also garnered Four QS Stars for both Teaching and Internationalization.",�,971 6 748 2222,inquiry@ajman.ac.ae,https://www.linkedin.com/in/ajmanuniversity/?originalSubdomain=ae,https://www.facebook.com/ajmanuniversity,https://twitter.com/ajmanuniversity,http://www.ajman.ac.ae/,�,Four Year University,10001+,On Campus,2,�
https://www.crunchbase.com/organization/the-indian-academy-dubai,"The Indian Academy, Dubai",Dubai,Dubai,"The Indian Academy, Dubai, welcomes you to yet another successful year of learning and achievements.",�,Active,1-Feb-90,�,�,+971 4 2644501,info@indianacademydubai.com,https://www.linkedin.com/company/iqra-education,https://www.facebook.com/theindianacademydubai,,http://tiadubai.iqraeducation.net/,�,�,501-1000,�,�,�
https://www.crunchbase.com/organization/horizon-english-school,Horizon English School,Dubai,Dubai,"Horizon English School is a non-selective, private school in Dubai.",�,Active,�,"Horizon English School is a non-selective, private school in Dubai.  It provides English curriculum education for international students aged between 3 and 11 years old from more than 47 countries. English is the language of communication throughout the school, but many of our children have English as their second or third language.",�,+971 4 3422 891,info@horizonschooldubai.com,https://www.linkedin.com/company/horizon-english-school-dubai,https://www.facebook.com/HorizonDubaiUAE/,,https://www.horizonschooldubai.com/,Private,�,�,�,�,10-Jan
https://www.crunchbase.com/organization/lincoln-university-of-business-and-management,King�s Business School UAE,Sharjah,Sharjah,King's Business School UAE offers an extensive range of industry-ready graduate and postgraduate degree programs.,"642,181",Active,Apr-14,"King�s Business School UAE offers flexible programs in Foundation diploma in higher education studies, Extended diploma in Business, BA (Hons) Business Management top-up, MBA top up and a wide range of masters specialisations in project management, healthcare management, human resource management, accounting and finance, supply chain and logistics etc.

We have made your learning experience conducive to meeting work and life demands to maintain equilibrium. To do that, your learning will take place at the weekends which can be accessed from anywhere.

Our programs are also available in personal or group tutorial mode with a dedicated mentor. This will ensure that you manage your learning experience in a manner that best suits your time and pace.",�,+971 5858 696 99,info@kingsedu.ac,https://www.linkedin.com/company/kingseduuae,https://www.facebook.com/kingseduuae/,https://twitter.com/KingsEduUAE,https://kingsedu.ac/,Private,Graduate University,�,Online and On Campus,1,Nov-50
https://www.crunchbase.com/organization/mohamed-bin-zayed-university-of-artificial-intelligence,Mohamed bin Zayed University of Artificial Intelligence,Abu Dhabi,Abu Dhabi,"Mohamed bin Zayed University of Artificial Intelligence is committed to research, innovation, and empowerment of brilliant minds in AI.","1,358,749",Active,2019,�,�,+971 2 811 3333,info@mbzuai.ac.ae,https://www.linkedin.com/school/mbzuai,https://www.facebook.com/MBZUAI,https://twitter.com/mbzuai,https://mbzuai.ac.ae/,Private,Graduate University,�,On Campus,�,51-100
https://www.crunchbase.com/organization/the-college-of-fashion-design-dubai,The College of Fashion & Design - Dubai,Dubai,Dubai,Fashion Design,�,Active,�,"The College of Fashion and Design has aligned its initiatives to UAE�s �Vision 2021 � To Become a Global Fashion Hub� by promoting educational excellence in the field of Fashion and Design.

CFD is the only comprehensive Fashion Design and Fashion Business Management college in the region striving to enrich and empower creative and entrepreneurial minds to fashion their future.

With world-class infrastructure and facilities, state-of-the-art technology, experienced global faculty, multi-cultural student base, international curriculum and ambitious growth plans; CFD offers students exceptional career opportunities in the ever-evolving and progressive world of fashion and design. The diverse choice of eight distinct concentrations is tailored to develop technical and intellectual abilities whilst helping students master the fundamentals of design.",�,+971 4 563 7777,contact@cfd-dubai.com,https://www.linkedin.com/company/college-of-fashion-design,https://www.facebook.com/thecfddubai,,https://cfd-dubai.com/,�,�,�,�,�,251-500
https://www.crunchbase.com/organization/dubai-college-of-tourism,Dubai College of Tourism,Dubai,Dubai,"Dubai College of Tourism is an educational institution that offers vocational courses in the field of tourism, hospitality & culinary arts.",�,Active,Sep-17,�,�,-4031867,info@dct.ac.ae,https://www.linkedin.com/school/dubaicollegeoftourism/,https://www.facebook.com/dubaicollegeoftourism/,https://twitter.com/dct_college?lang=en,https://dct.ac.ae/,Private,Graduate University,�,On Campus,�,Nov-50
