Full Name,Full Name URL,Primary Job Title,Primary Organization,Primary Organization URL,Location,CB Rank (Person),LinkedIn,First Name,Last Name,Gender,Current Organizations,Twitter,Biography,Regions,Facebook,Schools Attended,Number of Founded Organizations,Number of News Articles
Hazem Ben-Gacem,https://www.crunchbase.com/person/hazem-ben-gacem,Co-CEO,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","10,352",,Hazem,Ben-Gacem,Male,Investcorp,,"Hazem Ben-Gacem is head of Corporate Investment - Europe as well as Corporate Investment - Technology. Hazem has been with Investcorp since 1994 and is currently a board director of Ceme, Fleetmatics, kgb and Skrill. Prior to joining Investcorp, Hazem was a member of Credit Suisse First Boston's mergers and acquisitions team in New York. Hazem holds a BA (Hons) in Economics from Harvard University. He also serves on the Dean's Council for the Harvard Kennedy School of Government.",Gulf Cooperation Council (GCC),,Harvard University,,10
Moayed Almoayed,https://www.crunchbase.com/person/moayed-almoayed,Co-Founder,Calo,https://www.crunchbase.com/organization/calo,"Manama, Al Manamah, Bahrain","12,499",https://www.linkedin.com/in/mtalmoayed/,Moayed,Almoayed,Male,Calo,,A strategy professional with operational experience growing brands in both emerging and developed markets. Interests include consumer products and early stage investments.,Gulf Cooperation Council (GCC),,"Georgetown University, University of Miami",2,
Ahmed AlRawi,https://www.crunchbase.com/person/ahmed-alrawi,Founder,Calo,https://www.crunchbase.com/organization/calo,"Bahrain, Asia","13,417",https://www.linkedin.com/in/ahmed-alrawi-28036211a/,Ahmed,AlRawi,Male,Calo,https://twitter.com/ahmedtherawi,,Gulf Cooperation Council (GCC),,University of Bahrain,2,
Rabih Khouri,https://www.crunchbase.com/person/rabih-khouri,Chief Investment Officer,Investment and Development Office Government of Ras Al Khaimah,https://www.crunchbase.com/organization/investment-and-development-office-government-of-ras-al-khaimah,"Bahrain, Asia","21,443",http://www.linkedin.com/pub/rabih-khouri/0/201/801,Rabih,Khouri,Male,Investment and Development Office Government of Ras Al Khaimah,,,Gulf Cooperation Council (GCC),,"CentraleSupélec, University of Cambridge",,
Murat Tasci,https://www.crunchbase.com/person/murat-tasci,Founder,Actus Partners,https://www.crunchbase.com/organization/actus-partners,"Bahrain, Asia","23,301",http://www.linkedin.com/in/tasci,Murat,Tasci,Male,Actus Partners,http://twitter.com/murattasci,"Murat Tasci founded Actus Partners, a global management consultancy company based in London, focused on Private Equity and Venture Capital solutions. Prior to that, he was a VP at Investcorp and Senior Director in Private Equity at GFH Financial Group. Murat holds a Masters in Financial Engineering and a BA in Management, both from Bogazici University, Istanbul. Murat has also completed a Private Equity Executive Masterclass at the London Business School, holds an advanced level and derivatives certificate from the Capital Markets Board of Turkey.",Gulf Cooperation Council (GCC),,"Boğaziçi University, London Business School",1,2
Sunil Bhilotra,https://www.crunchbase.com/person/sunil-bhilotra,Investment Director,ADQ,https://www.crunchbase.com/organization/adq-d6cc,"Bahrain, Asia","24,156",https://www.linkedin.com/in/sunil-b-6976041/,Sunil,Bhilotra,Male,ADQ,,,Gulf Cooperation Council (GCC),,"London Business School, McGill University",,
Najla Al-Shirawi,https://www.crunchbase.com/person/ms-najla-al-shirawi,Chief Executive Officer,SICO Bank,https://www.crunchbase.com/organization/sico-bank,"Manama, Al Manamah, Bahrain","34,662",,Najla,Al-Shirawi,Female,"Securities & Investment Company, SICO Bank",,"Najla Al Shirawi has more than 21 years of investment banking experience. Having been part of SICO since 1997, she was appointed CEO in 2014 following her appointment as deputy CEO in 2013. Najla served with Geneva-based Dar Al-Maal Al-Islami Trust, where she established private banking operations for the Group in the Gulf region. Najla is a Board member at the Bahrain Economic Board (EDB) and a Chairperson on the Board of Directors for two SICO subsidiaries: SICO Funds Services Company (SFS) in Bahrain and SICO Financial Brokerage in Abu Dhabi. She is also an Independent Board Member of Eskan Bank BSC(c), Bahrain and a Board Member of the Deposit Protection Scheme, Bahrain, the Bahrain Associations of Banks, and the Bahrain Institute of Banking and Finance. She holds an MBA and a BA in Civil Engineering from University of Bahrain.",Gulf Cooperation Council (GCC),,University of Bahrain,,
Hasan Haider,https://www.crunchbase.com/person/hasan-haider,CEO,Tenmou,https://www.crunchbase.com/organization/tenmou,"Bahrain, Asia","46,161",http://www.linkedin.com/in/hasanhaider,Hasan,Haider,Male,"500 Startups, Tenmou",http://twitter.com/hasmanh,"Hasan Haider is currently the Chief Executive Officer at Tenmou - the first Business Angels Company in Bahrain. He is committed, driven and dedicated to developing a start-up culture in Bahrain and helping other entrepreneurs make their ideas into a reality. Hasan started his entrepreneurial activities by launching FILM2GO, an innovative start-up venture that provides an online DVD rentals, with free delivery and pickup. Hasan also has several years of investment experience, most recently as a Portfolio Manager at SICO Investment Bank. Graduated with a BSc(Hon) in Economics from University College London (UCL), and is a CFA Level 2 Candidate. Hasan is also an active member of the Rotary Club of Adliya, and an Alumni member of the Ship for World Youth Alumni Association Bahrain, a Japanese government sponsored youth development and exchange program.",Gulf Cooperation Council (GCC),http://www.facebook.com/hasanhaidr,University College London (UCL),,20
Emanuele Angelidis,https://www.crunchbase.com/person/emanuele-angelidis,CEO,Breed Reply,https://www.crunchbase.com/organization/breedreply,"Manama, Al Manamah, Bahrain","47,580",,Emanuele,Angelidis,Male,Breed Reply,,"Born in 1964, Emanuele Angelidis holds a BSc. in Electronic Engineering from the Polytechnic of Milan and subsequently achieved a diploma in Business Management from SDA Bocconi and an Advanced Management Program from Kellogg School of Management of Chicago. After having started his career in Italtel Telecomunicazioni, in 1994 he took part in the start-up and development of Omnitel, latterly Vodafone Italy. In 1999 he co-founded and participated in the development of Fastweb as CEO. In 2004 he started focussing on international projects, initially in London as CEO of Bulldog Communications and later as an investor, CEO and Board Member of several initiatives including Erenis in Paris, On Telecoms in Athens, SyQic in Singapore, and Viacloud in London. In June 2014 he became the CEO at Breed Reply Ltd, an advanced incubator focussed on accelerating the growth of start-up businesses that develop products and innovative services in the Internet of Things market.",Gulf Cooperation Council (GCC),,,,8
James Tanner,https://www.crunchbase.com/person/james-tanner,Managing Director & Head of Corporate Investment,Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Bahrain, Asia","51,718",http://www.linkedin.com/pub/james-tanner/35/622/771,James,Tanner,Male,Investcorp,,"James Tanner joined Investcorp in 2008 and is head of Corporate Investment - MENA.  Prior to joining Investcorp, James was Managing Director and a member of the Board of Morley Fund Management, the leading London-based investment house, now Aviva Investors.  Previous roles include managing director, Global Markets at HSBC in London for two years and a 19 year career at Morgan Stanley in London, New York and Hong Kong where his roles included serving as CEO of Morgan Stanley Investment Management, Europe, and COO of International Prime Brokerage Services.",Gulf Cooperation Council (GCC),,"Indiana University, Kelley School of Business",,
Stergios Voskopoulos,https://www.crunchbase.com/person/stergios-voskopoulos,CEO,Yusuf Bin Ahmed Kanoo,https://www.crunchbase.com/organization/yusuf-bin-ahmed-kanoo,"Bahrain, Asia","51,943",https://www.linkedin.com/in/stergiosvoskopoulos/,Stergios,Voskopoulos,Male,Yusuf Bin Ahmed Kanoo,,"Mr. Stergios Voskopoulos is the CEO of Kanoo Capital, the Investment Division within YBA Kanoo, one of the largest and oldest family conglomerates in the Middle East. As CEO of Kanoo Capital, Stergios is responsible for the active management of direct and indirect investments regionally and globally. He has worked in the Gulf Region for over 10 years, and has over 20 years of global experience in the areas of Asset Management, Private Equity and M&A, including AIG Global Investment Group, Barclays, Investcorp and Seera Investment Bank. Mr. Voskopoulos has also been a serial entrepreneur himself and a speaker in several global summits in topics around investment management, innovation, family offices, global affairs and business. He has an MBA in Finance & Investments from Zicklin School of Business in New York and a Bachelor of Science in Computer Engineering from the University of Athens, he speaks six languages having lived and worked in seven countries.",Gulf Cooperation Council (GCC),,,,
